	Jeseník–N	Jeseníky–N						
	prach–N	prachy–N						
	zvěd–N	zvědy–N						
\	Doudleb–N	Doudleby–N						
	okulár–N	okuláry–N						
	Švýcar–N	Švýcary–N						
	drob–N	droby–N						
	krok–N	kročný–A						
	předsudek–N	předsudečný–A						
	výdělek–N	výdělečný–A						
	zálik–N	záličný–A						
	písek–N	písečný–A						
	čtvrtrok–N	čtvrtroční–A						
	pátek–N	páteční–A						
	prvopočátek–NC	prvopočáteční–AC						
	čtvrtek–N	čtvrteční–A						
	krk–N	krční–A						
	smutek–N	smuteční–A						
	skeptik–N	skeptička–N						
	elektrotechnik–N	elektrotechnička–NC						
	estetik–N	estetička–N						
	neurastenik–N	neurastenička–N						
	fonetik–N	fonetička–N						
	zálik–N	zálička–N						
	lyrik–N	lyrička–N						
\	úryvek–N	úryv–N						
\	výstřelek–N	výstřel–N						
\	járek–N	jár–N						
\	přírůstek–N	přírůst–N						
\	vpisek–N	vpis–N						
\	výšklebek–N	výškleb–N						
\	pořízek–N	poříz–N						
\	úbytek–N	úbyt–N						
	trubec–N	trubčí–A						
	hřebec–N	hřebčí–A						
	dravec–N	dravčí–A						
	mravenec–N	mravenčí–A						
	žabec–N	žabčí–A						
	zrcadlo–N	zrcadélko–N						
	zavazadlo–N	zavazadélko–N						
	vřídlo–N	vřídélko–N						
	žihadlo–N	žihadélko–N						
	číslo–N	čísélko–N						
	žrádlo–N	žrádélko–N						
	sklo–N	skélko–N						
	sochor–N	sochůrek–N						
	lavor–N	lavůrek–N						
	brambor–N	brambůrek–N						
	názor–N	názůrek–N						
	traktor–N	traktůrek–N						
	obzor–N	obzůrek–N						
	bandor–N	bandůrek–N						
	Trója–N	Trójan–N						
	Detva–N	Detvan–N						
	Varšava–N	Varšavan–N						
	Moskva–N	Moskvan–N						
	Evropa–N	Evropan–N						
	záchod–N	záchůdek–N						
	závod–N	závůdek–N						
	podvod–N	podvůdek–N						
	národ–N	nárůdek–N						
	vzdělanec–N	vzdělankyně–N						
	rytec–N	rytkyně–N						
	blíženec–N	blíženkyně–N						
	vášnivec–N	vášnivkyně–N						
	inercie–N	inerciální–A						
	eparchie–N	eparchiální–A						
	kurie–N	kuriální–A						
