*	dílný	dělnost	A-ý --> N-ost	CHANGE: í -> ě	
	dělný	dělnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
	erodovaný	erudovanost	A-ý --> N-ost	CHANGE: o -> u	
	erudovaný	erudovanost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	kosový	kusovost	A-ý --> N-ost	CHANGE: o -> u	
	kusový	kusovost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	kosý	kusost	A-ý --> N-ost	CHANGE: o -> u	
	kusý	kusost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	možný	mužnost	A-ý --> N-ost	CHANGE: o -> u	
	mužný	mužnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	nedílný	nedělnost	A-ý --> N-ost	CHANGE: í -> ě	
	nedělný	nedělnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	nemožný	nemužnost	A-ý --> N-ost	CHANGE: o -> u	
	nemužný	nemužnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	neodolatelný	neudolatelnost	A-ý --> N-ost	CHANGE: o -> u	
	neudolatelný	neudolatelnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	neopotřebitelný	neupotřebitelnost	A-ý --> N-ost	CHANGE: o -> u	
	neupotřebitelný	neupotřebitelnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	notný	nutnost	A-ý --> N-ost	CHANGE: o -> u	
	nutný	nutnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	opouštěný	opuštěnost	A-ý --> N-ost	CHANGE: ou -> u	
	opuštěný	opuštěnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	probouzený	probuzenost	A-ý --> N-ost	CHANGE: ou -> u	
	probuzený	probuzenost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	předložený	předluženost	A-ý --> N-ost	CHANGE: o -> u	
	předlužený	předluženost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	rodný	rudnost	A-ý --> N-ost	CHANGE: o -> u	
	rudný	rudnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	saudský	saúdskost	A-ý --> N-ost	CHANGE: u -> ú	
	saúdský	saúdskost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	sdílitelný	sdělitelnost	A-ý --> N-ost	CHANGE: í -> ě	
	sdělitelný	sdělitelnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	sdílný	sdělnost	A-ý --> N-ost	CHANGE: í -> ě	
	sdělný	sdělnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	sloučitelný	slučitelnost	A-ý --> N-ost	CHANGE: ou -> u	
	slučitelný	slučitelnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	točný	tučnost	A-ý --> N-ost	CHANGE: o -> u	
	tučný	tučnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	vesmírný	vesměrnost	A-ý --> N-ost	CHANGE: í -> ě	
	vesměrný	vesměrnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	vybíravý	vyběravost	A-ý --> N-ost	CHANGE: í -> ě	
	vyběravý	vyběravost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	vykolený	vykulenost	A-ý --> N-ost	CHANGE: o -> u	
	vykulený	vykulenost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	vysoušený	vysušenost	A-ý --> N-ost	CHANGE: ou -> u	
	vysušený	vysušenost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	zamířený	zaměřenost	A-ý --> N-ost	CHANGE: í -> ě	
	zaměřený	zaměřenost	A-ý --> N-ost		
					
*	zkosený	zkusenost	A-ý --> N-ost	CHANGE: o -> u	
	zkusený	zkusenost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	zkoušený	zkušenost	A-ý --> N-ost	CHANGE: ou -> u	
	zkušený	zkušenost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	zmínitelný	změnitelnost	A-ý --> N-ost	CHANGE: í -> ě	
	změnitelný	změnitelnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	zpívavý	zpěvavost	A-ý --> N-ost	CHANGE: í -> ě	
	zpěvavý	zpěvavost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	zvídavý	zvědavost	A-ý --> N-ost	CHANGE: í -> ě	
	zvědavý	zvědavost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	škodlivý	škudlivost	A-ý --> N-ost	CHANGE: o -> u	
	škudlivý	škudlivost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	žárovzdorný	žáruvzdornost	A-ý --> N-ost	CHANGE: o -> u	
	žáruvzdorný	žáruvzdornost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	žaloudek	žaludeček	N-ek --> N-eček	CHANGE: ou -> u	
*	žaloudek	žaludeček	N-k --> N-ček	CHANGE: ou -> u	
	žaludek	žaludeček	N-ek --> N-eček		LINK ALREADY PRESENT
	žaludek	žaludeček	N-k --> N-ček		LINK ALREADY PRESENT
					
*	bomba	bumbání	N-a --> N-ání	CHANGE: o -> u	
	bumbat	bumbání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	koka	kukání	N-a --> N-ání	CHANGE: o -> u	
*	koukat	kukání	V-at --> N-ání	CHANGE: ou -> u	
	kukat	kukání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	koňka	kuňkání	N-a --> N-ání	CHANGE: o -> u	
*	kuňka	kuňkání	N-a --> N-ání		
	kuňkat	kuňkání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	loupat	lupání	V-at --> N-ání	CHANGE: ou -> u	
*	lupa	lupání	N-a --> N-ání		
	lupat	lupání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	louskat	luskání	V-at --> N-ání	CHANGE: ou -> u	
*	luska	luskání	N-a --> N-ání		
	luskat	luskání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	moka	mukání	N-a --> N-ání	CHANGE: o -> u	
*	mouka	mukání	N-a --> N-ání	CHANGE: ou -> u	
*	muka	mukání	N-a --> N-ání		
	mukat	mukání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	ropa	rupání	N-a --> N-ání	CHANGE: o -> u	
	rupat	rupání	V-at --> N-ání		
	rupat	rupání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	sonda	sundání	N-a --> N-ání	CHANGE: o -> u	
	sundat	sundání	V-at --> N-ání		LINK ALREADY PRESENT
					
*	Doda	Dudův	N-a --> A-ův	CHANGE: o -> u	
*	Douda	Dudův	N-a --> A-ův	CHANGE: ou -> u	
	Duda	Dudův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Doka	Dukův	N-a --> A-ův	CHANGE: o -> u	
	Duka	Dukův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Dorka	Durkův	N-a --> A-ův	CHANGE: o -> u	
	Durka	Durkův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Gomolka	Gomulkův	N-a --> A-ův	CHANGE: o -> u	
	Gomulka	Gomulkův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Homa	Humův	N-a --> A-ův	CHANGE: o -> u	
*	Houma	Humův	N-a --> A-ův	CHANGE: ou -> u	
	Huma	Humův	N-a --> A-ův		
					
*	Horta	Hurtův	N-a --> A-ův	CHANGE: o -> u	
	Hurta	Hurtův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Houba	Hubův	N-a --> A-ův	CHANGE: ou -> u	
	Huba	Hubův	N-a --> A-ův		
					
*	Houda	Hudův	N-a --> A-ův	CHANGE: ou -> u	
	Huda	Hudův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Jouda	Judův	N-a --> A-ův	CHANGE: ou -> u	
	Juda	Judův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Koda	Kudův	N-a --> A-ův	CHANGE: o -> u	
	Kuda	Kudův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Loka	Lukův	N-a --> A-ův	CHANGE: o -> u	
*	Louka	Lukův	N-a --> A-ův	CHANGE: ou -> u	
	Luka	Lukův	N-a --> A-ův		
	Luka	Lukův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Lola	Lulův	N-a --> A-ův	CHANGE: o -> u	
	Lula	Lulův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Louisa	Luisův	N-a --> A-ův	CHANGE: ou -> u	
	Luisa	Luisův	N-a --> A-ův		
					
*	Mona	Munův	N-a --> A-ův	CHANGE: o -> u	
	Muna	Munův	N-a --> A-ův		
					
*	Moucha	Muchův	N-a --> A-ův	CHANGE: ou -> u	
	Mucha	Muchův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	Paola	Paulův	N-a --> A-ův	CHANGE: o -> u	
	Paula	Paulův	N-a --> A-ův		
					
*	Roda	Rudův	N-a --> A-ův	CHANGE: o -> u	
	Ruda	Rudův	N-a --> A-ův		
					
*	Rossa	Russův	N-a --> A-ův	CHANGE: o -> u	
	Russa	Russův	N-a --> A-ův		
					
*	sloha	sluhův	N-a --> A-ův	CHANGE: o -> u	
*	slouha	sluhův	N-a --> A-ův	CHANGE: ou -> u	
	sluha	sluhův	N-a --> A-ův		LINK ALREADY PRESENT
					
*	bílit	bělidlo	V-it --> N-idlo	CHANGE: í -> ě	
*	bílit	bělidlo	V-t --> N-dlo	CHANGE: í -> ě	
	bělit	bělidlo	V-it --> N-idlo		
	bělit	bělidlo	V-t --> N-dlo		
					
	kroužit	kružidlo	V-it --> N-idlo	CHANGE: ou -> u	
	kroužit	kružidlo	V-t --> N-dlo	CHANGE: ou -> u	
					
*	močit	mučidlo	V-it --> N-idlo	CHANGE: o -> u	
*	močit	mučidlo	V-t --> N-dlo	CHANGE: o -> u	
	mučit	mučidlo	V-it --> N-idlo		
	mučit	mučidlo	V-t --> N-dlo		
					
*	mířit	měřidlo	V-it --> N-idlo	CHANGE: í -> ě	
*	mířit	měřidlo	V-t --> N-dlo	CHANGE: í -> ě	
	měřit	měřidlo	V-it --> N-idlo		
	měřit	měřidlo	V-t --> N-dlo		
					
	soudit	sudidlo	V-it --> N-idlo	CHANGE: ou -> u	
	soudit	sudidlo	V-t --> N-dlo	CHANGE: ou -> u	
					
*	toužit	tužidlo	V-it --> N-idlo	CHANGE: ou -> u	
*	toužit	tužidlo	V-t --> N-dlo	CHANGE: ou -> u	
	tužit	tužidlo	V-it --> N-idlo		
	tužit	tužidlo	V-t --> N-dlo		
					
*	ročníkový	ručníkovina	A-ový --> N-ovina	CHANGE: o -> u	
*	ročníkový	ručníkovina	A-vý --> N-vina	CHANGE: o -> u	
*	ročníkový	ručníkovina	A-ý --> N-ina	CHANGE: o -> u	
	ručníkový	ručníkovina	A-ový --> N-ovina		
	ručníkový	ručníkovina	A-vý --> N-vina		
	ručníkový	ručníkovina	A-ý --> N-ina		
					
*	roční	ručnice	A-ní --> N-nice	CHANGE: o -> u	
*	ročník	ručnice	N-ík --> N-ice	CHANGE: o -> u	
	ruční	ručnice	A-ní --> N-nice		
*	ručník	ručnice	N-ík --> N-ice		
					
*	bolný	bula	A-ný --> N-a	CHANGE: o -> u	
*	boulit	bula	V-it --> N-a	CHANGE: ou -> u	
*	bulit	bula	V-it --> N-a		
					
*	lozit	luza	V-it --> N-a	CHANGE: o -> u	
*	luzný	luza	A-ný --> N-a		
					
*	mínit	měna	V-it --> N-a	CHANGE: í -> ě	
	měnit	měna	V-it --> N-a		
*	měnný	měna	A-ný --> N-a		
					
*	obloudit	obluda	V-it --> N-a	CHANGE: ou -> u	
*	obludný	obluda	A-ný --> N-a		
					
*	potopit	potupa	V-it --> N-a	CHANGE: o -> u	
	potupit	potupa	V-it --> N-a		
*	potupný	potupa	A-ný --> N-a		
					
*	rodit	ruda	V-it --> N-a	CHANGE: o -> u	
*	rodný	ruda	A-ný --> N-a	CHANGE: o -> u	
*	rudný	ruda	A-ný --> N-a		
					
*	zmínit	změna	V-it --> N-a	CHANGE: í -> ě	
	změnit	změna	V-it --> N-a		
*	změnný	změna	A-ný --> N-a		
					
*	Boba	Bubka	N-a --> N-ka	CHANGE: o -> u	
*	Buba	Bubka	N-a --> N-ka		
					
*	Boda	Budka	N-a --> N-ka	CHANGE: o -> u	
*	Bouda	Budka	N-a --> N-ka	CHANGE: ou -> u	
	Buda	Budka	N-a --> N-ka		
					
*	Dubrava	Dúbravka	N-a --> N-ka	CHANGE: u -> ú	
	Dúbrava	Dúbravka	N-a --> N-ka		LINK ALREADY PRESENT
					
*	Hola	Hulka	N-a --> N-ka	CHANGE: o -> u	
	Hula	Hulka	N-a --> N-ka		
					
*	Houba	Hubka	N-a --> N-ka	CHANGE: ou -> u	
	Huba	Hubka	N-a --> N-ka		
					
*	Jora	Jurka	N-a --> N-ka	CHANGE: o -> u	
	Jura	Jurka	N-a --> N-ka		
	Jura	Jurka	N-a --> N-ka		LINK ALREADY PRESENT
					
*	Koula	Kulka	N-a --> N-ka	CHANGE: ou -> u	
*	Kula	Kulka	N-a --> N-ka		
					
	Kroupa	Krupka	N-a --> N-ka	CHANGE: ou -> u	
*	Krupa	Krupka	N-a --> N-ka		
					
*	Mikola	Mikulka	N-a --> N-ka	CHANGE: o -> u	
	Mikula	Mikulka	N-a --> N-ka		LINK ALREADY PRESENT
					
*	Mona	Munka	N-a --> N-ka	CHANGE: o -> u	
*	Muna	Munka	N-a --> N-ka		
					
	Moucha	Muchka	N-a --> N-ka	CHANGE: ou -> u	
*	Mucha	Muchka	N-a --> N-ka		
					
*	vypouklina	vypuklinka	N-a --> N-ka	CHANGE: ou -> u	
	vypuklina	vypuklinka	N-a --> N-ka		LINK ALREADY PRESENT
					
*	toužený	tužení	A-ý --> N-í	CHANGE: ou -> u	
*	tuhnout	tužení	V-hnout --> N-žení		
					
*	tíhnout	těžení	V-hnout --> N-žení	CHANGE: í -> ě	
*	tížený	těžení	A-ý --> N-í	CHANGE: í -> ě	
*	těžený	těžení	A-ý --> N-í		
					
*	bouchnout	buchnutí	V-nout --> N-nutí	CHANGE: ou -> u	
	buchnout	buchnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	loupnout	lupnutí	V-nout --> N-nutí	CHANGE: ou -> u	
	lupnout	lupnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	schroupnout	schrupnutí	V-nout --> N-nutí	CHANGE: ou -> u	
	schrupnout	schrupnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	šoustnout	šustnutí	V-nout --> N-nutí	CHANGE: ou -> u	
	šustnout	šustnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	porosit	porušení	V-sit --> N-šení	CHANGE: o -> u	
*	porušený	porušení	A-ý --> N-í		
					
*	rosit	rušení	V-sit --> N-šení	CHANGE: o -> u	
*	rušený	rušení	A-ý --> N-í		
					
*	vyrosit	vyrušení	V-sit --> N-šení	CHANGE: o -> u	
*	vyrušený	vyrušení	A-ý --> N-í		
					
*	korona	korunka	N-a --> N-ka	CHANGE: o -> u	
	koruna	korunka	N-a --> N-ka		LINK ALREADY PRESENT
*	korunní	korunka	A-ní --> N-ka		
					
*	Louisa	Luisin	N-a --> A-in	CHANGE: ou -> u	
	Luisa	Luisin	N-a --> A-in		
	Luisa	Luisin	N-a --> A-in		LINK ALREADY PRESENT
					
*	Mota	Mutin	N-a --> A-in	CHANGE: o -> u	
	Muta	Mutin	N-a --> A-in		
					
*	stoudný	studnice	A-ný --> N-nice	CHANGE: ou -> u	
*	stoudný	studnice	A-ý --> N-ice	CHANGE: ou -> u	
					
*	točný	tučnice	A-ný --> N-nice	CHANGE: o -> u	
*	točný	tučnice	A-ý --> N-ice	CHANGE: o -> u	
	tučný	tučnice	A-ný --> N-nice		
	tučný	tučnice	A-ý --> N-ice		
					
*	poslouchat	posluchačka	V-t --> N-čka	CHANGE: ou -> u	
*	posluchačský	posluchačka	A-ský --> N-ka		
					
	sbírat	sběračka	V-t --> N-čka	CHANGE: í -> ě	
*	sběračský	sběračka	A-ský --> N-ka		
					
*	vydírat	vyděračka	V-t --> N-čka	CHANGE: í -> ě	
*	vyděračský	vyděračka	A-ský --> N-ka		
					
*	vyzvídat	vyzvědačka	V-t --> N-čka	CHANGE: í -> ě	
*	vyzvědačský	vyzvědačka	A-ský --> N-ka		
					
*	vzpírat	vzpěračka	V-t --> N-čka	CHANGE: í -> ě	
*	vzpěračský	vzpěračka	A-ský --> N-ka		
					
	vypouklý	vypuklina	A-lý --> N-lina	CHANGE: ou -> u	
	vypouklý	vypuklina	A-ý --> N-ina	CHANGE: ou -> u	
*	vypuklý	vypuklina	A-lý --> N-lina		
*	vypuklý	vypuklina	A-ý --> N-ina		
					
*	Houba	Hubička	N-a --> N-ička	CHANGE: ou -> u	
*	Huba	Hubička	N-a --> N-ička		
*	Hubka	Hubička	N-ka --> N-ička		
					
*	Koula	Kulička	N-a --> N-ička	CHANGE: ou -> u	
*	Kula	Kulička	N-a --> N-ička		
*	Kulka	Kulička	N-ka --> N-ička		
					
*	Kroupa	Krupička	N-a --> N-ička	CHANGE: ou -> u	
*	Krupa	Krupička	N-a --> N-ička		
*	Krupka	Krupička	N-ka --> N-ička		
					
*	soma	sumička	N-a --> N-ička	CHANGE: o -> u	
	suma	sumička	N-a --> N-ička		
*	sumka	sumička	N-ka --> N-ička		
					
*	Horní	Hurník	A-í --> N-ík	CHANGE: o -> u	
*	Horný	Hurník	A-ý --> N-ík	CHANGE: o -> u	
*	Hurný	Hurník	A-ý --> N-ík		
					
*	nedílný	nedělník	A-ý --> N-ík	CHANGE: í -> ě	
	nedělní	nedělník	A-í --> N-ík		
*	nedělný	nedělník	A-ý --> N-ík		
					
	postoupit	postupník	V-it --> N-ník	CHANGE: ou -> u	
*	postupný	postupník	A-ý --> N-ík		
					
*	snížit	sněžník	V-it --> N-ník	CHANGE: í -> ě	
*	sněžit	sněžník	V-it --> N-ník		
	sněžný	sněžník	A-ý --> N-ík		
					
*	ukrotit	ukrutník	V-it --> N-ník	CHANGE: o -> u	
*	ukroutit	ukrutník	V-it --> N-ník	CHANGE: ou -> u	
	ukrutný	ukrutník	A-ý --> N-ík		
					
*	hostit	huštění	V-stit --> N-štění	CHANGE: o -> u	
*	hoštěný	huštění	A-ý --> N-í	CHANGE: o -> u	
	hustit	huštění	V-stit --> N-štění		LINK ALREADY PRESENT
					
*	zhostit	zhuštění	V-stit --> N-štění	CHANGE: o -> u	
	zhustit	zhuštění	V-stit --> N-štění		
	zhustit	zhuštění	V-stit --> N-štění		LINK ALREADY PRESENT
*	zhuštěný	zhuštění	A-ý --> N-í		
					
*	potit	putička	V-t --> N-čka	CHANGE: o -> u	
	puta	putička	N-a --> N-ička		
					
*	možný	mužství	A-ný --> N-ství	CHANGE: o -> u	
*	mužný	mužství	A-ný --> N-ství		
	mužský	mužství	A-ský --> N-ství		
	mužský	mužství	A-ský --> N-ství		LINK ALREADY PRESENT
					
*	Doba	Dubinka	N-a --> N-inka	CHANGE: o -> u	
	Dubina	Dubinka	N-a --> N-ka		LINK ALREADY PRESENT
					
*	šopa	šupinka	N-a --> N-inka	CHANGE: o -> u	
*	šupa	šupinka	N-a --> N-inka		
	šupina	šupinka	N-a --> N-ka		LINK ALREADY PRESENT
					
*	holený	hulení	A-ý --> N-í	CHANGE: o -> u	
*	hulený	hulení	A-ý --> N-í		
					
*	koupený	kupení	A-ý --> N-í	CHANGE: ou -> u	
*	kupený	kupení	A-ý --> N-í		
					
*	močený	mučení	A-ý --> N-í	CHANGE: o -> u	
*	mučený	mučení	A-ý --> N-í		
					
