128 GROUPS FOR RULE COMBINATION: N-e --> A-ký, N-k --> A-cký				
				
závodník	závodnický	N-k --> A-cký	CHANGE: í -> i	
				
záškodnice	záškodnický	N-e --> A-ký		
záškodník	záškodnický	N-k --> A-cký	CHANGE: í -> i	
				
účastnice	účastnický	N-e --> A-ký		
účastník	účastnický	N-k --> A-cký	CHANGE: í -> i	
				
úřednice	úřednický	N-e --> A-ký		
úředník	úřednický	N-k --> A-cký	CHANGE: í -> i	
				
čarodějnice	čarodějnický	N-e --> A-ký		
čarodějník	čarodějnický	N-k --> A-cký	CHANGE: í -> i	
				
černice	černický	N-e --> A-ký		
černík	černický	N-k --> A-cký	CHANGE: í -> i	
				
četnice	četnický	N-e --> A-ký		
četnik	četnický	N-k --> A-cký		
četník	četnický	N-k --> A-cký	CHANGE: í -> i	
				
číšnice	číšnický	N-e --> A-ký		
číšník	číšnický	N-k --> A-cký	CHANGE: í -> i	
				
ďáblice	ďáblický	N-e --> A-ký		
ďáblík	ďáblický	N-k --> A-cký	CHANGE: í -> i	
				
řemeslnice	řemeslnický	N-e --> A-ký		
řemeslník	řemeslnický	N-k --> A-cký	CHANGE: í -> i	
				
řeznice	řeznický	N-e --> A-ký		
řezník	řeznický	N-k --> A-cký	CHANGE: í -> i	
				
řečnice	řečnický	N-e --> A-ký		
řečník	řečnický	N-k --> A-cký	CHANGE: í -> i	
				
železnice	železnický	N-e --> A-ký		
železník	železnický	N-k --> A-cký	CHANGE: í -> i	
				
				
---------------------------------				
124 GROUPS FOR RULE COMBINATION: V-nout --> A-nutý				
				
dopnout	dopnutý	V-nout --> A-nutý		
dopnout	dopnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
hnout	hnutý	V-nout --> A-nutý		
hnout	hnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
kynout	kynutý	V-nout --> A-nutý		
kynout	kynutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
minout	minutý	V-nout --> A-nutý		
minout	minutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
mnout	mnutý	V-nout --> A-nutý		
mnout	mnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
nabodnout	nabodnutý	V-nout --> A-nutý		
nabodnout	nabodnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
nadzdvihnout	nadzdvihnutý	V-nout --> A-nutý		
nadzdvihnout	nadzdvihnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
nadýchnout	nadýchnutý	V-nout --> A-nutý		
nadýchnout	nadýchnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
nahnout	nahnutý	V-nout --> A-nutý		
nahnout	nahnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
napadnout	napadnutý	V-nout --> A-nutý		
napadnout	napadnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
napnout	napnutý	V-nout --> A-nutý		
napnout	napnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
natisknout	natisknutý	V-nout --> A-nutý		
natisknout	natisknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
natrhnout	natrhnutý	V-nout --> A-nutý		
natrhnout	natrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
natáhnout	natáhnutý	V-nout --> A-nutý		
natáhnout	natáhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
navléknout	navlíknutý	V-nout --> A-nutý	CHANGE: é -> í	
navlíknout	navlíknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
navrhnout	navrhnutý	V-nout --> A-nutý		
navrhnout	navrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
obhlédnout	obhlédnutý	V-nout --> A-nutý		
obhlédnout	obhlédnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
obtisknout	obtisknutý	V-nout --> A-nutý		
obtisknout	obtisknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odemknout	odemknutý	V-nout --> A-nutý		
odemknout	odemknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odhrnout	odhrnutý	V-nout --> A-nutý		
odhrnout	odhrnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odprásknout	odprásknutý	V-nout --> A-nutý		
odprásknout	odprásknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odstřihnout	odstřihnutý	V-nout --> A-nutý		
odstřihnout	odstřihnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odsunout	odsunutý	V-nout --> A-nutý		
odsunout	odsunutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odtrhnout	odtrhnutý	V-nout --> A-nutý		
odtrhnout	odtrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
odvrhnout	odvrhnutý	V-nout --> A-nutý		
odvrhnout	odvrhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
ohnout	ohnutý	V-nout --> A-nutý		
ohnout	ohnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
otisknout	otisknutý	V-nout --> A-nutý		
otisknout	otisknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
ovinout	ovinutý	V-nout --> A-nutý		
ovinout	ovinutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
pnout	pnutý	V-nout --> A-nutý		
pnout	pnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
pohnout	pohnutý	V-nout --> A-nutý		
pohnout	pohnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
postihnout	postihnutý	V-nout --> A-nutý		
postihnout	postihnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
posunout	posunutý	V-nout --> A-nutý		
posunout	posunutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
potisknout	potisknutý	V-nout --> A-nutý		
potisknout	potisknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
potáhnout	potáhnutý	V-nout --> A-nutý		
potáhnout	potáhnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
pozdvihnout	pozdvihnutý	V-nout --> A-nutý		
pozdvihnout	pozdvihnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
prasknout	prasknutý	V-nout --> A-nutý		LINK ALREADY PRESENT
prásknout	prasknutý	V-nout --> A-nutý	CHANGE: á -> a	
				
probodnout	probodnutý	V-nout --> A-nutý		
probodnout	probodnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
prohlédnout	prohlédnutý	V-nout --> A-nutý		
prohlédnout	prohlédnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
prohnout	prohnutý	V-nout --> A-nutý		
prohnout	prohnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
protnout	protnutý	V-nout --> A-nutý		
protnout	protnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
přehlédnout	přehlédnutý	V-nout --> A-nutý		
přehlédnout	přehlédnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
přehnout	přehnutý	V-nout --> A-nutý		
přehnout	přehnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
přepnout	přepnutý	V-nout --> A-nutý		
přepnout	přepnutý	V-nout --> A-nutý		LINK ALREADY PRESENT
				
