hypotéza: pokud dáme OK a původy se liší, tak vítězí vyšší?						
OK	DIFF	rod	rod	['všesl.', 'p.', 'r.', 'stsl.', 'lot.', 'lit.', 'alb.', 'ř.', 'sti.', 'ie.']	národ	['lat.']
COMPOUND	DIFF	roh	roh	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lot.', 'stpr.', 'bsl.', 'ie.', 'něm.']	kozoroh	['csl.', 'lat.']
COMPOUND	DIFF	roh	rohovník	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lot.', 'stpr.', 'bsl.', 'ie.', 'něm.']	kozoroh	['csl.', 'lat.']
DISCONNECT	DIFF	rock	rok	['stč.', 'p.', 'ukr.', 'r.', 'stsl.', 'psl.', 'č.']	rock	['angl.']
OK	DIFF	hlas	rozhlas	['něm.', 'am.-angl.', 'lat.,všesl.', 'p.', 'r.', 'csl.', 'stsl.', 'psl.', 'ie.', 'lit.', 'sti.', 'angl.']	halas	['p.', 'č.']
DISCONNECT	DIFF	hrozen	rozinka	['něm.', 'fr.', 'lat.']	hrozen	['stč.', 'stp.', 'r.', 'stsl.', 'psl.', 'něm.', 'angl.']
OK	DIFF	ruka	ručit	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lot.', 'stpr.', 'pozdnělat.']	poručík	['r.', 'p.', 'č.', 'fr.', 'pozdnělat.']
OK	DIFF	ruka	ruka	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lot.', 'stpr.', 'pozdnělat.']	poručík	['r.', 'p.', 'č.', 'fr.', 'pozdnělat.']
homonymie	DIFF	role	rulička	['něm.', 'fr.']	role	['stč.', 'p.', 'psl.']
OK	DIFF	růže	růže	['stč.', 'všesl.', 'sthn.', 'lat.', 'ř.']	růž	['fr.', 'lat.']
COMPOUND	DIFF	roh	růžek	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lot.', 'stpr.', 'bsl.', 'ie.', 'něm.']	kozoroh	['csl.', 'lat.']
OK	DIFF	řada	řádit	['stč.']	nářadí	['p.']
OK	DIFF	říct	řeč	['stč.', 'p.st.', 'stsl.', 'psl.', 'lit.', 'toch.', 'ie.']	nářečí	['r.']
OK	DIFF	říct	říci	['stč.', 'p.st.', 'stsl.', 'psl.', 'lit.', 'toch.', 'ie.']	nářečí	['r.']
OK	DIFF	sak	sak	['všesl.', 'p.', 'r.', 'psl.', 'román.', 'lat.', 'ř.']	sáček	['něm.', 'lat.', 'ř.', 'semit.']
OK	DIFF	sedět	sedlák	['stč.', 'p.', 'r.', 'sln.']	předseda	['něm.', 'lat.']
