Abraham	Abrahám
byte	být,bytnět,Bajt,bota,nadbytek,bé,zbytkař,výt,Baťa,bača,bečka,nýt,nýt,obec,Bates
bába	baba,Babák
bádat	nabádat
bán	báň
bát	dbát,zobat,bé,bača,bál,bácnout,bán,bit,Baťa,batika,Ob,obec
báze	bazén
báň	bán,banka
bé	bečka,bez,Ben,bit,obec,bát,Ob,bít,Benák,beat,bízet,zbůst,oblý,jíní,dé,Benátky,býk,zet,blůza,dbát,oj,být,zvát,zvát,jiný,bača,binknout,Biela,zen
békat	bekat
bílý	Bíl,Běla,běl,Bělina,bít,Bělov,Bělík
bít	bit,bítník,bílý,být,běl,Bíl,bečka,bé
bóje	Bój
být	byte,bít
býčit	býk
běžet	běženec
bředat	vybředat,zabředat,rozbředat
břeh	Břehov
březí	Březa
bříza	Březa
bůh	Božka
camp	Camus
car	cárat
cena	cent
chalupa	Chalupník
chan	chán
chaos	chat,Antiochos,chasa,chata,chám
chat	chata
chata	chat
chcát	ochcat,nachcat,přechcat,zechcat
chlup	chlop
chopit	Chopin
chorý	Chorvat
chrastit	Chrasta
chrom	chróm,chromý
chromozom	chrom
chromý	chrom
chroptit	chroptět
chroptět	chroptit
chroupat	chrupat
chrupat	chroupat
chróm	chrom
chvalořeč	chvalořečit
chvalořečit	chvalořeč
chvost	chvoj,chvět
chvíle	chvět
chán	chan
chřest	chřestit
chřoupat	chřupat
chřupat	chřoupat
cibule	Cibula
cifra	cifrák,šifra
cimra	šimrat
citron	citrón
citrus	citrusář
