Abraham	Abrahám
mánie	mánička,man,Mání,Manet,Mánes,Manila,manko,Mann,vymanit,rozmanitý,Maňovice,manekýn,Omán,Aman,May,Máša,maňas,Maňas,podmanit,namanout,mango,mák,vymanout,mangan,mínit,zmanout,mávat,Romanov,Najman,Rayman,máj,men,mnich,román,Román,narkomanie,mat,Mao,Roman,malina,mást,mnout,Dan,daň,Macov,Neuman,zamanout,Mína,Mali,manažovat,umanout,mast,manéž,Malín,Dán,mošt,macek,mandant,Makov,zeman,mačkář,máčet,mina,menšina,amant,Mácha,mandel,máma,Málik,mařit,malý,Ming,Mnichov,monský,pyromanie,matka,Monet,matika,mandát,Osman,Masný,manuál,měnit,Daan,manžel,emanovat,Malič,mělký,mapa,Daniel,manikúra,daněk,Menšík,mateř,namáčknout,mašle,Malec,zmálit,masiv,míč,malovat,zmatnit,Majdan,mošna,maso,Minos,míle,mašina,Toman,zmatnět,minuta,udomácnit,Bynov,Mencl,mamon,Yankee,masa,Manuela,masív,dynamo,most,mince,zmátnout,vymáčknout,rozmarýn,Maur,Vaník,manifest,permanence,Mňačko,pomník,moci,Míla,máry,Don,Marie,minus,masař,manažer,rozmar,den,maznice,máslo,domáčknout,um,dna,mail,Mars,Méty,zmáhnout,Monako,fan,Markoman,masáž,sedma,rozmáčknout,Danaj,múza,maska,Maria,kajman,domnívat,vynímat,Marván,milý,showman,pomnít,Maryna,Macák,pomátnout,Machyna,menšit,Vian,mámit,dýně,dařit,Mašon,Masaj,Mináč,romantika,primán,mennonita,moře,mít,mandle,přímo,duše,Mazal,moč,monitor,míšeň,Mendel,Mater,macecha,zmenout,maran,minomet,promenovat,vyvánět,zmalit,namátnout,mandl,zdomácnit,muž,meč,udomácnět,máchat,animovat,osma,mazat,odmáčknout,Mastný,permon,Rainman,pšenice,příroda,zmatit,nový,zapomínat,Súdán,Přerov,Machač,soma,praxe,nomen,ataman,banán,rýma,připomínat,nezmar,promáčknout,Írán,Mališ,zapomnět,Melk,močka,madián,Michna,moneta,muset,Sodoma,Maor,odpřírodnit,bán,prizma,dům,Marek,mináž,Mikes,Fénicie,manévr,minimální,Madona,Šanov,měch,Vaněk,animismus,omalovánka,Ašanin,diamant,mělnit,deismus,magnát,zmačknout,sanita,pomalý,magie,neomalený,mol,suma,moc,maškařit,Magic,banka,manžeta,Šan,jméno,Duncan,mrně,Annan,Mynařík,napomínat,Radvan,mul,jíní,měkký
máry	Maryna
máslo	mást
mást	mast,máslo,Masný,Mastný,masa,Máša,maso,masař,May,Mao,masiv,mail,mák,maska,mávat,máma,mazat,mnich,Mání,masív
mést	místo,Mesa,mez,mestic,meč,mísa,míza,men
míle	Míla,mělký,Mílek
mínit	měnit
mír	mířit,Mirek,měřit,merk,moře,domírat,Meroe,Mojmír,merčit,zmírnět,Amor,umírák,můra,díra,vodoměr,skomírat,síra,Morea,Mína,Miřejovice,mít,Zmij,míhat,sýr
mísa	mísit
mísit	mísa,místo,misie
místo	mísit,mísa,město,mést,misie,Mesa,míza,míč
mít	Mína,míč,msta,mínit,Míla,milý,míle,Méty,máj,Mitáč,Mitis,mina,mířit,pomět,přimět,dít,měch,men,dítě,měřit,míhat,Mitrov,místo,změtený,meč,mýto,mělký,měkký,mýt,mat,sít,míjet,mést,Melk,minuta
míč	meč
mířit	mír,měřit
mýt	mýto,mýtit
mýto	mýt
mýtus	mýto
měnit	mínit
město	měsíc,místo,městnat,mísit,mísa
měřit	mířit
mřít	mříž,mžít,dřít,pýřit,udeřit,zapeřit
nacismus	neonacismus
nadrat	zadrat,odrat
nadzdvihat	nazdvihat
nadít	vnadit
nahý	náhlý,Náhlík
nakolejit	vykolejit
nakročit	zakročit,kročit
nalézt	lézt
napájet	pájet
napřahat	vypřahat,zapřahat
nasmrádnout	vysmrádnout
nastehnout	zastehnout
nastřihat	střihat,zastřihat
nastříhnout	stříhnout,ustříhnout
naturismus	turismus
navlhat	zavlhat
navrtit	vyvrtit,zavrtit
nazdvihat	nadzdvihat
nazvedat	zvedat
načrtat	črtat
načít	začít,začít,začít,zaonačit,čít,počít
necky	Nick,nový,neckař,Nat,nit,nést,Poe
nehet	nehetnatý
neonacionalismus	neonacismus
neonacismus	neonacionalismus,nacismus
neosurrealizmus	surrealismus
nikl	Nick,Nil,nový,nit,necky
niob	Ob,nit,nový
nit	nový,Nick,nítit,ničit,znít,Nil
nitro	nitrace,nit,Nitran
nobilis	nobilisovat,znobilisovat
noha	Noháč,nůž,hnůj,John,Honza
nomen	men,nominovat,pomnít,pomník,minomet,nomád,mnohý
nora	Nor
norma	Norman
novela	Vela,nivelovat
nový	Novák,nit,Nick
nudle	nuda
nést	necky,Nat,vně,Nick,nit,nový
nítit	nit
nízký	niob
nýt	výt
obec	Ob,bečka,bé
oblbit	zblbit
oblý	zlý
obr	brk
oběsit	zběsit
ocel	Vocel
ocet	ocel,docent,oceán,cent,cena,zocelet,céva,cítit,celý,ocitat,docelit,cech,zocelovatět,Vocel,ucelit,cejn,cello,zcelit,celovat,procento,kotit,katit,cé,proc,ucho,tele,zocelovět,acetyl,tkát,cejtit,vycejkat,zoctit,vycicat,celta,zcizet,kácet,dvacetník,otec,telit,tetovat,kotel,teta,Telč,census,ovoce,cekat,Ottawa,zacikat,kat,procitat,zcitovět
ochutit	dochutit,přichutit
odeslat	předeslat
odolat	udolat
odprdelit	vyprdelit
odpínat	podpínat
odpřahat	vypřahat,spřahat,zapřahat,rozpřahat,připřahat,přepřahat
odrat	prodrat,udrat,drát,drát
odsadit	podsadit
odér	dar,dozor,díra,dívat,zděř,Zátor,Dírná,Zour,user,dýka,zeď,Zeyer,dítě,Dora,dík,Ir,pod,dít,odzírat,série,záře,díže,rodit,Voděra,pozor,oj,dé,dinár,rozdírat,sýr,rdít,Oset,vzdor
oficiální	oficiál
oheň	Henry,Hein,hec,Hejnice,Henoch
ohlášet	vyhlášet
okno	knot,oko,Kováč,kov,Kovač,Keňa,dok,okařit
oko	cé,sto,Ota,kost,okno,ovce,kov,čin,zet,ovoce,koza,Kůst,Kováč,dé,oj,dock,okus,košt
okrojit	dokrojit,prokrojit,krojit
okrvavit	zkrvavit
oktan	oktáva
oktáva	oktan
okusit	zkusit,okus,zakusit
olovo	Ola,olovář,Olina
omrzat	promrzat
omráčit	zmráčit
omšít	šít
op	Pop,pop
opak	opakovat
opat	pat
oploštit	zploštit
oploštět	zploštět,oploštit
opláchnout	pláchnout,propláchnout,vypláchnout
oplítat	proplítat
oponovat	proponovat
oprostit	zprostit,zprostit,vyprostit,sprostit
optimalisovat	zoptimalisovat
optimum	optimát
opus	pusa
opylit	zapylit
opál	opálka
opřádat	zapřádat,upřádat,dopřádat,vypřádat
orace	orat,orátor,Orava,proorat,Dora,Raet,orel,ráčit,dravý,Uran,Ural,Rath,urin,odrat,Renoir,Zralý,zrát,rak,rána,Orta,zrak,dozorce,raný,ráčkovat,Irena
orat	orace,orátor,proorat,odrat
orchestr	orchestrovat
ordinovat	ordinář
orient	orientovat
osa	vosa,rosa
osel	síla,Oset,osev,Osetie,nos,Nos,sen,diesel,los,Nosál,sysel,sít
osev	Oset
osma	Osman
osoba	osobit
ostrostřelba	střelmistr,lukostřelba
ostruha	struha
ostrý	ostrov,strýc
osud	sud,soda,Sudek
osychat	dosychat,prosychat,osýchat
osýchat	dosýchat,prosýchat,osychat
otep	tep
otevřít	polootevřít,znovuotevřít
otrsat	trsat
out	dout,zout,zarout,aut,rozdout,Jut,vát,vně,půst,Nat,oj,psout
ovadat	uvadat
ovce	vně,oj,cé,Vey,vát,zet,Poe,sto,ujec,oko,Ota,deka,čin,záře,zajíc,dé,Nat,ovoce,Doyle,antika,um,rvát,veka
oves	ves,ověs
ovoce	cé,ovce
ozdravět	zdravět
ozón	zóna
očurat	čurat
ořech	Ořechov,vořech
oškicnout	doškicnout
ošklíbat	pošklíbat
oťupat	ťupat,poťupat
pacht	pachtit
padat	vypadat
pakt	pást,Paka,past,páčit,pak
palec	palice
palice	Palin
pan	pán
panel	pánev,pan,Pan,pán
panorama	panoráma
panoráma	panorama
papat	papá
paprsek	paprika
papá	papat,papája,Papák,papuč,papula,Papuán
parafa	parafin
parafin	parafín
paralýza	paralyzovat
parazit	parazitit,razit
parker	párkář,párkař
parodie	parodont
parodont	parodie
part	parta,partie,parter,párat,partykovat,partner,partičkařit,Parth,parkovat,Sparta,zpartekovat,párkář,nárt,pára,pár,párkař,Pareto,pero,port,partneřit,pářit,rozpárnout,pařák,partyzán,parker,Parker,Párs,parcela,partizán,spurt,Perota,parádovat,parírovat,čtvrt,perník,zapartykařit,Perout,parita,pnout,zpartykařit,pádlo
parta	part,Sparta
paráda	parádovat
pasivní	pasivovat
pasovat	pas
past	pást,pasta
pasta	past,pastvit
pat	pata,opat,pátek,zupat
pata	Zapata,pat,patina,pátek
patro	patrona,pátrat
patron	patrona
patrona	patron
paša	pašák,pašovat,Pašta,paštika,pašík,pach,Paka
paštika	Pašta
paže	pažit,pařez,panika,Panák
pec	Peck,pecka,Pecina,píce,péče,péci,pat
pecka	Peck,pec,Pecina
pelyněk	Pelin
pentan	pentle
penze	peníz
perzekuce	perzekuovat
pes	pesík,písek,ves,peskovat,píst,pás,Pesch,pec,oves,pěst,pas,vřes,viks,Pikt,Řek,Pásek,píka,Peck,píď,zápas,přesný,pasíř,Pšov,přísný,víko,píča,řeka,eses,pěší,past,jíst,pást,oj,kiks,pysk,ovce,prs,pásnout,les,průpis,um,převis,zem,povyk,příst,vsyp,proces,Nos,nos,Paska,pak,průsek,pasovat,předek,ověs,iks,půst,nést,česnek,Mikes,Řečice,péče,píce,ujec,čin,vně,otec,vést,Piave,záře,věk,pikovat,pšenice,plsť,oko,vosa,pat,Pěč,zpěčit,Pescar,zesýřet,pěstit,veka,vset,Novák,Poe,tisíc,zajíc,pasta,tečka,zatesnout,zesítit,zet,přírodopis,pecka,písničkařit,opice,Zvíkov,piano,Tisa,Teka,pot,přední,piksla,pnout,Ota,čísnout,zpívat,síci,pěkný,pod,Padova,osa,účinek,Vey,řečit,peníz,vosk,vak,cé,zpíčit,řepa,pestřit,dock,řevnit,účes,časopis,rek,teč,Nat,Sovík,Ulč,spasit,Sup,necky,viset,zeď,piknik,los,zen,jistý,Opasek,Dyk,pinie,op,Zeus,zátinek,pátek,pero,sůl,čina,pospat,Peking,ovoce,nový,voj,péci,čas,vize,pekařit,prst,vát,lis,visnout,pizda,dík,pastvit,jíní
pestřit	zpestřit
pesík	pes,peskovat
petržel	Petržela
piano	Piave
pila	píle
pindat	rozpindat
pivoň	Pivoňka
placatý	plácat
plachta	Placht
plachý	pláchnout,Placht,opláchnout,vypláchnout,plachta
plakat	plakát
plast	plastika
plastika	plast,zplastičtit,plastinovat,zplastičtět,neoplastický
platit	platina
plazma	plazit,protoplazma
plyn	plynit
pláchnout	vypláchnout,opláchnout,propláchnout
plán	Plánka,Plávka,plát,plát,planeta,zplanit,plátno,vyplanit,plankton
plát	plátno
plát	plátno,Plávka,plavat,plán,Pluto
plátno	plát,plát
plést	plečka,plít,plít
plíce	plít,plít
plíseň	plísnit
plít	plíce
pnout	pnít
pod	půst,Poe,půda,původ,zeď,podiv,zárod,podlý,vně,nos,Nos,pozice,podolí,póza,pot,pár,nářadí,vodovod,oj,dno,pozitivní,pouto,dýně,Pound,Nat,dna,Párs,zem,ovce,um,dům,záře,čin,zen,jod,příroda,op,zívat,donace,piano,Ota,Doyle
podestýlat	odestýlat
podmítka	podmět
podsada	podsadit
podsadit	podsada
poezie	Poe
pogo	Joga,poezie
pohřbít	hřbet
poker	pokérovat
polda	poldovák
pole	polní,Polsko,police,půl,polovat,poleno,Polena,políček,pól,poltit,policie
poledne	Poledník
poleno	Polena
police	policie
policie	police
polopatě	lopata,Lopata
pomejšlet	domejšlet
pomnít	pomník,zapomnět,pomněnka
pompa	pumpa
ponoukat	poňoukat
pop	op
popel	popelka
populární	zpopulárnit
porce	port
port	porta,porce
porta	Portnoy,port,porota,porce
poslat	doslat,zaslat,vyslat
pospíchat	spíchat
postlat	dostlat
posunek	posuněk
posuněk	posunek
pouto	pouť
pouzdro	pouzdrař,pouzdřit
pouť	pouto,půst,podlý,pot
povrtit	dovrtit,uvrtit
pozemský	pozemek
pozor	dozor
pozápadnit	pozápadnět
pozápadnět	pozápadnit
pozřít	zřít
počít	načít,čít
poňoukat	ponoukat
prak	práce
praktikum	prakticismus,zpraktičtit
praxe	udice,udit,zadina,dýně,pravý,Praha,Radek,prase,Praj,Antily,adovat,Doyle,deka,rejdit,aditivní,příroda,prýmek,přední,dinár,denár,předek,nadít,pradlář,nářadí,Rýn,ujec,jiný,ananas,prázdný,rada,antika,dívat,um,rejd,datel,den,zajíc,dekovat,cé,urna,dna,odpůrce,dioda
praštět	praštit
premiér	premiéra
premiéra	premiér
prim	prima,prémie
prima	primán
princ	princes,privát,prst,prérie,sprint
prizma	prima
prkno	prst
proces	proc
procuraindosament	prokuraindosament
prodrat	odrat
produchovnět	produchovnit
progres	progrese,progredovat
progrese	progres
projekce	projekt
projekt	projekce
prokura	kura
prokuraindosament	procuraindosament
promejšlet	domejšlet
promoce	moci
promrzat	omrzat
propan	pan,Pan,pán
propláchnout	pláchnout,opláchnout
prorok	rok
prosrat	přisrat,dosrat,přesrat,odsrat,usrat
prostý	sprostý
prosychat	osychat,prosýchat
prosýchat	prosychat,osýchat
protest	test
proud	proudit
provlhat	vlhat
provázet	Provázek
províjet	dovíjet
pročmuchat	dočmuchat
prs	prst,vyprsit,prim
prst	prs
prvý	první
pryštit	prýštit
práce	prát,pravý,prak,pracka,prach,oprať,uprat,naprat
práh	Praha,zápraž
prát	práce,uprat,pravý,přát,naprat,přít
prýmka	prýmkář
prýštět	prýštit
průduch	průduška
psout	vsout
psát	půst,příst,psout,vně,vset,pot,nový,přít,Poe,piano,snout,zen,prát,Nick,Nat,sát,vzít,pouť,Piave,přední,přesný,nést,půda,nit
pták	ptát
ptát	pták,Pták,uptat
pult	puls
punk	punč,punkt,puncovat,punktovat
punkt	punk,punč,punktovat,puncovat
pusa	pustý,opus
puč	pučit,Puk,pučet,půst,punč,vypučovat,pouť,počít,pustý
pučet	pučit
pučit	puč
pytel	Telč,zpyt,tele
pádlo	pádit
pájet	napájet
pálit	pálat,palice
pán	pan,Pan
pánev	panel,pán,Pan,pan
pár	pára,párkář,Párs,pářit
pára	pár,párat,spára,Párs,párkář,pářit
párat	pára
párkař	párkář
párkář	párkař
pás	Pásek,pas
pást	past,Pásek,pásnout,pakt,pás,pasta,pastvit
páter	páteř
páteř	páter
péci	péče,pécéčko,Peck,pec,píce
péče	péci,pécéčko,píce,píča,pec,Peck,zpíčit,píka,zpívat,pít,vypíčit,pátek,zpět,zpětit,zpěčit,pět,pevný,Pikt,pecka,pětník,Pěč,pečeť,peníz,píst,zpěčovat,pnout,pěna,Pelé,supět,zpátek,přepečovávat,píle,pétépák,pekařit,pat,píár,pentle,pnít,pěnice,zpětvzít,penze
píce	píča,píka
píka	píča,píce,Pikt,píst,pěkný,zpíčit,Pěč,písek,vypíčit,zpěčit,pít,péče,pět,pikovat,popíkář,pec,Peck,pěst,pětník,pěší,zpěčovat,opice,piknik,pěna,píár,zpívat,pitvat,píle,picnout,péci,pecka,zpěknit,pěnice,pikat,spíkr,vzpěčovat,pes,zpět,pást,pátek,pakt,pekařit,Paka,Pásek,Piter,řapík,zpětit,Piave,pinie,pak,pata,pila,Pila,supět,pnít,pat,píchat,pécéčko,čapíkovat,pesík,opět,spět,piksla,víko,pnout,páčit,příčit,Pecina,pás,pečeť,Pivín,píď,peníz,přítel,upír,Pop,pop,příčina,Piper,řeka,přít,zpěknět,půst,povyk,pech,odpínat,zápecník,pěchovat,past,pinkat,pikola,páteř,patetika,písničkařit,Pšov,příst,přepečovávat,průpis,vzít,úpět,op,Sup,Pelé,Vápeník,vápeník,pípat,zpátek,Řečice,Piťha,zátka,pikýrovat,pupek,pot,zpichovat,pěstit,optika,páter,Řek,čin,Petr,pepř,zopačit,zíta,piano,záře,patina,Spitta,pískař,Spina,pšenice,zpětvzít,pečivář,pepa,Pepa,popelka,řepa,panika,nasupit,pásnout,pětistovka,propan,zátinek,podpínat,Zapata,pipeta,spiknout,pivoň,Picasso,pinčl,zívat,Pesch,Čína,počít,Zátor,piklovat,Čapek,pískat,prst,pac,pospat,opak,pentle,přepona,penále,vzpínat,penze,epika,Zappa,čapět,popel,Popel,necky,rozpínat,pasta,spát,peklo,Pju,Pinkas,pakl,prospěch,přát,prkno,pecnář,provoz,průsek,veka,pikantní,pářit,čeka,Zvíkov,Poe,čina,opakovat,jíst,pevný,poříčí,potence,puč,rozpěra,oj,vně,pílit,kypět,Pozník,řečit,přispat,příjice,Pivoňka,sípět,přezka,Říčan,prostý,opat,Spěvák,zet,pasíř,Zita,psát,Panák,začít,začít,začít,zen,přívoz,zajíc,pápěra,překovit,zopáknout,papír,zpěvec,prát,páv,přesný,projekt,nový,zapovat,Paska,zip,vápeničit,načít,pas,říci,věk,Nick,pero,čočka,pizda,Viktor,pučit,Novák,zapevnit,zpyt,čpět,próza,Piccard,připásat,zčitelnit,patent,poníkář,vikář,peskovat,pětiletý,Pelin,pozice,zupák,půjčit,pupen,poník,propásnout,prvý,etika,Pétain,půl,pěnkava,Piast,Ob,čít,Napier,přepočíst,číst,Nat,pár,dík,ujec,jepice,Popper,účinek,předek,Petera,Proust,biopekař,oko,pýřit,dopink,prérie,práce,princ,zípat,zpříčinit,pach,perník,Peřina,Teka,závitka,pokoj,vést,prs,plsť,kopist,pustý,osopit,pionýr,políček,přípoj,Opočno,prozřetelný,pan,Pan,ovce,vypočinout,čnít,přísný,přední,zpovykat,pitomý,zřít,kopec,piškot,prak,zpopelnět,pouť,plíce,nikl,přepichovat,předpínat,neckař,pytel,různý,zápůjční,potkat,vápenět,zenit,Peking,pastvit,Vína,průčelí,řevnit,tečka,nést,pouto,Řezáč,supat,provozář,pán,neřest,kopit,Jičín,pole,Ota,vsyp,privát,naspat,spočíst,zupat,Vey,znát,viks,Piešťany,Puk,bečka,Kopeč,Prokop,otec,přízeň,sopka,prťák,Pešice,čnět,spíchat,pýcha,Spinoza,zpeřit,pilíř,uvěčnit,znělka,projekce,růst,zastřít,učitelík,příští,přepásat,zítra,pětituna,zeť,pauza,zaktivnit,uspíšit,pingl,vzácný,obec,čich,putna,piha,přeonačit,Úpa,zařknout,unita,ves,uřknout,perla,zkýčařit,piklit,zapšknout,paket,antika,zpevnět,plný,ničit,jíní,pačok,přispíšit,počínštit,plyn,přispávat,kopí,jít,precizní,učit,spočívat,teč,vůně,oponář,zápas,zátočina,vikýř,Pousta,čekovat,epitel,pištět,nit,kýč,pelyněk,Kůst,Opasek,pára,psout,zout,první,Čečen,Patočka,přísun,znatel,udit,přírodopis,udice,přitělovat,pykat,dock,pučet,vát,proc,unie,Ulč,vina,znít,značit,spěchat,Vopěnka,přivykat,Vaněk,Potůček,Pilát,tele,rozpočtář,opium,povysát,pysk,Vaník,odpočnout,pozřít,prior,nízký,průlina,Opava,úcta,Kovač,Provázek,pod,pouťák,zátiší,opuka,kost,pravý,protekce,Telč,Říp,zem,paprika,zákup,pranostika,pétépák,respekt,prstýnkář,pilot,zapeřit,vpírat,prokovit,zelí,pořečtit,jiný,vypeřit,optovat,utopie,Zrůst,věc,Kikuj,část,Praj,cé,Plzák,vyakčnit,zapchnout,Kováč,nota,police,přepírat,Zedník,vápno,papat,ústa,vít,Vít,pocta,Poznaň,párkář,spad,upload,připařovat,Prokš,Řenč,náčelní,řítit,Úštěk,učout,úkon,vřít,zpikantnit,vřes,nazála,zaktivnět,předčit,čáp,pospíchat,přepeřit,dítě,proponovat,pánev,rek,plout,pozoun,Apple,skopec,přičitat,sprostý,pestřit,zpříkřet,prim,Onan,přísnit,odpočívat,zvát,zvát,Pilich,opeřit,čísnout,atika,práh,pospíšit,zesýřet,Čou,prostřít,prospektor,čop,půda,aspekt,bez
píle	pílit,Pila,pila
písek	píst
píst	písek,pěst,Pikt
pít	pět,píce,pětník,supět,píár,zpět,píča
píča	píka,píce
pól	polní,pole,Polsko,police,půl
pór	porce
pórovatět	zpórovatět
pěna	pěnice
pěnice	pěna
pěst	píst
pět	pít,pětník,supět,zpět,píce,opět,zpětit,Pěč,píča,píka,pitvat,pat,pec,píár,úpět,píle
pěší	Pěč
předeslat	přeslat,odeslat
předestřít	odestřít,rozestřít
přelodit	nalodit
přepočíst	spočíst
přepřahat	vypřahat,vpřahat,zapřahat,připřahat,spřahat,odpřahat,rozpřahat
přeslat	předeslat
přesný	přísný,přední
přesrat	přisrat
přesychat	přesýchat
přesýchat	přesychat
převýšit	vyvýšit
přezka	stezka,Kůst,kost,předčit
přichutit	ochutit
připřahat	zapřahat,přepřahat,spřahat,odpřahat,vypřahat
přispat	přispávat
přisrat	přesrat,prosrat
přisychat	přisýchat
přisýchat	přisychat
příst	přísný,příčit,přít,přesný,půst,přát,vně,přední
přít	přítel,přát,příst,příčit,příští,prát,vně,vřít
přítel	přít
přízeň	zen,zenit
půst	vně,Poe,pot,zout,Nat
rab	Ráb
rabi	rabiák,rabiát,rab,Ráb,Rabštejn
rachat	ráchat
rada	radovat,Radek,radon,radar
radar	rada,radovat
radon	Radouň,rada
rafika	rafičit
rafičit	rafika
rajka	ráj
rak	zrak
rakev	raketa,Rakovník,rak
rameno	ramenář
ranč	rána,raný,Rankov
rap	vrap
ras	rasa
rasa	ras,řasa
razit	razítkář
recept	recepce
reklama	reklamovat
relykrosový	kros,krosna,relokovat,relax,zkritisovat,zakritisovat,kritisovat,krosnář,sakrovat,rallyekros,diakritika,odsadit,losos,makrela,krosček,kras,lakros,krinoid,recesismus,sakrální,korelovat,elaidinizovat,Šlosar
remíza	remíz
rentovat	renta
reorganisovat	zreorganisovat
represe	deprese,repríza
ret	retina,retinovat,rétor,rek,Renáta,réva,Raet,Renč,Rive,rýt
retina	retinovat
revanš	revanšovat
revma	réva
revoluce	revolucionařit,evoluce,revolucionovat
rez	rezivý,ryzí,dřez,bez,řezat,anýz,zeď,reznout,Řezník,zet,pařez
rezerva	rezervoár
reální	reálný
reálný	reální
režie	režim
rock	rockovat,rošt
roh	rohovatý,rohovník,růže
rohovatý	roh
roj	Rojka
rok	prorok,dok,úrok,nárok,rak,rošt
role	Rol
rolovat	Rol
román	Roman,Romanov
rosa	osa,vosa,růst
rota	rotovat,routa,Roth,Dorota,rock,Rotar,porota,rutina
roura	rourař
rozbydlet	bydlet
rozbředat	bředat
rozchvátit	zchvátit
rozcitlivět	zcitlivět
rozdout	dout
rozedrat	zedrat
rozeslat	přeslat
rozesrat	zesrat
rozesychat	rozesýchat
rozesýchat	rozesychat
rozjařit	zjařit
rozklofat	klofat
rozlítit	rozlítnout
rozmrzat	zmrzat
rozptýlit	zptýlit
rozpřahat	rozpřáhat,vypřahat,zapřahat,odpřahat
rozpřáhat	rozpřahat
rozradostnět	zradostnět
rozresonovat	zresonovat
rozsocha	socha
rozsychat	rozsýchat
rozsýchat	rozsychat
roztrpčit	ztrpčit
rozvichřit	vichřit
rozvrtit	uvrtit
rošt	růst,rock,rok
rubat	Rubák
ruch	ruka
rudý	Ruda
ruka	rukovat,ruch,ruina,paruka,routa
rum	Rusko,rudý
rusý	Rusko,Rusín
rvát	vát,řvát,ovce,ujec,oj
ryba	Rybák,Rybář
rychta	rychtovat
ryšavět	zryšavět
rádlo	Radek
ráj	rajka,roj,Rojka,rajcovat,Rovný,rovný,rána,rap
rám	rámě
rámě	rám,rámus,rameno
rána	raný,ranč
rýha	rýže
rým	dým,rýma
rýma	rýmař,rým
rýt	Rýn
rýže	rýha
růst	Zrůst,rošt,rosa,různý
sadit	Sadil,odsadit,Sádek,Sadov
sahat	zasahat,vsahat
sajdkára	sajdkárkros
salaš	salašit
samec	samet
samet	samec
sankce	sankciovat
sardinka	sardinkář
sardinkář	sardinka
sekce	sekta,set,sekat
sekvence	sekvencovat
selekce	selektiva,selektovat
selektovat	selektiva
sen	seno,set,Seneka,zen,síň,senát,den,skin,sít,ven,nový,sát,sova,Sova,Oset,siena,Novák,síci,sítina,sto,čin,senilní,osel,vosa,osa,sekce,vset,dna,nos,Nos,osev,Poe,síla,ovce,syn,Vey,sivý,Stin,vně,snout,scan,men,vyosit,zenit,secese,skica,přesný,síť,eses,Sovík,Ota,vina,dé,Stoy,saně,deka,Nick,Siva,zajíc,sál,Svatý,svatý,oj,cé,necky,antika,psát,senior,Osetie,osten,svat,svůj,siný,Nat
seno	senát,sen,set,Seneka,síci
senzibilní	senzibil
senzitiv	senzitivní
senzitivní	senzitiv
seraf	Serafína
sesmekat	smekat
set	Oset
sever	Severa
sex	sexovat
sexus	sexovat,sex,soused,duše,sérum,Erós,Erós,dosedat,Duša,předseda,dusit,Rusko,šos,Zeus,Sioux,deismus,Saud,odsedat,sesedat,sesout,příroda,rozsedat,dusat,Irák,xerox,kros,dusný,soda,Sekera,sekera,eroze,Mikes,zadušit,posedat,virus,dioda,Dák,osmóza,Dušín,vous,osud,vsedat,Sadov,Eda,přisedat,erudovat,user,dok,kosmos,rusý,šús,vyexovat,ďas,Srp,srp,sadovník,Sasko,Moser,Doksy,Mikis,edukovat,kosíř,skikros,osma,sedět,Ovidius,Wood,sud,Dewar,karosa,kos,iks,Sum,ušař,vysedat,Izák,série
sešikmit	zešikmit
silika	silice,silikát,silt
silikát	silika
sinus	siný
sirý	síra,Usir
sivý	Siva
skalp	skialp
skialp	skalp
sklamat	klamat
sklep	sklepník
sklo	kilo,Keňa,Klos,Kelč,skica,okno,sekce,Kloss,Kováč,clo,seno,sekat,Seneka,kelt,síknout,Kovač,kov,klovat,set,knot,skin,antikva,sivý,skicnout
sklovatět	zesklovatět
skopec	kopec
skála	Skalka,Skalice,Skalník
skýtat	naskýtat
skřípat	skřípět
slabý	slabika
slad	sladký,sladit
sladit	sladký
sladký	sladit,slad
slalom	slalomovat
slavit	slavík
sled	slez,Slezsko,slída,slad,sliz,slídit,následný
slez	Slezsko,sled
sloupkař	sloupkář
sloupkář	sloupkař
slout	sloup,slynout
slunce	slon
slyšet	slušet
smekat	sesmekat
smetí	smeč
smích	Smíchov
smět	Smělý
smůla	Smola
sníh	něha,nížit,Něnec
socha	rozsocha
soda	sud
sok	dok
solar	dolar
soma	Sodoma,soda,Sum,suma,rosomák,Siam
sonografie	fonografie
spedice	speditér
sploštit	zploštit,oploštit
spor	spora,sporý,Sporck,spořit,sport,spára,rozpora,prapor,zasporovat,opora,zúspornit,pár,spurt,pod,pozor,Zátor,odpůrce,pára,dozor,rozporovat,vzor,Zour,purpur,porce,sponzor,Špůr,přespořit,upír,diaspora
spora	spor,sporý
sport	spurt,Sporck
sporý	spora,spor
spočíst	spočívat,přepočíst
sprostit	oprostit,sprostý,zprostit,zprostit,vyprostit
sprostý	sprostit,prostý
spurt	spurtovat,sport,spurtér
spát	pospat,přispat,naspat
spíchat	pospíchat,spěchat
spěchat	spíchat
spřahat	odpřahat,připřahat,přepřahat,vypřahat,zapřahat,vpřahat
srnec	Srník,Srna
srp	sýr
srst	srdce,srkat
srát	přesrat,dosrat,přisrat,odsrat,prosrat,srnec,sráz,Srna,zesrat,usrat,rozesrat
star	starý
starý	star,starat,Stoy,stádo,start
statika	statistika
statistika	statika
stenografie	stenografovat
stlát	dostlat,přestlat,postlat,přistlat
