# derivations that will be added to DeriNet based on Etym dict derivations list
# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 395 new probably correct derivation, cca 97,5 % precision
derivation	parent
plemenit#V????--??-??I??	plemeno#NNN??-----A---?
plovoucí#AA???----1?---?	plovat#V????--??-??I??
pletací#AA???----1?---?	plést#V????--??-??I??
pozdější#AA???----1?---?	pozdě#Dg-------?A---?
svéprávný#AA???----??---?	právo#NNN??-----A---?
prezidium#NNN??-----A---?	prezident#NNM??-----?---?
prubnout#V????--??-??P??	průba#NNF??-----A---?
reprodukce#NNF??-----A---?	reprodukovat#V????--??-??I??
projekce#NNF??-----A---?	projekt#NNI??-----A---?
prosektor#NNM??-----A---?	prosektura#NNF??-----A---?
prozodický#AA???----??---?	prozódie#NNF??-----A---?
prosperita#NNF??-----A---?	prosperovat#V????--??-??I??
vyprostit#V????--??-??P??	prostý#A????----??---?
prostoduchý#AA???----??---?	prostý#A????----??---?
prostovlasý#AA???----??---?	prostý#A????----??---?
prostořeký#AA???----1?---?	prostý#A????----??---?
první#AA???----??---?	prvý#AA???----1?---?
pramice#NNF??-----A---?	prám#NNI??-----A---?
pubescent#NNM??-----A---?	puberta#NNF??-----A---?
napuchnout#V????--??-??P??	puchnout#V????--??-??I??
puc#NNI??-----A---?	pucovat#V????--??-??I??
pudřenka#NNF??-----A---?	pudr#NNI??-----A---?
puncovat#V????--??-??I??	punc#NNI??-----A---?
poupě#NNN??-----A---?	pupen#NNI??-----A---?
pec#NNF??-----A---?	péci#V????--??-??I??
duchapřítomný#AA???----??---?	přítomný#A????----??---?
přímočarý#AA???----??---?	přímý#AA???----??---?
přísnět#V????--??-??I??	přísný#AA???----??---?
spor#NNI??-----A---?	přít#V????--??-??I??
půdorys#NNI??-----A---?	půda#NNF??-----A---?
registratura#NNF??-----A---?	registrovat#V????--??-??B??
reklamovat#V????--??-??I??	reklama#NNF??-----A---?
rekordman#NNM??-----A---?	rekord#NNI??-----A---?
religionistika#NNF??-----A---?	religiózní#AA???----??---?
rezervovat#V????--??-??B??	rezerva#NNF??-----A---?
rezonance#NNF??-----A---?	rezonovat#V????--??-??I??
rezultovat#V????--??-??I??	rezultát#NNI??-----A---?
nároží#NNN??-----A---?	roh#NNI??-----A---?
romanopisec#NNM??-----A---?	román#NNI??-----A---?
ropovod#NNI??-----A---?	ropa#NNF??-----A---?
rotmistr#NNM??-----A---?	rota#NNF??-----A---?
obroubit#V????--??-??P??	roubit#V????--??-??I??
rošťák#NNM??-----A---?	roští#NNN??-----A---?
vzruch#NNI??-----A---?	rušit#V????--??-??I??
rychtovat#V????--??-??I??	rychtář#NNM??-----A---?
růžovka#NNF??-----A---?	růže#NNF??-----A---?
sardinka#NNF??-----A---?	sardel#NNF??-----A---?
sarkastický#AA???----??---?	sarkasmus#NNI??-----A---?
satanáš#NNM??-----A---?	satan#NNM??-----A---?
seizmický#AA???----??---?	seizmograf#NNI??-----A---?
seizmologie#NNF??-----A---?	seizmograf#NNI??-----A---?
semifinalista#NNM??-----A---?	semifinále#NNN??-----A---?
separátní#AA???----1?---?	separovat#V????--??-??B??
simplifikovat#V????--??-??B??	simplifikace#NNF??-----A---?
sklovatět#V????--??-??I??	sklo#NNN??-----A---?
skokanka#NNF??-----A---?	skočit#V????--??-??P??
skrečovat#V????--??-??B??	skreč#NNF??-----A---?
skvoucí#AA???----1?---?	skvít#Vf--------A----
naskytnout#V????--??-??P??	skýtat#V????--??-??I??
skřípět#V????--??-??I??	skřípat#V????--??-??I??
následný#AA???----??---?	sledovat#V????--??-??I??
sloužit#V????--??-??I??	sluha#NNM??-----A----
násloví#NNN??-----A---?	slovo#NNN??-----A---?
sofista#NNM??-----A---?	sofistika#NNF??-----A---?
předsudek#NNI??-----A---?	soud#NNI??-----A---?
specifikovat#V????--??-??B??	specifický#AA???----??---?
zesrat#V????--??-??P??	srát#V????--??-??I??
statovat#V????--??-??I??	statista#NNM??-----A---?
postižený#AA???----??---?	stihnout#V????--??-??P??
stoupit#V????--??-??P??	stoupat#V????--??-??I??
nastoupit#V????--??-??P??	stoupat#V????--??-??I??
postoupit#V????--??-??P??	stoupat#V????--??-??I??
přestoupit#V????--??-??P??	stoupat#V????--??-??I??
předstoupit#V????--??-??P??	stoupat#V????--??-??I??
přistoupit#V????--??-??P??	stoupat#V????--??-??I??
sestoupit#V????--??-??P??	stoupat#V????--??-??I??
ustoupit#V????--??-??P??	stoupat#V????--??-??I??
vstoupit#V????--??-??P??	stoupat#V????--??-??I??
vystoupit#V????--??-??P??	stoupat#V????--??-??I??
zastoupit#V????--??-??P??	stoupat#V????--??-??I??
stanovit#V????--??-??P??	stan#NNI??-----A---?
odstín#NNI??-----A---?	stín#NNI??-----A---?
postřehnout#V????--??-??P??	střežit#V????--??-??I??
střídnice#NNF??-----A---?	střídat#V????--??-??I??
střižený#AA???----??---?	střihat#V????--??-??I??
subskripce#NNF??-----A---?	subskribovat#V????--??-??I??
sulcovatět#V????--??-??I??	sulc#NNI??-----A---?
suspenze#NNF??-----A---?	suspendovat#V????--??-??P??
zasvědit#V???---??-??P??	svědit#V????--??-??I??
zesvětštit#V????--??-??P??	svět#NNI??-----A---?
synkopovat#V????--??-??I??	synkopa#NNF??-----A---?
syntagmatický#AA???----??---?	syntagma#NNF??-----A---?
syntetický#AA???----??---?	syntéza#NNF??-----A---?
síran#NNI??-----A---?	síra#NNF??-----A---?
secí#AA???----1?---?	sít#V????--??-??I??
osivo#NNN??-----A---?	sít#V????--??-??I??
tabulátor#NNI??-----A---?	tabule#NNF??-----A---?
tažený#AA???----??---?	táhnout#V????--??-??I??
tažení#NNN??-----?---?	táhnout#V????--??-??I??
tajemný#AA???----??---?	tajit#V????--??-??I??
teletina#NNF??-----A---?	tele#NNN??-----A---?
extenzita#NNF??-----A---?	extenzivní#AA???----??---?
teorém#NNI??-----A---?	teorie#NNF??-----A---?
tep#NNI??-----A---?	tepat#V????--??-??I??
útes#NNI??-----A---?	tesat#V????--??-??I??
utichnout#V????--??-??P??	tichý#A????----??---?
tištěný#AA???----??---?	tisknout#V????--??-??I??
protkat#V????--??-??P??	tkát#V????--??-??I??
vztlak#NNI??-----A---?	tlačit#V????--??-??I??
toxikoman#NNM??-----A---?	toxikomanie#NNF??-----A---?
trempink#NNI??-----A---?	tramp#NNM??-----A---?
trh#NNI??-----A---?	trhat#V????--??-??I??
strnisko#NNN??-----A---?	strniště#NNN??-----A---?
trenér#NNM??-----A---?	trénovat#V????--??-??I??
trenýrky#NNFP?-----A---?	trénovat#V????--??-??I??
odtučnit#V????--??-??P??	tuk#NNI??-----A---?
tuplem#Db-------------	tuplovaný#AA???----??---?
tuplák#NNI??-----A---?	tuplovaný#AA???----??---?
tygřice#NNF??-----A---?	tygr#NNM??-----A---?
tyčinka#NNF??-----A---?	tyč#NNF??-----A---?
turista#NNM??-----A---?	túra#NNF??-----A---?
tyranie#NNF??-----A---?	tyran#NNM??-----A---?
utěšit#V????--??-??P??	těšit#V????--??-??I??
třecí#AA???----1?---?	třít#V????--??-??I??
poctít#V????--??-??P??	čest#NNF??-----?----
samouk#NNM??-----A---?	učit#V????--??-??I??
závada#NNF??-----A---?	vadit#V????--??-??I??
veličenstvo#NNN??-----A---?	velký#AA???----??---?
povinný#A????----??---?	vina#NNF??-----A---?
vinš#NNI??-----A---?	vinšovat#V????--??-??I??
vis#NNI??-----A---?	viset#V???---??-??I??
visací#AA???----1?---?	viset#V???---??-??I??
převis#NNI??-----A---?	viset#V???---??-??I??
vnučka#NNF??-----A---?	vnuk#NNM??-----A---?
