# Derivations intermediate from 'srov'
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# EtymDict: "derivation" is maybe derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"

# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct



parent	grandparent	derivation
excitovat#V????--??-??I??	citovat#V????--??-??I??	excitace#NNF??-----A---?
deklarovat#V????--??-??B??	clearing#NNI??-----A---?	deklarace#NNF??-----A---?
uctít#V????--??-??P??	co#Db-------------	čest#NNF??-----?----
kontingence#NNF??-----A---?	kontakt#NNI??-----A---?	kontingent#NNI??-----A---?
kontaminovat#V????--??-??B??	kontakt#NNI??-----A---?	kontaminace#NNF??-----A---?
korpulence#NNF??-----A---?	korpus#NNI??-----A---?	korpulentní#AA???----??---?
čůrat#V????--??-??I??	crčet#V????--??-??I??	čurat#V????--??-??I??
cvaknout#V????--??-??P??	cvičit#V????--??-??I??	cvakat#V????--??-??I??
flexe#NNF??-----A---?	scvrknout#V????--??-??P??	působit#V????--??-??I??
zas#Db-------------	scvrknout#V????--??-??P??	zase#Db-------------
cvrkat#V????--??-??I??	cvrlikat#V????--??-??I??	cvrček#NNM??-----A---?
čachtat#V????--??-??I??	cákat#V????--??-??I??	čvachtat#V????--??-??I??
daktyl#NNI??-----A---?	dativ#NNI??-----A---?	daktyloskopie#NNF??-----A---?
decimální#AA???----1?---?	decimovat#V????--??-??I??	decimálka#NNF??-----A---?
indukovat#V????--??-??B??	dedukovat#V????--??-??B??	indukce#NNF??-----A---?
akvadukt#NNI??-----A---?	dedukovat#V????--??-??B??	redukce#NNF??-----A---?
