parent	grandparent	derivation
kalíš#NNI??-----A---?	kalich#NNI??-----A---?	kalíšek#NNI??-----A---?
pak#Db-------------	kam#Db-----------??	kampak#Db-------------
kameraman#NNM??-----A---?	kamera#NNF??-----A---?	kameramanka#NNF??-----A---?
list#NNI??-----A---?	kandidát#NNM??-----A---?	kandidátka#NNF??-----A---?
kapitála#NNF??-----A---?	kapitál#NNI??-----A---?	kapitálový#AA???----??---?
kápnout#V????--??-??P??	kapat#V????--??-??I??	ukápnout#V????--??-??P??
karikovat#V????--??-??I??	karikatura#NNF??-----A---?	zkarikovat#V????--??-??P??
Katov#NNI??-----A---?	kat#NNM??-----A---?	katovský#AA???----??---?
katit#V????--??-??I??	kat#NNM??-----A---?	rozkatit#V????--??-??P??
kiksat#V????--??-??I??	kiks#NNI??-----A---?	kiksnout#V????--??-??P??
klasa#NNF??-----A---?	klas#NNI??-----A---?	klasový#AA???----??---?
podklesat#V????--??-??I??	klesat#V????--??-??I??	podklesávat#V????--??-??I??
click#NNI??-----A---?	klika#NNF??-----A---?	klikař#NNM??-----A---?
klofan#NNI??-----A---?	klofat#V????--??-??I??	klofanec#NNI??-----A---?
klást#V????--??-??I??	kláda#NNF??-----A---?	kladina#NNF??-----A---?
kmín#NNI??-----A---?	kmen#NNI??-----A---?	kmínek#NNI??-----A---?
koala#NNF??-----A---?	koalice#NNF??-----A---?	koalovat#V????--??-??B??
kolabovat#V????--??-??I??	kolaps#NNI??-----A---?	zkolabovat#V????--??-??P??
collegium#NNN??-----A---?	kolega#NNM??-----A----	kolegium#NNN??-----A---?
kola#NNF??-----A---?	kolo#NNN??-----A---?	kolový#AA???----??---?
bota#NNF??-----A---?	kopat#V????--??-??I??	kopačka#NNF??-----A---?
stroj#NNI??-----A---?	kopírovat#V????--??-??I??	kopírka#NNF??-----A---?
máčet#V????--??-??I??	kopr#NNI??-----A---?	koprovka#NNF??-----A---?
korodovat#V????--??-??I??	koroze#NNF??-----A---?	zkorodovat#V????--??-??P??
kout#NNI??-----A---?	kovat#V????--??-??I??	kujný#AA???----??---?
okuj#NNF??-----A---?	kovat#V????--??-??I??	okuje#NNF??-----A---?
kořit#V????--??-??I??	kořen#NNI??-----A---?	kořenářský#AA???----??---?
kreativní#AA???----??---?	kreace#NNF??-----A---?	kreativita#NNF??-----A---?
policie#NNF??-----A---?	kriminál#NNI??-----A---?	kriminálka#NNF??-----A---?
kritika#NNF??-----A---?	krize#NNF??-----A---?	kritický#AA???----??---?
kudlat#V????--??-??I??	kudla#NNF??-----A---?	okudlat#V????--??-??P??
kopa#NNF??-----A---?	kupa#NNF??-----A---?	kupka#NNF??-----A---?
kvik#NNI??-----A---?	kvičet#V????--??-??I??	kviknout#V????--??-??P??
kýla#NNF??-----A---?	kýl#NNI??-----A---?	kýlový#AA???----??---?
kora#NNF??-----A---?	kůr#NNI??-----A---?	kůrový#AA???----??---?
sladit#V????--??-??I??	ladit#V????--??-??I??	soulad#NNI??-----A---?
lakýrna#NNF??-----A---?	lak#NNI??-----A---?	lakýrnictví#NNN??-----A---?
dráha#NNF??-----A---?	lano#NNN??-----A---?	lanovka#NNF??-----A---?
taška#NNF??-----A---?	ledvina#NNF??-----A---?	ledvinka#NNF??-----A---?
rozlehnout#V????--??-??P??	ležet#V????--??-??I??	rozlehlý#AA???----??---?
líný#AA???----??---?	lenoch#NNI??-----A---?	lenoška#NNF??-----A---?
prolhat#V????--??-??P??	lhát#V????--??-??I??	prolhaný#AA???----??---?
lichoběžný#AA???----??---?	lichý#AA???----??---?	lichoběžník#NNI??-----A---?
lidnit#Vf--------A----	lid#NNIS?-----A----	zalidnit#V????--??-??P??
lidštit#Vf--------A----	lid#NNIS?-----A----	odlidštit#V????--??-??P??
bok#NNI??-----A---?	lokální#AA???----??---?	lokálka#NNF??-----A---?
zlotřit#V????--??-??P??	lotr#NNM??-----A---?	zlotřilý#AA???----??---?
loupit#V????--??-??I??	loupat#V????--??-??I??	výlupek#NNM??-----A---?
sloha#NNF??-----A---?	sloh#NNI??-----A---?	slohový#AA???----??---?
lukostřelba#NNF??-----A---?	luk#NNI??-----A---?	lukostřelec#NNM??-----A---?
léta#NNNP?-----A---?	léto#NNN??-----A---?	zletilý#AA???----??---?
růst#V???---??-??I??	léto#NNN??-----A---?	letorost#NNI??-----A---?
letět#V????--??-??I??	léto#NNN??-----A---?	letovisko#NNN??-----A---?
libý#AA???----??---?	líbat#V????--??-??I??	polibek#NNI??-----A---?
léč#NNF??-----A---?	líčit#V????--??-??I??	léčka#NNF??-----A---?
lehký#AA???----??---?	líhnout#V????--??-??I??	vylíhnout#V????--??-??P??
brambor#NNI??-----A---?	litovat#V????--??-??I??	lítostivý#AA???----??---?
bylina#NNF??-----A---?	lýko#NNN??-----A---?	lýkožrout#NNM??-----A---?
limonáda#NNF??-----A---?	malina#NNF??-----A---?	malinovka#NNF??-----A---?
malomoc#NNF??-----A---?	malomocný#AA???----??---?	malomocenství#NNN??-----A---?
manit#NNI??-----A---?	man#NNM??-----A---?	vymanit#V????--??-??P??
masa#NNF??-----A---?	maso#NNN??-----A---?	masový#AA???----??---?
mateř#NNF??-----A---?	matka#NNF??-----A---?	mateřština#NNF??-----A---?
mdlít#V????--??-??I??	mdlý#AA???----??---?	zemdlévat#V????--??-??I??
melodrama#NNN??-----A---?	melodram#NNI??-----A---?	melodramatický#AA???----??---?
methylen#NNI??-----A---?	metyl#NNI??-----A---?	metylén#NNI??-----A---?
metrum#NNN??-----A---?	metr#NNI??-----A---?	metrický#AA???----??---?
milostpán#NNM??-----A---?	milost#NNF??-----?---?	milostpaní#NNF??-----A----
déšť#NNI??-----A---?	minerál#NNI??-----A---?	minerálka#NNF??-----A---?
mizerie#NNF??-----A---?	mizera#NNF??-----A---?	mizerný#AA???----??---?
moci#V???---??-??I??	moc#Db-------------	mocnina#NNF??-----A---?
zmokat#V????--??-??I??	moknout#V????--??-??I??	zmoknout#V????--??-??P??
fotografie#NNF??-----A---?	moment#NNI??-----A---?	momentka#NNF??-----A---?
morfematika#NNF??-----A---?	morfém#NNI??-----A---?	morfematický#AA???----??---?
moralizmus#NNI??-----A---?	morální#AA???----??---?	moralista#NNM??-----A---?
zámot#NNI??-----A---?	motat#V????--??-??I??	zámotek#NNI??-----A---?
vléct#Vf--------A----	motor#NNI??-----A---?	motorák#NNI??-----A---?
kopr#NNI??-----A---?	močit#V????--??-??I??	zmáčet#V????--??-??P??
přímoří#NNN??-----A---?	moře#NNN??-----A---?	přímořský#AA???----??---?
podmoří#NNN??-----A---?	moře#NNN??-----A---?	podmořský#AA???----??---?
namrzat#V????--??-??I??	mrznout#V????--??-??I??	námraza#NNF??-----A---?
omrznout#V????--??-??P??	mrznout#V????--??-??I??	omrzlina#NNF??-----A---?
