Rudohoří
hustosrstý
hvězdojasný
hvězdokupa
hvězdozpyt
hydrofyt
hydrografie
hydroxy
hydroxyl
hydroxysloučenina
hygrograf
hyperprodukce
hypoplazie
hypsometr
ichtyologie
ichtyosaurus
ideokracie
ideologie
idioblast
idiolatrie
ikonolatrie
indo-íránský
indologie
infra
internacionální
intracelulární
introdukce
izosylabický
jakpak
jakýpak
jarobujný
jasnomluva
jasnovidec
jazykohltanový
jazykotvorný
jedenadevadesát
jedenadvacet
jedenáctiletý
jedenáctičlenný
jednobarevný
jednodenní
jednomocný
jednooký
jednosečnýjetel
jednoství
jednočlenný
jemnocit
jemnostpán
jihoevropský
jihomoravský
jihovýchod
jinobarevný
jiskrojem
jiskrooký
jodovodík
jodoškrob
kamenobrusič
kamenokresebný
kamenouhelný
kampak
kardiologie
karyologie
karyoplazma
každodenní
kdopak
kdovíco
kdovíkam
kdovíkdo
kdovíkdy
kdovíkolik
kdožvíjaký
kdožvíproč
kilogram
kilometr
kinoaparát
kinofikace
klinodiagonála
klinometr
kmenoplodý
kmenotvorný
knihopis
kolikadenní
kolikadennívýlet
kontrapunkt
kosmograf
kosmopolita
kosočtverec
kovodárný
kovolesklý
kovoprůmysl
kozodoj
kozorožec
kraniometrie
krasokvět
krasomil
krasořečník
krepmarokén
krvelačný
krverudý
krvesmilstvo
krvorudý
kryologie
kryoplankton
kryoterapie
kryptodeprese
krytosemenný
krásnovlasý
krátkodobý
krátkotrvalý
květokrytý
květonosný
květotkaný
kyselinotvorný
kávovar
křivohubý
křivonosý
křivopřísežný
laktodenzimetr
laryngotomie
ledopád
ledořez
lehkoatletický
lehkorozpustný
lehkotěžký
lepolící
leporostlý
leposkvoucí
lesklosrstý
leskločerný
leskokřídlý
lesohospodářský
lesostep
lesotvorný
letoměr
letopis
letorost
leukocyt
levobřežní
levotočivý
libovonný
lichoběžný
lichoslabičný
lidohlučný
lidojed
lidovláda
lihobenzínový
lihoměr
limnokalcit
limnologie
lipochróm
lipolýza
listokaz
listonoh
listopad
literárněestetický
litofágní
litografie
litosféra
lunojas
lunojasný
lunopis
lunoskvělý
láskychtivý
lžimoderní
lžipropaganda
magnetometr
magnetopyrit
magnetostrikce
makroanalýza
makrokosmos
maloplodý
malovýroba
masokostní
masožravý
maxisukně
medodárný
medosladký
megaerg
megalomanie
megaskop
melodram
melofobie
metaderivát
metakarpální
mezolit
mikroanalýza
mikrokosmos
mikrovolt
milimetr
milodechý
miloněžný
milostpaní
mimoevropský
minisukně
minolovka
mladobujný
mladolamač
mlhotvorný
mlhořasný
mlékobílý
mlékodárný
mnohaletý
mnohobarevný
mnohobarvý
mnohonásobný:
mnohočlen
mnohočlenný
modrobílý
modrofialový
modrooký
monogamie
monohydrát
monolog
monosacharid
monstrkoncert
monstrpodnik
monstrproces
moravskoslezský
moravskoslovenský
motocykl
motomechanizovaný
motoopravna
mořeplavec
mořevládce
mravokárce
mravopočestný
mstylačný
multilaterální
multimilionář
málokdo
máloslovný
ménětřídní
mírotvorce
mírumilovný
místopis
mědinosný
měkkoploutvý
měďočervený
nahokrčka
nebejas
nebejasný
nebevládce
nekrofilie
nekropole
neoimpresionismus
nerovnoramenný
nestejnohranný
neurogenní
neurologie
nevímco
nevímjak
nevímkam
nevímkdo
nitroblána
nitrobuněčný
nitrocelulóza
nitrofilní
nitrorvoucí
nomologie
novoplast
novorozený
novočeský
národněpolitický
národohospodářský
národopis
nízkokmenný
nízkorostoucí
několikabarevný
několikadenní
několikaletý
několikaposchoďový
několikaprocentní
několikačlenný
několikeronásobný
několikrát
německonacionální
obrazoborec
obrfořt
obrhlupák
ocelohliníkový
ocelolitina
ocelorytec
ocelosvar
ohnivzdorný
ohněrouchý
ohňomet
olejodárný
oligarchie
oligotrofní
olovorytec
organologie
organosol
ornitologie
ornitoptéra
orografie
ortografie
oscillare
osmadevadesát
osmadvacet
osmdesátiletý
osmdesátistránkový
osmihran
osmiletý
osmiliberní
osmimetrový
osmisetkorunový
osmisetletý
osmnáctiletý
osmnáctičlenný
osmsetkorunový
osmsetletý
osteologie
osteosarkom
ostnoploutvý
ostrohranný
ostrořízný
otolit
otologie
padesátihaléř
padesátiletý
padesátistránkový
paleobotanika
pangen
pantofob
parajednotka
paroměr
parostroj
pateronásobný
patnáctapůl
patnáctidenní
patnáctičlenný
patologie
pedologie
pedometrie
pentarchie
periost
perlolovec
perloočka
perlošedý
perokresba
perořízek
pestrobarevný
pestrotkaný
petrofyt
petrografie
peřenodílný
peřenosečný
pidichlapík
pidimužík
planiglób
planimetrie
plavohnědý
plavohřivý
plnosplavný
plnozvuk
plochojevný
plodolist
plodotvorný
ploohohlavý
ploskodutý
ploskonosý
plynobeton
plynojem
plynotěsný
pojmotvorný
politickohistorický
politickohospodářský
polohedvábný
polohlas
polohluchý
polokožený
poloprázdný
polouhlas
polouhluchý
poločeta
polyfonický
polyhydroxysloučenina
polysacharid
postglaciální
povahopis
pravobřežní
pravodatný
pravomoc
pravoplatný
pravotočivý
prostohloupý
prostomilý
prostomyslný
pročpak
prvobytný
prvorozený
prvotisk
prvotvar
prvotřídní
pseudofobie
pseudogotika
psohlavý
psovod
psychofyzický
psychogenní
psychohygiena
psychologie
ptakoještěr
ptakopravec
ptakověda
pustoprázdný
pustopustý
pyrofobie
pyroreakce
pánbůhvíco
pánbůhvíjaký
pánbůhvíkam
pánbůhvíkde
pánbůhvíkdy
pánbůhvíkolik
pánbůhvíkolikátý
pánbůhvíodkud
pánbůhvíproč
pánbůhvíčí
pídihoch
písmolijec
písčitohlinitý
pětadevadesát
pětadvacet
pětidílný
pětiklaný
pětinásobný
pětisetkoruna
pětičlenný
pětkrát
pětsetkorunový
pětsetletý
předopatrový
předozadní
přišlistařímladí
přímoběžný
přímoosý
přírodoléčba
přírodopis
půdotvorný
půldruhaletývývoj
půlhodina
půlčtvrtaletédítě
quasi
quasilogický
quasiparlament
quasiromán
radioaktivní
radioaparát
radiofikace
radiofonie
rentgenometr
rentgenoterapie
retrospekce
rhinologie
rinologie
rodokmen
rodopisný
rostlinopis
rovnoběžný
rovnoramenný
rudobijce
rudohnědý
rudokop
rudolící
rudozelený
ruděbílý
ruděhnědý
rudězelený
rudězlatý
rukodílo
rukopis
ruskopolský
rusofil
rusohnědý
rusovlasý
ryboještěr
rybolov
rychloběžný
rychloměr
rychlovlak
rádoby
rádobykritik
rádobylidový
rádobyobjektivismus
rádobyspisovatel
rádobyteoretik
rádobyumění
rádobyvtipný
různobarevný
různoběžný
růžolibý
růžolící
růžovobílý
růžovofialový
růžovolící
růžověbílý
růžověfialový
růžověmodrý
samobijný
samodruhá
samohláska
samomazný
samomleč
samomluva
samoobsluha
samopal
samorostlý
samospasitelný
samostatný
samotok
samoučení
samovar
samozásobitel
samožitný
saprofyt
saprogenní
sarkofág
sarkokarp
satirickohumoristický
satirickokomický
sebekritika
sebelepší
sebesilnější
sebetenčí
sebevětší
sedmadevadesát
sedmadvacet
sedmdesátiletý
sedmibarvý
sedmiměsíční
sedmnáctiletý
sedmsetletý
seismologie
semenotokvýtoksemena
semenotvorný
semifinále
servomotor
severoevropský
severofrancouzský
severovýchod
silikochloroform
silikofluorid
silikofosfát
silikogel
silikokalcium
silikovodík
silnostěnný
siloměr
siločára
sinobledý
sinooký
sirouhlík
sivooký
sivozelený
sklerodermie
sklerometr
sklofoukač
sklolaminát
sklomalba
skorobásník
skvělobílý
slabozraký
sladkohlasý
sladkokyselý
sladkovonný
slanobytný
slanomilný
slanovodní
slavobrána
slavomam
slavošumný
slovanofil
slovenskonárodní
slovenskočeský
slovomalba
slovosled
slovotvorný
slunojasný
slunomilný
slzotok
slzotvorný
slávychtivý
smutnohra
smutnokrásný
smutnoveselý
směrotvorný
snivooký
snědolící
snědožlutý
sněhobílý
sněhotvorný
sněhozubý
soběstačný
sociografie
sociáldemokrat
sociálfašista
sociálšovinismus
somatologie
somatopleura
soukromokapitalistický
spektrochemie
spektrometr
spektroskopie
spirometr
společenskoekonomický
společenskovědní
spolubesedník
spolubratr
spoludruh
spolukolega
spolukrajan
spolutvůrce
spolučeledín
sporocysta
sporofor
srbocharvátský
srbofil
srdcebol
srdcervoucí
stametrový
starorůžový
staročeský
statolit
stavojevný
stavomontáž
stejnocenný
stejnolehlý
stenograf
stenografie
stenogram
stereodeska
stereotyp
stohlavý
stokilový
stoletý
stomatologie
stověžatý
stočlenný
stratifikace
stratostat
stratovulkán
streptokokus
strmosuvný
strmotrubný
stromoměr
stromořadí
struskotvorný
struskovápenatý
studenokrevný
studenomilný
studenotekutý
stálobarevný
státnísvátek
státoprávní
státotvorný
stínobledý
stínohra
stínomilný
středoevropský
středotočka
středočeský
stříbroperý
stříbrotepec
stříbrošedý
sucholist
suchomel
suchomilný
sudoslabičný
sulfokyselina
sulfosloučenina
superkolaudace
supraindividuální
suprakonduktivita
svatokrádež
svatostánek
svatosvatý
svobodomilovný
svobodomyslný
svobodymilovný
svrchujmenovaný
svrchupsaný
svrchuzmíněný
svrchuřečený
svéráz
světachtivý
světlemodrý
světlerůžový
světlomet
světlovlasý
světločervený
světoobčan
světovládce
světoznámý
synchroskop
sérologie
séroterapie
sírožlutý
tachometr
tachygraf
tachykardie
tachymetr
tajnopis
tajnosnubný
takédemokracie
tamhle
tautosylabický
technickokontrolní
technickovědecký
technokracie
technolog
telefon
telegraf
telegram
telemetr
teleskop
temnobarvý
temnobrvý
temnohnědý
temnomilný
temněmodrý
temněšedý
tenhle
tenhleten
tenkoblanný
tenkostěnný
tenkovysoký
teokracie
teolog
teplokrevný
teplomilný
teplotěsný
termograf
termoplast
termočlánek
tetraedr
tichomil
tichomilý
tichošlápek
tiobaktérie
tisícibarevný
tisícicentový
tisícikilometrový
tisíciletý
tlakoměr
tlakovzdušný
tlustonohý
tmavovlasý
tmavočervený
tmavěmodrý
tmavěčervený
tolikadenní
tonofibrila
tonometr
topografie
toponymie
triftong
trofoblast
trofomorfóza
trojbarevný
trojblok
trojlístek
trojspolek
trojtřídní
trojčetnýkvět
trpkobolný
trpkosladký
truchlohra
truchlosměšný
truchložalný
trucorganizace
trudnobolný
trudnomyslný
trudnoveselý
tuporohý
turbogenerátor
turkofil
turkomongolský
tvrdohlavý
tvrdoměr
tvrdotupý
typologie
tyranovláda
tyranovrah
tónorod
tónotvorný
tělocvik
těžkoatletický
těžkooděný
třetidenní
třiadevadesát
třiadvacet
třicetiletý
třicetimetrový
třináctiletý
třináctimetrový
třistaletý
třičtvrtěhodinový
tříbarevný
tříletý
třímiliónový
tříčtvrteční
uhlobaron
uhlonosný
uhlovodík
ultraliberál
uměleckoideový
uměleckonaučný
uměleckoprůmyslový
unicelulární
uranografie
urogenitální
urometr
urosepse
vagotomie
vagotonie
vejcoplodý
vejcorodý
velebásník
velekněz
velkokapitál
velkovévoda
velocipéd
velocipédový
veřejnoprávní
vinohrad
vlasotvorný
vlastimil
vlhkoměr
vlkobijce
vlkošedý
vlnobaron
vlnobití
vlnolam
vlnonosný
vlnoplocha
vnitrobuněčný
vnitrozemí
vodoléčba
vodomilný
vodotisk
vodymilovný
vojenskoadministrativní
vojenskohospodářský
volnoběžný
volnosnubný
vratiprst
vrchnoporučenský
vrubořezba
vysokodaleký
vysokorostoucí
vysokočelý
vzdorokrál
vzduchokomorový
vzduchovod
vápenopískový
vápnoměr
vázektomie
vázoneuróza
víceronásobný
víceslovný
vínonosný
východoevropský
východojižní
východomoravský
výtrusorodý
významonosný
výškoměr
vědeckopopulární
vědeckotechnický
vědeckovýzkumný
věkobytný
věkopamátný
věrohodný
větrolam
větroplach
věčnokvětý
věčnosněžný
všehochuť
všehoschopný
všesrozumitelný
všestranický
vševěd
všudybyl
xantochromie
xenobióza
xenofob
xerofilní
xerostomie
xylometr
zadopatrový
zdravotnickoorganizační
zdravověda
zelenooký
zelenočervený
zelenožlutý
zeleněšedý
zeměkoule
zeměpis
zemětřesení
zimotvorný
zimotěsný
zinkografie
zinkoklihový
ziskuchtivý
zkázonosný
zlatokop
zlatolesklý
zlatomodrý
zlatovlasý
zlatěčervený
zlověstný
zlozvyk
znovuzřízení
zoohormon
zoologie
zoospora
zpěvodárný
zpěvomluva
zrnodárný
zubodásňový
zubolékařský
zubotvorný
zvukoměr
zvukosled
zvěroklestič
zvěrokruh
zvěrosnubný
zákonodárce
západoevropský
západojihozápad
západočeský
zřídkakdo
úhloměr
úhlopříčka
ústavodárný
útloboký
úzkolebý
Čechoslovan
Čechoslovák
čaroděj
čarokruh
čaroskvoucí
časoměr
časoprostor
čechofil
čechofob
černobrunátný
černobílý
černobýl
černodol
černofialový
černokvět
černopustý
černotemný
černovlasý
čertvíco
čertvíjaký
čertvíkam
čertvíkdy
čertvíkolik
čertvíproč
červenofialový
červenolistý
červenomodrý
červenozem
českoněmecký
československý
čtrnáctidenní
čtrnáctičlenný
čtvernohý
čtverozvuk
čtvrthodina
čtvrtlitr
čtyrletý
čtyrlístek
čtyřdílný
čtyřhranný
čtyřiadevadesát
čtyřiadvacet
čtyřiapůl
čtyřicetiletý
čtyřicetičlenný
čtyřista
čtyřkorunový
čtyřmetrový
čtyřmocný
čtyřmotorový
čtyřnohý
čtyřstrunný
čtyřstěnný
čtyřtisícový
čtyřzvuk
čtyřčtvrtečnítakt
řeckokatolický
řeckolatinský
řídkovlasý
římskoantický
římskořecký
šedavobílý
šedesátidenní
šedesátimetrový
šedivohnědý
šedomodrý
šedooký
šeděmodrý
šerooký
šerozelený
šestadevadesát
šestadvacet
šestihran
šestiletý
šestnáctiletý
šestnáctimetrový
šestnáctičlenný
šikmooký
širohlasý
širokoboký
širokosecí
širomořský
širopustý
štíhlonohý
štíhlorostlý
šéfkonstruktér
železitosirný
železobaron
železodárný
železoniklový
žhavooký
žhavorudý
žhavotekutý
židoangloamerický
židobijce
židobolševismus
židokapitalista
židokřesťan
židoplutokrat
židovláda
židovskobolševický
židovskofarizejský
židovskokapitalistický
židovskomarxistický
židovskozednářský
židovskočeskéměsto
židozednář
živnostenskopolicejní
živnostenskoprávní
životaplný
životodárný
životonázorový
živočichopis
žlutavohnědý
žlutomodrý
žlutovlasý
žlutošedý
žlutěbílý
žárobeton
žároměr
žárooký
