rozestřít	třít
rozesílač	rozesílat
rozchodníček	rozchodník
rozesevší	rozesít
rozespat	spát
rozhněvanec	rozhněvaný
rozecpat	cpát
Cendrovská	Cendrowský
rozklápěcí	rozklápět
rozkurážit	kuráž
zpohrdaný	pohrdaný
zpochmurnět	pochmurný
zpochybnět	pochybný
zpodstatnět	podstatný
zpoddanit	dodanit
rozpoznavatel	rozpoznávat
rozeřvanec	rozeřvaný
rozkřídlit	křídlo
rozledět	ledný
Zarečná	Zar
zplavnit	plavný
rozpoznávač	rozpoznávat
rozradostnět	radostný
zplamenět	zplamenit
zpichlavět	pichlavý
zpeněžovatel	zpeněžovat
zplamenat	zplamenit
zpatrnit	patrný
rozstesknit	tesknit
rozpřahat	rozpřáhnout
zpaličatět	paličatý
zpapírovatět	papírový
Sentá	Ines
Nedošínská	Kolínský
Nedvedická	Nedvědický
roztažení	rotovat
zoubkovatý	zoubek
zoubkovitý	zoubek
rozťavší	roztát
rozřechtat	rachtat
zooparazit	porazit
zohebnět	ohebný
zodborničtět	odbornický
zodbornět	odborný
zodolnit	odolný
zohyzdnět	ohyzdný
zodpornět	odporný
zodpověditel	zodpovědět
Chabovská	Chaba
Zavacká	Závacký
zobčanštit	občanský
zobčanštět	zobčanštit
zocelovět	ocelový
zobrazovadlo	zobrazovat
Zawadzká	Zawadský
rybnikářství	rybníkářský
zobousměrnit	obousměrný
znělkař	znělka
znáruživět	náruživý
znádhernit	nádherný
znádhernět	nádherný
Zbrojnická	Brojnický
havlovství	havlovský
znešťastnět	šťastný
znečitelnit	čitelný
znetrpělivět	trpělivý
znesmrtelnit	smrtelný
znepřítomnět	zpřítomnět
znesnadit	snadný
znepozornět	pozorný
znepravidelnit	pravidelný
znepravidelnět	pravidelný
znepříjemnět	příjemný
zneobratnět	obratný
znepatrnět	nepatrný
znepokojnět	pokojný
znemravnit	nemrava
znelidštět	zlidštět
znedůvěřivět	znedůvěřit
znecitelnět	citelný
zmúcení	zmútit
znamení	známit
zmúcený	zmútit
zmáselnit	máselný
hajzlíček	hajzlík
saudkovství	sudkovský
sardština	sardinský
zmodernět	moderní
zmlžnět	mlžný
hajzlovství	hajzl
zmetkařit	zmetkař
zmilený	zminout
zmatovatět	zmatovat
zlíbeznět	líbezný
zludařelý	zludařit
Chlumečná	Chlum
zlogičtět	logický
zlostnictví	zlostný
zležérnět	ležérní
grošovitý	groš
zlahodnit	lahodný
graciesnost	graciesní
zkroušení	zkrušit
zkožnatět	kožnatý
zkrasovět	krasový
sebedůležitější	sebedůležitý
Hámorská	Zámorský
zkajícnět	kajícný
zklestěný	zklestit
zhýřilství	hýřilský
