reálsocializmus	reálsocialismus
židoplutokratizmus	židoplutokratický
pleochroizmus	pleochroismus
suprematizmus	suprematismus
bahaismus	bahaizmus
iredentizmus	iredentismus, iredenta
intuitivizmus	intuitivní, intuice
tragizmus	tragický
recesizmus	recesismus
ultrareformizmus	ultrareformismus
monoteletizmus	monoteletismus
spotřebizmus	spotřeba
castrizmus	castrismus
taoizmus	taoismus, tao
dichroizmus	dichroismus
apolitizmus	apolitický, apolit, apolitismus, apolita
arkadizmus	arkadismus
sunnitizmus	sunnita, sunna
arivizmus	arivismus, arivista, arijský
thatcherizmus	thatcherismus
konceptizmus	koncept, konceptismus
populizmus	populismus
kartezianizmus	karteziánský, kartezián
neonacizmus	neon
valorizmus	valor, valorismus
postromantizmus	postromantický, romantizmus
tradeskancionalizmus	tradeskancionalistický, tradeskancionalista
ultranaturalizmus	ultranaturalista
židobolševizmus	židobolševik, židobolševický
bushizmus	bushismus
menševizmus	menševik
monarchofašizmus	monarchofašismus, monarcha
chaotizmus	chaos, chaot
trializmus	trialismus, trial
kryptosocializmus	kryptosocialismus
blefarospasmus	blefarospazmus
alegorizmus	alegorismus, alegorie, alegorický
monorchizmus	monorchismus
imagizmus	imago
piktoralizmus	piktoralismus
plurilingvizmus	plurilingvismus
hebraizmus	hebraismus
surdomutizmus	surdomutismus
churriguerrizmus	churriguerrismus
luminizmus	luminismus
monofyletizmus	monofyletismus
ibsenizmus	ibsenismus
tropizmus	tropismus, tropický
endemizmus	endemismus
tantrizmus	tantrismus
bipartizmus	bipartice, parita, pare
mesmerizmus	mesmerismus
éterizmus	éterismus
mandeizmus	mandeismus
strabizmus	strabismus
priapizmus	priapismus
logicizmus	logický
pleonasmus	pleonazmus
aforizmus	aforismus
tigmotropizmus	tigmotropismus
exorcizmus	exorcismus
atticizmus	attický
kolonizmus	kolon, kolonismus, kolonie, kolona
děkabrizmus	děkabrismus
indigenizmus	indigenismus
chasidizmus	chasid, chasidismus
emergentizmus	emergentismus, emergentní
heliocentrizmus	heliocentrismus, heliocentrický, centrizmus, centrický, centrismus
zélotizmus	zélotismus, zélotický
sufismus	sufizmus
zoroastrizmus	zoroastrismus
rétorizmus	rétor, rétorský, rétorický, rétorismus
bábizmus	báze, bábismus
palladizmus	palladium
chemotropizmus	chemotropismus
sarkazmus	sarkasmus
eufemizmus	eufemismus
pesimizmus	pesimismus, pesimista, pesimistický
machiavelizmus	machiavelismus, machiavelistický
parašutizmus	parašutismus
papalizmus	papalismus
trietizmus	trietismus
fašizmus	fašismus, fašista, fašistický
blábolizmus	blábolismus
atavizmus	atavismus
hondaizmus	honda
orfizmus	orfismus
polpotizmus	polpotismus
hlasizmus	hlasismus, hlas
galvanotropizmus	galvanotropismus
sylabizmus	sylabismus, sylabický
katabolizmus	katabolický, katabolismus, katabolit
senzualizmus	senzualismus, senzuální
popperizmus	popperismus
paroxyzmus	paroxysmus
palladianizmus	palladianský, palladiánský, palladianismus
subvencionizmus	subvence
bipolitizmus	bipolitismus
kreolizmus	kreol, kreolismus
postkubizmus	postkubistický
haptotropizmus	haptotropismus
rusizmus	rusismus
pelagianizmus	pelagianismus, pelagián, pelagiánský
solipsizmus	solipsismus
alogizmus	alogismus, alogický
hinduizmus	hinduismus
orgazmus	orgasmus
pauperizmus	pauperismus
kladizmus	klad
tenebrizmus	tenebrismus
grafizmus	grafický, grafismus, grafik
dynamoarchizmus	dynamoarchismus
novofunkcionalizmus	novofunkcionalistický
kolorizmus	kolorismus, kolorista, koloristický
sunnizmus	sunna, sun, sunnismus
šintoizmus	šintoismus, šintoistický
bönizmus	bon
mutizmus	mutismus
negrizmus	negrismus
fideizmus	fideismus
tachismus	tachizmus, tašizmus
sofizmus	sofismus, sofistika, sofistický, sofijský
pučizmus	pučismus, pučistický, pučista
lučizmus	lučismus
mimetizmus	mimetický, mimetismus
ageizmus	ageismus
džinizmus	džinismus, džinista
inkubizmus	inkubismus, kubizmus
hermetizmus	hermetický
démonizmus	démon, démonie, démonský, démonismus, démonický
laxizmus	laxismus
čechizmus	čechismus
protofašizmus	fašizmus
tubizmus	tuba, tubismus, tubista
viklefizmus	viklefismus
baptizmus	baptismus
donkichotizmus	donkichotismus, don, donský
balbutizmus	balbutik, balbutismus
altruizmus	altruismus
naturizmus	naturismus, naturista, naturistický
rotacizmus	rotovat, rotace, rotacismus, rota
autizmus	autismus, aut
polycentrizmus	centrizmus, polycentrický, polycentrismus
anachronizmus	anachronismus, anachronický
tenezmus	tenesmus
plasticizmus	plaz, plastický
spazmus	psát
cykloturizmus	cykloturismus, cykloturistický
mobilizmus	mobilismus, mobil, mobilní, mobilovat, mobilie
intuicionizmus	intuicionismus, intuicionistický, intuice
baladizmus	balada, baladismus
purizmus	purismus, puristický, purista, purim
kultizmus	kultismus, kultus, kult
pointilizmus	pointilismus
makroorganismus	makroorganizmus
septimus	septima
teizmus	teismus, ateizmus
lesbizmus	lesbismus, lesba, lesbický
kubofuturizmus	kubofuturistický
isthmus	ismus
ikonoklazmus	ikonoklasmus
šaktizmus	sak, šaktismus
neokonstruktivizmus	neokonstruktivní
zenizmus	zenismus, zen
chiazmus	chiasmus
prodromus	prodrom
gonochorizmus	gonochorismus
lamaizmus	láma, lama
nanizmus	nanismus
legizmus	legismus, legální
animizmus	animální, animismus, animus
liizmus	liismus
truizmus	truismus
deizmus	deismus
anankazmus	anankasmus
primus	mus
rutilizmus	rutil, rutilismus
sikhizmus	sikhismus, sikh
klarizmus	klarismus
eskapizmus	eskapismus
marrizmus	marrismus
verizmus	verismus
algoritmus	algor
mohizmus	mohismus
kormus	cormus, korma
virilizmus	virilní, virilismus
sapfizmus	sapfismus, sapa
utilizmus	utilismus
zenbudhizmus	zenbuddhizmus
izmus	ismus
colbertizmus	colbertismus
holizmus	holý, holismus, hole
reizmus	izmus
velkokapitalizmus	velkokapitalismus
nummus	mus
utrakvizmus	utrakvismus
lokálpatriotizmus	lokálpatriotismus, lokálpatriot
cormus	čest
vidimus	vidium
humus	mus
