Kupkárová	Kupkár
Amrosová	Agros
Lokšová	Lokša
Kupcovová	Kupcov
Kupferová	Kupfer
Kupfová	Kupf
Kupcová	Kupec
Lombardiová	Lombardi, Lombard
Vojancová	Vojanec
Uhmanová	Uhmann, Uhlman
Uhříčková	Uhříček
Uhýrková	Uhýrek
Uhrová	Uher
Andová	Anda, Ando, Andr
Vojtášková	Vojtášek
Vojtíšková	Vojtíšek, Vojtěška
Vojčová	Vojče
Andonovová	Andonov
Lomozová	Lomoz
Kunevová	Kunov
Kunovjánková	Kunovjánek
Kunrátková	Kunrátek
Kunisová	Kunis
Vojáčková	Vojáček
Kuniková	Kukin, Kuniko
Loneová	Lone, Loney
Andrejsková	Andrejsek
Loníčková	Loníček
Kundertová	Kundera
Kunceová	Kunce
Vokřínková	Vokřínek
Andrýsková	Andrýsek
Lorensenová	Lorenzen
Kulíšková	Kulíšek, Kulík, Kulíček
Loreová	Lorec
Vokáčková	Vokáček
Vokálková	Vokálek
Lordová	Lord
Kumherová	Kummer
Kulíčková	Kulíček
Lorrimerová	Lorimer
Lorková	Lorca
Volencová	Volenec
Volejníčková	Volejníček
Loubetová	Loubet
Loubková	Loubek, Loub
Volhardová	Vollard
Kulenová	Kule
Kuldanková	Kuldanek
Louisyová	Louis, Louisa
Třebínová	Třebín
Louchovová	Louchov
Loupová	Loup
Lounková	Lounek, Loun
Kuklevová	Kukla
Kuklínková	Kuklík
Kujíčková	Kujíček
Kuhlmanová	Kuhlmann
Kufová	Kufa
Kudrowová	Kudra, Kudr
Kudílková	Kudílek, Kudík
Kudýnková	Kudýnek
Ansáriová	Ansari
Kudrlová	Kudrle, Kudrna, Kudr
Kudrfalcová	Kudrfalec
Loučímová	Loučim
Kudláčková	Kudláček
Volnerová	Voller
Volová	Volha
Lovečková	Loveček, Loveč
Kudilková	Kudělka
Těšinová	Těšina
Kucianová	Kucián
Kuchtíčková	Kuchtíček
Lošáková	Ločák
Kubátková	Kubátek, Kubák, Kubáček
Kubáčková	Kubáček
Kubášková	Kubášek, Kubák
Kubálková	Kubálek, Kubák
Kubínková	Kubínek, Kubín, Kubík
Kubásková	Kubásek
Lubanová	Lučan
Týnková	Tynka, Týn
Kubovcová	Kubovec
Kubičíková	Kubčík
Kuboušková	Kuboušek
Antoňová	Antoň, Anton
Antůšková	Antůšek, Antušek
Antoníčková	Antoníček
Antálková	Antálek
Antošíková	Antošík
Kubiczková	Kubiczek
Kubincová	Kubinec
Ktová	Keta
Törpová	Tropp
Kubcová	Kubec
Voltmerová	Volmer
Luciaková	Luciak
Lucaová	Luca, Lucas, Luco
Lucianiová	Luciani
Lucinová	Lucina, Lucinus, Lukin
Krůčková	Krůček, Klůček
Ksandová	Kanda
Krůšková	Krůšek
Tímrová	Timr
Volzová	Volha, Volga
Ludková	Ludva
Lucková	Luck, Lucek, Luco, Luc
Krňávková	Krňávek
Šůnová	Šůna, Šona
Tísková	Tísek
Šůstková	Šůstek
Applová	Apple
Šňupárková	Šňupárek
Šťovíčková	Šťovíček
Ščučková	Ščuk
Ludvíčková	Ludvíček
Tyronová	Tyr, Tyrin
Šňupíková	Šňupík
Šťavová	Šťáva
Aquilerová	Aquilera
Královcová	Královec
Králíčková	Králíček
Tylečková	Tyleček
Krzyžanková	Krzyžanek, Krzyžánek
Krzyžánková	Krzyžánek
Kryžanková	Kryžanek
Kryštofková	Kryštofek, Kryštof
Kryštůfková	Kryštůfek
Tymkovičová	Timkovič
Tylmanová	Tilman
Tykvartová	Tykvart
Tyburcová	Tyburec
Krystýnková	Krystýnek
Šírková	Šírek
Šústalová	Šustal, Šůstal
Šípková	Šípek
Šístková	Šístek
Krutílková	Krutílek, Krútílek
Lukacková	Lukacko
Vomastková	Vomastek
Volánková	Volánek
Archmanová	Archman
Tvrdková	Tvrdek, Tvrtka
Tvarůžková	Tvarůžek
Lukavcová	Lukavec
Lukesová	Lukes
Lukerová	Luker
Šášinková	Šašinka
Šátralová	Šátral
Lukejová	Lukej
Lukašová	Lukaš
Krumbholzová	Krummholz
Krumbholcová	Krombholc
Tvardková	Tvardek
Luknarová	Luknar
Luknárová	Luknár
Lukičová	Lukič, Lukic, Lucič
Vondrášková	Vondrášek, Vondráška
Vondroušková	Vondroušek
Krsková	Krsek, Krs
Krpálková	Krpálek
Lukyová	Luky
