oblomovština	oblomovský, Oblomovský
výprovod	vyprovodit, provodit, provod, vrodit
kapitalisticku	kapitalistický, kapitalismus, kapitalizmus
dobroděj	dobrodějný, dobrý
metyloranž	methyloranž, methyl
vlhkota	vlhký, lehký
stomiliardovka	stomiliardový, stamiliardový
zhroucenina	zhroucený, hroucený, hroucení
beachař	beach, beachový
granátničina	granátník, granátnice, granátnický
etatista	etatizmus, etát
pokladatel	pokládat, kládat
sesutina	sesutý, sesunout, sesutí
oxygenátor	oxygenovat, oxygenace, oxygen
ssuť	suť, sou
taxíkařit	taxík, taxíkář, taxikář
věstec	věstit, zvěstit
vidný	vidět, vid, Vida
stárečka	stárka, stárek
odtamtád	tam, tám, mat
nadlinka	linka, linda, Lin, Linka
rohovatý	roh, rohový, Roh
žaltářník	žaltář, žalář
prašánek	prach, prašan
překot	kotit, počít
decička	decka, deka
výučný	výuka, vyučit
prutník	prut, pouť
bodmo	bodat, bdít, bodný
postřih	postříhat, střihat, střih, postřehnout
vsout	sát, sunout, sít, vsát
trakčník	trakce, trakční, trak
vyhořelec	vyhořet, vyhořelý
zámutek	mukat, mutný, muknout
esovka	esový, sek, set
biásek	bios, as
špánek	špán, Špán, spánek, Spán
literatúra	literát, literatura, literární, litera
jízdmo	jízda, jízdný
psychosa	psychoza, psychóza, psychizmus
bránič	bránit, bránice, brániční, Bránice
švábovina	šváb, švábí
rabicka	rab, rabský
ploutvovec	ploutev, ploutvový
úkrají	krájet, ukrájet, okrájet
připjatý	připnout, pnout, přepnout
interglaciál	interglaciální, glaciál
zhost	zhostit, host, zhostný
riedlovka	Ridel, Riedel, Riedl
žebráctvo	žebrák, žebrácký
růžicovka	růžicový, růžice
zbíhat	běhat, běžet, zběhnout
homopolymerace	polymerace, homopolymer, polymerovat, polymer
zvolný	zvolit, vole, volní, volit, vůle
zdvojnásobnit	dvojnásobný, dvojnásobek
výtvarnictvo	výtvarnický, výtvarnice, výtvarník
zdobička	zdobit, zdoba, zdobný
retorzní	retorze, torze
mincovník	mince, mincový, mincovat, mincovna
mikrowatt	watt, wat, kat
zádvorní	závod, dvorní
neposedný	posed, neposeda, posedět
vědoucný	vědoucí, vědět, věda, vědec
poplatkovné	poplatek, poplatkový
cejchovna	cejch, cícha, cejchovat
umět	mít, umýt, mýt, smět
přísnět	snít, přísný
borůvkovo	borůvkový, borůvka, borůvkovec
hustník	hustý, hustit
rušební	rušba, rušit
manažírek	manažér, manažer
kontextualita	kontextuální, kontextualizmus, kontext
otylý	tyl, rýt
exprimář	exprimovat, primář
prsíčko	prso, prs, prsa
zkutit	kutit, kout, zkout
paletovné	paletovat, paletový, paleta
pečovatelák	pečovatel, pečovatelský
zvěrný	zvěr, zvěř, víra, věrný
všivka	všivý, veš, všivec, vešít
valašsku	valašský, valach
jazyčný	jazyk, jazykový
vrtačit	vrtat, vrták
křivouš	křivý, křivka
jazzovo	jazzový, džezový, džez
repař	rap, prát
věterný	vítr, větit
rozbíjecí	rozbíjet, rozvíjet, rozpíjet
zpolovičky	zpolovice, polovice
přepadní	přepad, přepadnout, pnout
bobař	bob, Bob, Boba
loubený	loudit, roubit, loužit, loučit, loupit
policajtík	policajt, policie, policista
bodnout	bodat, bodný, bod, bidet
běloučče	běloučký, bílý
exprofesor	profesor, profese
úmluvce	umluvit, mluvit, omluvit, mluva
exobiologie	biologie, -bio-
sondička	sonda, son
anormalita	normalita, normální, normál, norma
podmostek	most, mostek, Mostek, Most, mást
lidůvka	lidový, lid
rezolutivní	rezoluce, resolutivní
školometný	školomet, škola, školit
podezřivý	zřít, podezírat, říza
manganin	mangan, Mangan
stojmo	stoj, stát, stojný
lamatel	lámat, lákat, olámat, lomit
pletenice	pletený, pletenina, pletení, plést
svrchnice	svrchník, vrchník, svrchní
zblbit	blb, oblbit, blbo
bobánek	bob, bobek
autosklář	sklář, sklát
dlouhonožka	dlouhonohý, dlouhonosý
kropenatka	kropenatý, kropenatec
odvárka	odvar, odvařit
zbořisko	zbořit, bořit, zbor
kosárek	Kosár, Kosárek
páteřník	páteř, páteřní
klovatina	klovat, klový
geotermika	geotermický, -term-
napřed	vřed, přední, břed
sviště	svištět, světit, svinout, svítit
metalofon	-fon-, -therm-
zemice	zemec, zem, zemský
holandka	holandský, Holanda
sklátí	sklát, klát, sklo
valnice	valník, valný, valit, vale, val
extračíslo	číslo, krást
ledovcovitý	ledovec, led
kousnout	kousat, kus, kusý
hymnika	hymnický, hymnus, hymna
direktor	direkce, director, direkt
černoší	černý, černoch, černo
zřenice	zřený, zření, zřít
uzlovka	uzlovat, uzel, uzlit, uzlový
učeňka	učený, učeň, učenec, Učeň, učit
zprv	prvý, první
peronní	peron, Peron, pero, Beron, Perón
obalář	obal, obalit, obalovat
centnýř	centýř, cent
čtvrtník	čtvrtní, čtvrť
ludibrionistní	ludibrionizmus, ludibrionismus
dvoukolo	dvojkolo, dvoukolý, dvojkolý, dvoukolový
skromničce	skromničký, skromně, skromný
strejčánek	strýčánek, strýček
zhrdinštit	hrdinský, zhrda
zvěřní	zvěř, zvěří, zvíře, zvěr
šprýmista	šprým, šprýmovat
výchoďan	vychodit, vycházet
srážkovné	srážka, srážkový, srážkově
vochcajda	vochcat, chajda, vychcat
vodomilec	vodomil, vodomilný
soudit	udit, dout, rodit
vsun	ves, vsunout, vsouvat
zápas	zapást, pas, pás, zapasovat
dolný	dolní, dole, dol
sulcovatět	sulcovat, sulc
propírka	propírat, propérovat
graffista	graf, grafizmus
pantomimika	pantomima, mimika
zatímný	zatím, zatim, zatímní, zatmít, zatimní
sazovna	sázet, saz, saze, sazba
uprostřed	střed, prostřední, prostřed
náklopní	klopa, naklopit, klopný, záklop
ušák	ucho, šít, uchovat, ušít
týpí	typ, tep
doch	chodit, dýchat
mazuřit	máza, máz
věštčí	věstit, věstec, věštka, věštec
plesknout	pleskat, plískat, plasknout
kameničina	kamenický, kamenice, kamení
převozné	převozní, převoz, převozný, vozní, vozné
abreaktivní	abreakce, reaktivní
vazeček	vaz, vazák
disipátor	disipovat, pilovat
blbník	blb, blbý
experimentalista	experimentalizmus, experimentalismus, experiment
žebračit	brak, žebrák, brát
salámovník	salámový, salám
úchova	uchovat, uchodit, chovat
falcovka	falcový, falc, Falc
vodkař	vodka, voda, vodit
retransmisní	transmisní, transmise
podsedek	sedět, sedění, sek, sekat, sedat
podsedek	sedět, sedění, sek, sekat, sedat
špionážník	špionáž, špionážní
výborník	výborný, výbor
absolutní	absoluce, absolutno
nadpráví	práv, právo, právě
xenofóbie	xenofobie, xenofobní, -fob-
volejbal	volat, olíbat, volní
zchytrat	chytrý, Chytrý
kamionář	kamion, kamión
zádumný	zadumat, záduma, dumný, duma
bačkorář	bačkora, Bačkora
újed	jít, jídat, jíst
podkomoří	komora, komoří
radno	rada, radit, radní, radon
lahvovník	lahvovna, lahvovat, lahvový
přední	příst, přídní, pře
šalíř	šala, šál, šála
šalíř	šala, šál, šála
plavajzník	plavajznice, plavý
sekunďák	sekunda, sekundový
spotřebitelný	spotřebovat, spotřeba, potřebovat
přilhat	lhát, léhat, leh, žhát
tykanec	tykaný, tyknout, týkaný, tykávaný
záklopa	zaklopit, klopa, záklop
manuálník	manuál, manuální
krepatět	krepatý, krep, krepový
žiliště	žíla, žilný, žilní
povdat	vdát, dát
třímocný	trojmocný, trojmoc, trojmo
zátočí	točit, zátoka, zatočit
uběhlička	uběhlík, uběhlý, uběhle, uběhlice
velkořezničina	velkořeznice, velkořezník, velkořeznický
audiotón	vaton, vatón
hrkáč	hrkat, hrkot
hrkáč	hrkat, hrkot
mařice	mařit, mařič, mara
muchlanice	muchlaný, muchlat, muchlací
nadél	nadál, nadělit, dál
vlčiště	vlčet, vlčit
ledenec	leden, lední, led, lid, ledný
krajkovka	krajkový, krajka, krajkovský
virtuosný	virtuos, virtuós
strojivo	strojit, strojivý, stroj
lapovna	lapa, lapat, lapnout
vzpource	vzepřít, porce
faunistika	faun, faunský, fauna, faunistický
zákup	zakoupit, zakupovat, zakápnout
zpateronásobnit	pateronásobný, zpateronásobit
rybářice	rybář, rybářka, rybák, rybářský
předek	přední, příst
předek	přední, příst
kuřidlo	kouřit, kuří
červiště	čertit, čert, cera, červ
vytloukárna	vytloukat, vytloukač
dosmrti	smrt, smrtit
synonymum	synonymní, synonymie
běžkařit	běžkař, běžka
uprat	prát, přát, drát, plát, brát, Prát
vícefrekvenční	frekvenční, frekvence
typář	typ, typus
řebík	řeben, reb
obruč	obr, obrat
hadrovné	hadr, hadrový
zpravodaj	zpráva, zprát, zpravit, zprava
aktivní	aktiv, akt, aktivum, akce
chůdař	chodit, chod, chůdy
sestoupit	stoupit, stupit
vhltnout	hltat, vhltat
dělič	dělit, dělo, díl
tykvice	tykat, tykev
filantropní	filantrop, filantropie, filantropin
špryclík	šprycl, špryc
kubánsku	kubánský, Kuban, Kubánec
zesrat	srát, zrát, hrát
pronikač	pronikat, pronikávat
ústrojní	ústroj, stroj, strojní
podlož	podložní, podložit, podloží, podléhat
vířný	vířit, věřit, vřít, výřit, vír
zálitek	zalitý, lít, zalít
zdrojař	zdroj, zdrojový
nespavec	psavec, spavý
sociolingvistika	sociolingvista, sociolingvistický
pojišťovka	pojišťovna, pojišťovák, pojišťovat
polychromní	polychromie, chrom
schlamstat	chlamstat, chlemtat
chytač	chytat, chytit, chyt
oměrný	měřit, míra
sexík	sex, sít, sexus
postrevoluční	revoluce, revoluční
poselný	poslat, posel
kartelista	kartel, Cartel
špížka	spíž, špíž, spížka, šíp
povyk	vykat, vyknout, povykovat, zvykat, zvyk, vykovat
rozboj	rozejít, boj, rozbít
lektorát	lektor, lekce, lektorský
dobrodružka	dobrodruh, dobrodružný
šuhajík	šohaj, šuhaj, šohajek
provodní	provod, vodní, provoda
vlnný	vlna, len
žalářný	žalář, žalovat
žalářný	žalář, žalovat
štruksák	štruks, štruksový
skromňoučce	skromňoučký, skromný
syrák	Syrák, Syrie, syrý
syrák	Syrák, Syrie, syrý
německu	německý, Němec, mecký
podpouštka	dopouštět, odpouštět, dopustit, popouštět
zhebka	zhebat, zhebnout
zárod	zároda, rodit, rod, zarodit, rád, radit, zárodní
řasný	řasa, řasit, Řasa, rasa, řasovat, čas
lulka	Lule, Lula, Ulla
vesničák	vesnice, vesnička, vesniční
mléčko	mléko, mléč
perlovina	perlový, perlit, perla
tlachanice	tlachat, tlachaný, tlachávat, tlach
drkalka	drkat, Drkal, krkat, králka
ukrajinist	ukrajina, ukrajinský, ukrajinistika, ukrajinština
šlehárna	šleh, šlehat, šleha
tmelírna	tmelit, tmelíř, tlemit
popelina	popel, popelín
dívče	dívka, dívat
dvoufilm	dvojfilm, dvojfilmový
zupat	pat, dupat, put
skromnince	skromný, skromně
utilitaristní	utilitarista, utilitarizmus, utilitární, utilitaristický
myrtovka	myrta, myrtový
klenovka	klenový, Klenov
europrodukt	produkt, produkce
švandista	švanda, Švanda, Wanda
rumní	rum, rom
kačírek	kačer, Kačer
šekovna	šek, šekový
výlusk	vylousknout, vylouskat
helikónka	helikon, helikón
hadrovka	hadr, hadrový, hadra
rozsol	rozsolit, rozesít
jorkšíráček	jorkšír, jorkšírka
výlivka	vyvléci, vylívat
spola	polo, pole, plout
divotvůrcovství	divotvůrce, divotvorce
fischerovec	Fischer, fischerovský
vatrovisko	vatra, vatrový
zelenkavo	zelenkavý, zelený, zelení
pípina	pípa, píce
havlista	Havle, havlizmus
hřibovec	hřibový, hřib
musarista	musar, musarita
nacionální	nacionál, nacionále
archidiákon	diakon, diákon
konduktér	kondukce, kondukt
červavět	červavý, červivý, červený, červ
vroucnit	vroucí, vrátit, vroucný, vřít
sazebna	sazba, sazební, sázet
vápenina	vápenný, vápno, vápnit
zákoník	zákon, Zákon, kona, konat
zákoník	zákon, Zákon, kona, konat
znovunabít	znovunabýt, znovu
podpoloviční	polovice, polovina
blondýnečka	blondýnka, blondýn, blondýna
kongregacionální	kongregace, kongregacionalizmus
samotička	samota, samotka, samo
mapárna	mapa, mapař, mapovat, mapka, mapovaný
vodboj	odboj, odbít, odbojný, boj
patentář	patent, patentní
tříkilometrovka	tříkilometrový, trojkilometrový
obejda	objíst, Obejd, obít, odejít
zimoucí	zima, zimák
sklátý	sklát, sklo, klát, sklít
škrkavka	škrtat, škrt
pomalý	malý, pomnout, mat, poma
termostat	-stat-, termostatický, term
činovnictvo	činovnický, činovnice, činovník
lebník	lební, leb
držkovka	držkový, Držkov, držka
třídník	třídní, třída, třídit
choďák	chodit, chod
choďák	chodit, chod
elektrárník	elektrárna, elektra
zdrobnělka	zdrobnět, zdrobnělý
píkař	píka, pekař, píce
klopýtnout	klopit, klopýtat
zbulat	bulet, bulit, bělat, bučet
mlhoviště	mlha, mlhový, vlha
podkoní	kůň, kona, kůl, klon
zubík	zub, Zub, zob
acetylceluloza	acetylcelulosa, acetylcelulóza
vycigánit	cigánit, cigán
platinovo	platinový, platina
trhovní	trh, trhový, trhově
proporciální	proporce, porce
vnučka	vnuk, nučka
kokainovník	kokainový, kokain
svrtit	svrtat, vrtný, vrt
fasetář	fazeta, faseta
úbor	bor, bór, ubrat
odpichovka	odpichový, odpichovat
vratek	vrátit, vrata, vratník, vrátný
morfematika	morf, morfém
areometr	area, areace
uniknout	unikat, únik, žnout
drozdík	drozd, Drozd
pražsku	pražský, Praga, pražit, prag
kujnina	kujný, kujně
alokativní	alokovat, alokace
zpustlota	zpustlý, spustlý
houpnout	houpat, hop, hopnout, hopkat
vrchovisko	vrchový, vrch
slámička	slámka, sláma, láma
hermovka	herma, Herm
plachtařit	plachtař, plachý
zelinečka	zelinka, zelenka, zelina
denaturovna	denaturovat, denaturovaný
zápecný	zápec, zápecí
pučovka	pučovat, putovat, puč, pumový
sofista	sofa, sofizmus
průlisek	prolis, lis
žebřinec	žebří, žebř, žebro, žebřiny, žebřina
vlékat	vléct, vléci, lekat, lákat, lokat, lak
změlčet	mělký, mlčet
zoologičný	zoologie, zoologický, zologický
vzkazovník	vzkázat, vzkazovat
adjustabilní	adjustace, adjustovat
terminátor	terminace, termín, terminovat
přistehnout	stihnout, stáhnout
mechaničina	mechanický, mechanika
baníkovka	Baníkov, baníkovec
psychotika	psychika, psychóza
karambolista	karambol, karambola
drapanice	drápat, drapák, drápaný
modroučce	modroučký, modrý, Modrý
kočárkovné	kočárek, kočárkový
tabulární	tabula, tabule
šakalka	šakal, Šakal
balkonek	balkon, balkón, balka
garážovné	garážovat, garážový, garáž
vagónní	vagón, vagon, vatón
taxátor	taxa, taxovat, taxace
dvojboj	dvojit, dvojí
manťák	manta, mantický
dehtárna	dehet, dýha
dvoufázovka	dvojfázový, dvoufázový
monografie	-graf-, orografie
kongresovka	kongres, kongresový
kantka	kanta, kant, kantovka
parádivka	parádivý, paráda
udrat	drát, udraný
bukač	boukat, buk, bučet, bukáč, bukovat
přenuzný	nuzný, pře
mejlik	mail, mil
pařička	pařič, pařit, parka, para
úmazek	umazat, uzmout
biorezonance	biorezonanční, bioresonance
doušek	duch, duh, Dušek
klobásečka	klobáska, klobás, Klobásek
navíc	navít, vít, více
absolventník	absolvent, absolventský
škrábnout	škrábat, škráb, škrábek, škrabat
kavalírsku	kavalírský, kavalír, kavalírka
pochva	chvat, pochválit, chovat
zvěr	zvírat, zvěř, vířit, zvíře
taxovní	taxa, taxi, taxin
huňáč	huňatý, huňka
slaďák	sladký, sladit
recorder	record, rekorder, rekord
moštař	mošt, moštovat
změkčet	měkčit, měkký
doplatné	doplatit, doplatný, doplést, doplétat
podobjekt	objekt, objektní
zátoč	zatočit, zatíkat, zatkat
vegetativný	vegetace, vegetativní, vegeta
hřbitovné	hřbitov, hřbitovní, hřbet
opornice	opora, oporový
řešetář	řešato, řešeto
zásev	zasít, zaseknout, zasednout, zasát, zavést
klausovka	Klaus, Claus
kompilátor	kompilovat, kompilace
skokanka	skokan, Skokan
makroseizmika	seizmika, makroseizmický
básníř	básník, báseň, básnit
rozkladovka	rozkladový, rozklad
soletka	slet, síl
ugrofinista	ugrofinský, Ugrofin
sedimentální	sediment, sedimentovat
štípnout	štěpný, štěpit, štěp, štípat
bowlingář	bowling, Bowling, bowle
penzionář	penzion, penze, penzión
lyrovník	lyrový, lyra
pastevna	pastva, pást, past, pasta
podobojí	Doboj, podoba
podobojí	Doboj, podoba
tufoviště	tuf, tufit
květinovka	květina, květinový
lisťák	listový, listina, list
lisťák	listový, listina, list
korektor	korekce, korektní, korekční, kora
polosladko	polosladký, sladko, sladký
rýhovatět	rýhovatý, rýha
drobit	drobný, drobek, drob, droby, droba
obdukce	obdukovat, obdukční
endoparazit	parazit, porazit
klobásník	klobás, klobáska
klobásník	klobás, klobáska
větřice	větřit, větřík, vítr
difuse	difuze, difúze
dochov	dochovat, chovat, chov
provozář	provoz, provozák, provozní, provozovat
vzít	jít, Zít, sít, vézt
daktýlky	daktyl, daktylka
vagónář	vagón, vagonář, vagon, vatón, vaton
zřízenectvo	zřízenecký, zřízenec
čtvrthodinovka	čtvrthodinový, čtvrthodina
prachačka	prachař, pracháč
semenačka	semenáč, semeno
vodůvka	voda, Voda, váda
mechař	mech, Mech
doést	vést, nést, dé
obojek	bít, objet, jek
zákalný	zákal, zakalit, zakalovat
amplifikátor	amplifikovat, amplifikace
kuklice	kuklík, kukla
sekáč	sekat, sek
tulka	toulat, toulka, Tula, tulit
polostátní	stát, státní
šediváček	šedivák, šedivý
burcíř	burka, burcovat
čtyřtuna	čtyřtunka, čtyřtunový
nablum	Blum, lum
intertext	text, intertextový
synergetik	synergetika, synergie
věštíř	věstit, věštit
rodice	rod, rodit, rodina, Rod
praprapříbuzný	prapříbuzný, příbuzný
zuboun	zub, zubovat, zubit
parátní	paťár, pařát
konstitucionální	konstituce, konstituování, konstituovat
mapní	mapa, mapka
parazit	razit, kazit
mediumita	médium, medium
vizitkovník	vizitkový, vizitka
blešní	blecha, Blecha, loch
moravistika	Morava, moravizmus
střapatec	střapatý, střapato, třepat
ruralista	ruralizmus, ruralismus, rurální, ruralistický
vážnice	vážit, váha, vát, vážný, váh
umazánek	umazaný, umazanec, umazat
houska	houskový, Houska
otrokárna	otrok, otrokář
subnosný	nosný, suna
splavní	splav, splavit, splavný, splavovat, splavnit
revivalovka	revivalový, revival
záhup	hup, zahoupat, hupnout
amatéřina	amatérský, amatér
deponát	deponovat, deponie
bartákovina	Barták, Bartak
známit	známý, znát
pilnice	pilník, pilný, Pilník, píle
jansenita	Jansen, jansenista
šťávečka	šťáva, Šťáva
hráchovec	hrách, hrachový, Hrách, hra, hrachovec, hrát
dichlorethen	dichlorethan, dichlor, dichloretan
vínovo	vínový, cínový
ořechovice	ořechový, ořechovka, ořech
cylindrovky	cylindrovka, cylindrový, cylindr
sylogistika	sylogizmus, sylogismus
mamuška	máma, mama
splátkovné	splátkovat, splátka, splátkový
čůrat	čmárat, čmára
balistit	balista, balistický, balistika
vrtačina	vrtač, vrtačit, vrtat, vrtačský, vrtácký
pučnice	puta, puk
bodlatý	bodat, bodlo, bodmo, bod, bodnout
olivovo	olivový, oliva, oliví
krčák	krčit, krk, krček, krčený
charvátka	Charvát, Charvat
cévař	céva, cévový
filetka	fileta, filet
encyklika	encyklický, cykl
konkretista	konkrétní, konkretní
štětovnice	štět, štětový, štětit
obratle	obrátit, obratel
konkursant	konkurs, konkurovat
množírna	množit, množný
standartizace	standarta, standardizovat
ovčička	ovce, ovčí
pouťák	pouť, poutní
psychotronička	psychotronik, psychotronika
parazitoložka	parazitolog, parazit
sviják	svinský, svinout
jednota	jedno, jedený, jednotný, Jednota
jednička	jednice, jedení
rozpak	rozpakovat, pak, opak
šrotárna	šrot, šrotovat, Šrot
podup	podupnout, podupovat, dupat, podupat
plynárnička	plynárna, plyn
popcornovka	popcornový, popcorn
xenofobní	xenofob, xenofobie
zrací	zrát, srát, hrát
moldánky	Moldán, Moldánek
žanovec	Žan, Gan
otřasný	třas, otřást
regresník	regresní, regres, regrese
vystrkov	vystrkovat, vystrčit
karbolín	karbol, karbolin
emancipátor	emancipovat, emancipace
slovansku	slovanský, Slovan
konturista	kontura, konturovat
hodža	Hodža, hodit, hod
výkopiště	výkop, výkopný, výkopní
debutní	debut, dub
páchník	Páchník, páchat, pach, píchat
fandírna	fanda, fandit
vlastelin	vlastel, vlast
peřejovitý	peřej, peří
interval	val, vila
éterný	éter, úterý, aithér
paternita	paterní, paternální
súfista	súfizmus, sufizmus, sufismus
výreček	výr, Výrek, výrok
zpolou	pel, zpol, polo, pole
prostátí	prostát, stát
znecitlivit	cílit, citlivý
vložák	vložit, vlohový
balkanista	balkanistika, balkán, Balkan, balkánský
hranato	hranatý, hrana, hraný
povysátý	povysát, vysátý, vysát
elektroopravna	elektrooprava, elektroopravář
kopytárna	kopyto, kopytář
řaděný	řadit, řádit, radit, ředit, dařit
katovina	katovský, katovický, kat, katovat
zdrsna	zdrsnit, drsný
antipatie	pata, -pat-, patovat, pater
ereskář	ereska, rezek
axiomatika	axioma, axiom
velkofinančník	velkofinanční, velkofinančnice
ferocement	feroce, ferocer
tomášovec	Tomášov, Tomášův
novoročné	novoroční, nora
zdržný	zdržet, zdrž, zdrhnout, zdržovat, držet
létéčko	léto, letý, léta
šourák	šourek, šourat
zkolektivnit	kolektivní, kolektiv
skipovka	skipový, skip, Skip
točnice	točit, točný, točka
bělota	bílý, Bíla, bělat
čerňounce	čerňounký, černý
koučka	kouč, koučovat, kuča
slavit	sláva, láva
předivý	příst, předat, divý
bilancista	bilance, bilancovat, bilanční
formátor	formovat, forma, formace, formát
psychofarmakologie	farmakologie, psychofarmakum
barokista	barokizmus, barok, Barok, baroko
zelenoočko	zelený, zeleno
padesátina	padesátník, padesátka
horšit	horší, horský
zářek	zář, zaříkat, zařeknout
prknař	prkno, prcek
interesantní	interesant, interesent
hodař	hod, hodný, hodit
geriatrička	geriatrik, geriatrický
detoxikant	detoxikace, detoxikovat
závada	zavázat, zavádět, zavadit
sprcháč	sprchový, sprchnout
krémovatět	krém, krémovat
natální	tál, nadát
horničina	hornický, horně, horník
předtřetihorní	třetihory, třetihorní
eurodárek	drát, dárek, drátek
trojník	trojí, trojný, trojka, troják
sušař	suchý, suše, sušit, sucho, ucho
bankovné	banka, bankovní, bank
lesklenka	leskle, lesklý
prďavka	prdět, prděný, prd
roztrub	roztroubit, troubit
fašírka	fašírovat, fašírovaný
řidice	řídit, řidič
viviparní	viviparie, viviparita
řepovisko	řepový, řepa, Řepov
botárna	bota, bát
cínovna	cínovat, cínový, cín
motosedlo	smést, sedlo
megaprogram	program, gram
setík	set, sít, seta, setý, setí
stratéžka	stratég, strateg
nepyrogenita	pyrogenní, pyrogen
notný	nota, notit, nosit, nóta, nést, nona
kašovina	kaše, kašový
vlakáč	vlakový, vlákat, vléct
báchorka	Báchor, báchor
nápojáč	nápoj, nápojový
vrápka	vrápek, vrap, vrapa, vrapení
vkrátce	krátce, vrkotat, krátký, vrkat
boulař	boule, bulař
vstrk	vstrkat, strkat, vstrčit, strk, vystrkat
noematika	noema, noetika
záboj	zabít, zabát
koštovka	Koštov, Košťov, koštovat
čírař	čeřit, čířit
autořina	autorský, autor, auto
megacolon	colon, kolon
přetrh	přetrhnout, trhnout, strhnout, přitrhnout, strhat
chámovod	chám, chámový
březovník	březový, bříza
schodík	schod, sejít, chod, schodek
boliviano	Bolev, Bolivie
bilaterální	laterální, literální, literál
univerzál	univerzální, verzální
rudohnědo	rudohnědý, ruda
zlatavo	zlatý, zlatit, zlatavý, zlatový, zlatný, zlatět
zákluz	kluz, klouznout, klouzat
chybář	chyba, chybit, chybět
halný	halit, hala
japanista	japanizmus, japan
šišloun	šišlat, šišla
mířit	míra, mír
štuček	štuk, štuc, štěk, štukovat, štucovat, štukový
výpach	vypáchnout, vypáchat
zponenáhlu	zponenáhlý, ponenáhlý, ponenáhlu
poženštit	ženský, ženštět
záhumní	hum, humno
zápecní	zápecí, zápec
dentála	dentální, dentálový
kitař	kit, kite
utěšit	těšit, tušit
napotomní	napotom, potomní, potom
zuran	uran, runa
hormón	hormon, Cormon
signifikantní	signifikace, signifikovat
detektorář	detektor, detekce
pokutovník	pokutovat, pokutový, pokuta
ořešina	ořech, ořeší
sanitník	sanita, sanitka
komanditní	komando, komenda
postupář	postup, postupovat, postoupit
šedouš	šedý, šedat
řeholit	holit, řehole, holý, řehol
absorbát	absorbovat, sorbát
věnečkovné	věneček, věnečník
pečný	péct, pékat
vrátce	vratký, vrata, vratka, vratko
vrátce	vratký, vrata, vratka, vratko
piskoř	pisk, Piskoř, písek, posek
sofizma	sofizmus, sofistika
obratlí	obrátit, obrat, obratel
poskok	poskočit, skok, kok
mikrosmat	mikrosmatický, smát
volňounce	volňounký, volný, volní
rozkolí	kolo, kola
autoklíč	klíč, kleč
stříhnout	stříhat, strojit, stražit, stíhat
dávit	dávat, dávka, dávný, vát
sofistika	Sofie, sofizmus, sofistický
medailovník	medailový, mediální
zbujník	zbujný, bujný
zvěřena	vzřít, vzřený
vosmina	osmina, osma
foliózní	folium, fólie
tepnička	tepna, tep
ústrojstvo	ústroj, ustrojit, ústrojný, ústrojí
biotechnika	technika, biotechnický
korálník	korál, korálek, korální, korále, Korál
belešník	beleš, Beleš
exkupón	kupón, kupon
zas	saz, zasnout, zasnít
granko	Granko, Grano
expropriát	expropriace, expropriovat
šestispřežný	šestispřeží, šestispřež
kósek	kos, koso, Kos, kosík
lepší	Lepša, lepit, lep, lepšit
lezní	lézt, liz
státík	stát, tát
radioamatérství	radioamatérský, radioamatér
hnízdoš	hnízdo, hnízdit
ulízánek	ulízávat, ulízaný, ulízání
potrhlo	potrhnout, potrhlý, trhlý, trhnout
trasovač	trasovat, rasovat
trasovač	trasovat, rasovat
šlechticku	šlechtický, šlechtit, šlechta
psychiatrička	psychiatrický, psychiatr, psychiatrie
záložka	záložní, záloha
stahnout	stahat, tahnout, tahat, stahovat, hnout, žahnout, žnout
kulaťoučce	kulaťoučký, kulatý, kulaťounký
umorousat	rousat, morový
koloristika	kolorizmus, koloristický, kolorista, kolorovat, kolorismus
formovna	formovat, forma, formový
komercialistika	komercializmus, komerciální, komercialista, komerce
kapotek	kapota, kapotka
svarný	svar, svařit, svírat
obláčka	oblak, oblý
plstní	plsť, plstit
vidlák	vidle, Vidlech
řecku	řecký, řecky
toužný	touha, toužit
třípokoják	třípokojový, trojpokojový
přestřel	přestřelit, střelit, prostřelit
fotostránka	stát, star
octávka	ocitávat, ocitovat
zášer	zašít, zašeřit
octař	ocet, octář
četivo	čít, četa, čítat, četový, číst
disociativní	disociace, disociovat, sociativní
cytozín	cytozin, cytosin
kopejka	kopat, kopa
bejček	býk, bejk, bejčit
biooblek	oblek, oble
čalfista	čalma, Čalfa
tříska	třísnit, třískat
postřehovka	postřehový, postřeh
šestispřeží	šestispřež, šestispřežní, šestispřežný
medovec	medový, modový, med
černohorec	Černohorec, černohorský
ráčna	ráčit, ráce
univerzália	univerzální, universální, univerzálie
životář	život, živý
kopulativní	kopulace, kopulovat, kopule
ovruba	ovroubit, vroubit, ovrubovat
šosatět	šosatý, šos
přepilný	pilný, pílit, plát, plít
hospodin	hospoda, hospodský
hřebének	hřeben, hřeb, Hřeben
stavebnička	stavební, stavebník, stavebnice, stavebný, stavba
kmotrovina	kmotr, kmotra
ostra	ostrý, strana, stranit, stražit
strouhák	strouhat, struhák, strouha, struk, strouhač
samotíž	samota, samotný
ležák	ležet, lež
gránik	granik, granit
štípko	štěp, štěpek, štěpit, štěpení
ažurita	ažura, ažurovat
anorogenní	orogenní, orogen
meduchtivý	chtivý, uctivý
archeobotanička	archeobotanik, archeobotanika, botanička
krejčík	krejčí, kráčet, krájet
biokritérium	biokriterium, kritérium
záhybka	záhyb, zahýbat
antikvita	antikva, vika, Antikva, antikvovat
