oblomovština	oblomovský, Oblomovský
zapřáhat	zapřáhnout, spřáhnout
zapáchat	zápach, páchat, máchat
zapíravý	zapírat, napírat
zapomínat	zapomenout, napomínat, opomínat
zapevnit	pevný, pevně
zapeřit	peří, pýřit, pero
zaměřovač	zaměřovat, zaměňovat
zaokrouhlet	krouhlý, okrouhlý
zaopatřenec	zaopatřený, zaopatřit
zaněmčit	německý, zanímat
zaoblačit	oblak, oblaka, oblačný
zaobloučit	oblouk, hloučit
zamytelný	mytelný, mýt
zamrákat	mrkávat, mrkat, zamrkat
sebeprezentace	sebeprezentovat, sebeprezentační
zakvášet	zakvasit, zakvést
zakvíst	kvíst, kvést, zakvést
zakrvit	krmit, krčit
zakročit	kročit, krok, kráčet
zakrsat	krást, zakrást, kras
zakrslíček	zakrslík, zakrslý
zakusit	kulit, kus
zaklinadlo	zaklínat, zaklinkat
zaklápěcí	zaklápět, zakrápět
zaklíštit	kleštit, klestit
zakmenit	kmen, klen, křenit
zaknotit	knot, klonit, kona
zaklestění	zaklestit, zklestit
zaklestěný	zaklestit, zklestit
zakrabit	krab, krabí, karbit
zaháněná	zaháněný, zahánět
zahradníček	zahradník, Zahradník
zahřívárna	zahřívat, zahřávat, zahřát
zahukávatelný	zahoukávat, zakukávat
zahudat	hádat, hlodat
zahukatelný	zahoukat, zahučet
zahukávaný	zahoukávat, zakukávat
zahraždit	hradit, zahradit
zahradničina	zahradnice, zahradník, zahradnička, zahradničit, zahradnický
zahradnička	zahradnice, zahradní, zahradně
zahořčit	hořký, hořko, hořknout
zahleděnec	zahleděný, hleděný
zahajitel	zahájit, zahojit
zadundat	dudat, zadudat
zadupotat	dupat, dutat
zadálit	dálný, dál
zadepsat	psát, pást, past, zapsat, opsat
zachrustat	chroustat, chrstat
zachráněnec	zachráněný, chráněnec
zacupotat	zacupat, cupat, cup
zachvojení	zachovat, zachodit
zachvít	chvět, zvít
zachranitel	zachránit, chránit
zabřezat	řezat, obřezat
zachrápnout	zachrápat, krápnout
zachichtat	chechtat, chichtat
Rózá	Roza, Róza
zabáňat	báňat, zabánit, báň
zabijáček	zabiják, biják
zableskotat	zableskat, zablesknout
zabendit	Bendit, debit, endit
zababčit	babka, babča
zabaranit	baran, beranit
exvyšetřovatel	vyšetřovatel, vyšetřovat
důlkovitý	důlek, dolek
Desná	Lesný, Sens
věšákovitý	věšák, pěšák
věštitelství	věstitel, pěstitelský
větérkovitý	větérka, větérek, větýrek
větvovitý	větev, větvit, větvoví
věnečkovitý	věneček, Věneček
věcnatý	věc, více, věk
výrostkovitý	výrostek, výrůstek
výletnictví	výletnický, výlet
výkladný	výklad, vykládat, výkladna
Roudnická	roudnický, Roud
výhrůžkář	výhružka, výhrůžka, vyhrůžka
aktuelnost	aktuelní, aktuální
várečnictví	várečník, várečný
vzpřažit	pražit, pažit
vzebrat	brát, hrát, zrát, žrát, srát
vyťavší	vytát, vytavit, vytávat
vyžavší	vyžít, vyžrat, vyžnout
vyžbluňknout	žblunknout, vyžblunknout, žbluňknout
vyžíračný	vyžírat, vyžírač, vyžírací
areflexivnost	ar, reflexivnost
Rodná	rod, rodný
vyšklíbit	šklebit, šklíbit
vyšeplaný	šeplaný, šeplat
vyšetřovatelna	vyšetřovatel, vyšetřovat
vyzvědat	vyzvědět, zvědět
vyznávač	vyznávat, vyzvánět
vyvrtávač	vyvrtávat, vyvrzávat
vytřípat	třepat, típat
vyvažovač	vyvažovat, vyvazovat, vyvažovaný
vyvežení	vyvézt, vyvést
vytahovač	vytahovat, vytazovat, vytavovat
vysápnout	vysápat, vsápnout
vystrájet	vystrojit, stráň
vystoupit	stoupit, stoupat, stupit, stoupa, ustoupit
vystroužit	strouha, stražit
dvoumužství	dvoumužný, dvojmužství, dvojmužný
dvoulůžkáč	dvojlůžko, dvoulůžko, dvojlůžkáč
vyrovnávač	vyrovnávat, rovnávat
vyrybnit	rybný, rybní
vypřádat	vypříst, přást, vypřít
vypřáhat	vypřáhnout, vypřahat
vypřáhnout	vypřahat, vypřáhat, vyprahat, vepřáhat, vpřáhat
vypáleniště	vypálit, vypálený, vypálení
vypřadení	vypříst, vypřádat, vpřádat
vypravovánka	vypravování, vypravovaný, vypravovat
vyprostit	prostý, sprostit
vypohlavčit	pohlavkovat, pohlavek
vypláchnout	pláchnout, spláchnout
vypotřebit	potřebný, potřeba, potřebí
vyplavět	vyplavit, plavý, plavat
dvougarsonka	dvougarsoniéra, dvojgarsonka
vyoblit	oblý, oblet, oblít
vyobloučit	sloučit, hloučit, oblouk, vyloučit, loučit
vynešený	vynést, vnést
vypadat	padat, padnout, vypadnout
vypalovač	vypalovat, vyvalovat
sepřažit	spřáhnout, spřahovat, pražit
serioznost	seriozní, seriózní
vymyšlenina	vymyšlený, vymýšlený, vymyšlení, myšlený, myšlení
vymítat	vymnout, vymést, vymítnout
vymědlit	mýdlo, mádlo
vymětač	vymítat, vmítat
vymezit	mez, mezný
vylupitel	vyloupit, vyloupat, vylepit
vylévač	vylévat, vlévat, vylívat
vylévač	vylévat, vlévat, vylívat
bačkorův	bačkora, Bačkora
vylevač	vylévat, vylívat
vylevit	lev, Levit
vykutálenec	vykutálený, vykutalený, vykutálet
vykradačství	vykradačský, vykradač
vyklestění	vyklestit, zklestit
vyklestěný	vyklestit, zklestit
vykolit	klot, kola, kolo
bezhrotý	hrot, hrát, hrnout
bezbradý	brada, brod, Brad, brodit
betonářství	betonářský, betonář
vyhvězdit	hvězdný, hvězda
vyhrožovatel	vyhrožovat, vyhražovat
bezhřívý	hříva, hřát
dvoubalení	dvojbalet, dvojbalení
vyhovujícnost	vyhovující, vyholující
bezplátečný	plátek, plátovat
Haná	Hán, Hana, Hána, Hanský, Han, Hanan
bezpáteřnatý	páteřní, páteř
vydělávárna	vydělávat, dělávat, vydělovávat, vydělat
vyhazovač	vyhazovat, vyvazovat, vymazovat
vydělavatel	vydělávat, vydělovat, vydělat
vydrapnout	drapnout, drápnout
vychytrat	chytrý, Chytrý
Dřevecká	dřevecký, Dřevec, Dřevce
vydlažit	vydlážit, blažit, vydláždit
vycvachtat	cachtat, vachtat
vycápat	capat, cupat, vycapat
vychladat	chladnout, vychladnout, chladit, chlad, hlad
vychlípět	vychlípit, vychlípnout
vyběsit	věsit, běs, věšet
vybíračný	vybírač, vybírat, vybírací
vráskovatět	vráskovatý, vráska, vráskovat
bojovnictví	bojovnický, bojovník
vranečkovitý	vraneček, vraný, vraníček
borůvkovitý	borůvka, Borůvka
