neozednářský	zednářský
pedostomatologický	somatologický
moonistický	moonista, mono
neoklasistický	neoklasický
parasympatomimetický	parasympatomimetikum
amigistický	amigista
expardubický	pardubický
mýtomanský	mytomanie
monocyklický	cyklický
sarkastický	sarkasta, sarkastka, sarkastik, sarkazmus
protiluxovský	luxovský, luxus
plňoučký	plný
bioelektrický	elektrický
kelský	kel
kaustický	kauza
polomafiánský	polomafián
předturecký	turecký
protichorvatský	chorvatský
bílooký	bílý
volňounký	volný, volní
tragikomický	tragikomika
karlistický	karlista
exkrumlovský	krumlovský
biopsychický	psychický
protimaďarský	maďarský
foenický	foen
protisudetoněmecký	sudetoněmecký
starotibetský	starý
ultrapragmatický	pragmatický
časoměřický	časoměřič
bikvadratický	kvadratický
záhadologický	záhadologie
modřecký	modře, modrý
laiský	laik
brzoučký	brzký
interkomunistický	komunistický
polycyklický	cyklický
veverský	veverka
prosťounký	prostý
magnetoterapeutický	magnetoterapie, magnet
poloteroristický	teroristický, teror
státostranický	státostrana
akrocentrický	centrický
mezenchymatický	mezenchym
mářský	mařit
piktorialistický	piktorialismus, piktorializmus
syndikalistický	syndikalista, syndikalizmus, syndikalismus
dochtorský	dochtor
beztoký	tok
jednocyklický	jednocyklový
jemňoulinký	jemňounký, jemný
patogenický	patogen
polonaturalistický	naturalistický
archaický	archaizmus, archaizace
barský	bar
velikooký	veliký
supermanovský	superman
mosaický	mozaika, mosaika
diagenetický	diageneze
camorristický	camorra
enviromentalistický	enviromentalizmus, enviromentální
protiepileptický	epileptický
bioanalogický	analogický
dosovský	dosový
anachronistický	anachronizmus, anachronický, anachronismus
polychromatický	polychromie, polychromní, chromatický
pletysmografický	pletyzmografie
rudoarmějský	rudoarmějec
předtereziánský	tereziánský
židký	žid
převelký	velký
explozionalistický	explozionalizmus, explozionalismus
podbranský	branský
chmelenský	chmelený
starobabylonský	starobabylónský
partenogenetický	partenogeneze
sympatomimetický	sympatomimetikum
homocentrický	chemický, chemie
justicialistický	justice
exsovětský	sovětský
postmečiarovský	mečiarovský
heboulinký	hebounký
hubeňounký	hubený, hubník, huba
hypotaktický	hypotaxe
canisterapeutický	canisterapie
lytický	litický
starožidovský	star
pikolický	pikolice, pikolík, pikola
dermatoskopický	dermatoskop
topocentrický	cent
goistický	goista
submetacentrický	metacentrický, centrický
komsomolský	komsomol, komsomolec
protoelamský	elamský
daseinsanalytický	daseinsanalýza
velikoruský	veliký
farmaceutický	farmaceutika, farmaceut, farmaceutikum
akatalektický	katalektický
předpoetistický	poetistický, poetický, poetizmus
psinský	psina
administrativněstatistický	administrace
protizpravodajský	zpravodajský
exsocialistický	exsocialista, socialistický
proklepáčovský	proklepat
polootrocký	polootrok
předřecký	řecký, řeka
čerňounký	černý, černík
transoceánský	oceánský
uměleckografický	umělec
extřinecký	třinecký
torický	torus
nahoučký	nahý
postwarholovský	warholovský
protisocialistický	socialistický
holubovský	holub
pologeometrický	geometrický
nadmořský	mořský
želský	žel, želka
montmorillonitický	montmorillonit
fyzický	fyzika
minigrafický	minigraf
saframentský	sakrament
pedocentrický	pedocentrizmus, centrický
krásnooký	krásný
chlororganický	chlor
audiografický	radiografie
videofonický	videofon, videofonní
idiotický	idiot, idiotie
epický	epos
polobeletristický	letristický
postkapitalistický	kapitalistický
svobodský	svoboda
adiagnostický	diagnostický
sociopolitický	politický
ekotoxický	toxický
bezsuký	suk, soukat, sok
polovysoký	lest
dokumentografický	dokument
iracionalistický	iracionalista, iracionalizmus, iracionální, iracionalismus, racionalista
extralehký	lehký
štípský	štíp, štítský
přímoskevský	moskevský
patický	pata, pat
syntetický	syntetika, syntetizmus
vodovský	voda, vodový
exprešovský	prešovský
červeňounký	červený, červeň
trichromatický	chromatický
polodemokratický	demokratický
polyfyletický	polyfyletizmus
jednovoký	jedno
porýnskofalcký	porýnský
proticharvátský	charvátský
talský	tala
vrtbovský	vrtba
oranžovoučký	oranžový
protistranický	protistrana, stranický
postbalzakovský	balzakovský
propedeutický	propedeutika
hezoulinký	hezounký, hezounek
odický	óda, ód
protidynastický	dynastický
subsaharský	saharský
velkořecký	velkořecky
intuitivistický	intuitivizmus
havlíčskobrodský	havlíčkobrodský
gardský	gard, garda
bystrooký	bystrý
pažský	paže
anankastický	anankasmus, anankazmus
multistranický	stranický
bódhisattvický	bódhisattva
egocentrický	egocentrizmus
epodický	epóda
telocentrický	centrický
postfrankistický	frankistický
skotopický	skot
protisolženicynovský	solženicynovský
abiogenetický	biogenetický, abiogeneze
exchomutovský	chomutovský
televangelistický	televangelista
fázický	fáze
protimuslimský	muslimský
zářecký	zářek, září
skoliotický	skolióza, skoliotikum
poloměkký	měkký
nadideologický	ideologický
maradakertský	mardakertský
obrocký	obrok
videoskopický	videoskop
zřídký	řídký
patchworkovský	patchwork
polymelodický	melodický
lockovský	lock
fyziochemický	fyzický
hloupounký	hloupý
osciloskopický	osciloskop
perocentrický	centrický
šovický	šouf
postmagmatický	magmatický
mechanickochemický	mechanický
polochemický	chemický
protimečiarovský	mečiarovský
elektroterapeutický	elektroterapie
psychoekonomický	ekonomický
polosladký	sladký, sladit
protifrankistický	frankistický
polostudentský	studentský
severoirský	sever
křestaňskodemokratický	křesťanskodemokratický
exostravský	sex
postklasický	klasický, klastický, klas, klasa
kolský	kůl, kola, kolář
protimaastrichtský	maastrichtský
protistalinský	stalinský
daleký	dál
excentrický	excentr, excentrista, centrický
apodiktický	apoda
exjugoslávský	jugoslávský
postapokalyptický	apokalyptický
staroirský	starý
lehkotěžký	lehký
transevropský	evropský
protipalestinský	palestinský
protilepenovský	lepenovský
protireaganovský	reaganovský
emfatický	emfáze
anglosaský	anglosas
ultramontánský	ultramontanizmus
traický	trák
staroarménský	star
velkodramatický	velkodrama
subetnický	etnický, ethnický
vratký	vrata, vrátit, vrtat
patognomonický	pat, gnomonický
audiofilský	audiofil
eratický	arita
biopolitický	biopole
suchozemský	suchozemec
nematoblastický	blastický
černosotěnecký	černosotněnec, černosotěnec
ultramonarchistický	monarchistický
subjektivistický	subjektivní, subjektivizmus
severoruský	sever
exsokolovský	sokolovský
temnooký	temno
severofríský	severofrízský
fialovoučký	fialový
exkladenský	kladenský
laternomagický	laterna
venský	ven
transjordánský	jordánský
rychloruký	rychlý
starořecký	starý
autentický	autentika
aplastický	plastický
protobulharský	bulharský
panchromatický	chromatický
protimalarický	malarický
subnordický	nordický
velkodílenský	velkodílna
intermetalický	metalický
posttraumatický	traumatický
podhimálajský	himálajský, himalájský
polosyntetický	syntetický
podjavorinský	javorinský
piezoelektrický	piezoelektrikum, elektrický
semiempirický	empirický
pětiboký	pět
ortorombický	rombický
apomiktický	apomixie
postkatastrofický	katastrofický, post
široboký	širý
orogenetický	orogeneze, genetický
mikrointervalický	mikrointerval
žhavooký	žhavý
elektrický	elektrika
