rank	lemma	freq	ipm	derivational family	deriavational family 2	root of DeriNet tree id	root from DeriNet	slovesná třída	vzor	prefix 4	prefix 3	prefix 2	prefix 1	foreign prefix 2	foreign prefix 1	odprefixované slovo	prefix-Jarka souhlasí se Slavíčkovou	morph segm Slavickova	morph segm DeriNet	morph segm FlatCat	ammel	foreign	odprefigované sloveso segmentované	bez KS	bez iterativních S	kandidát na kořen	derivační S	derivační S 2	derivační S 3	iterativní S	iterativní S 2	iterativní S 3	iterativní S 4	KS	number of frames	Derinet parent	note	compos 1	interfix	prefix 3	prefix 2	prefix	suffix	compos 2	comb form 1	comb form 2
10873	vytřásat	10	83	třást		třást#V????--??-??I??	vy(třás)at	5	dělá				vy			třásati	Y	vy třás a t	vy tř ás a t	vy třás a t	tasářtyv	0	třás a t	třás	třás	třás								a		vytřást#V????--??-??P??										
10897	vytrucovat	10	83	truc		truc#NNI??-----A---?		3	kupuje				vy			trucovati	N		vy truc ov a t	vytruc ova t	tavocurtyv	0	truc  ova t	truc	truc	truc								ova		trucovat#V????--??-??I??										
11044	vyživit	10	83	žít		žít#V????--??-??I??		4	prosí				vy			živiti	Y	vy ži v i t	vy živ i t	vyživ it	tivižyv	0	ži v i t	ži v	ži v	ži	v							i		živit#V????--??-??I??										
10890	zabečet	10	83	bé		bé#NNNXX-----A----		4	trpí				za			bečeti	Y	za beč e t	za beče t	za beče t	tečebaz	0	beč e t	beč	beč	beč								e		bečet#V????--??-??I??										
10988	zahajlovat	10	83	hajlovat		hajlovat#V????--??-??I??		3	kupuje				za			hajlovati	N		za hajl ova t	zahajl ova t	tavoljahaz	0	hajl  ova t	hajl	hajl	hajl								ova		hajlovat#V????--??-??I??										
10982	zahemžit	10	83	hemžit		hemžit#V????--??-??I??		4	prosí				za			hemžiti	N		za hemži t	za hemž it	tižmehaz	0	hemž  i t	hemž	hemž	hemž								i		hemžit#V????--??-??I??										
10840	zahloubit	10	83	hloub		hloub#NNFS?-----A----	za(hloub)it	4	prosí				za			hloubiti	N		za hlou b i t	za hloub it	tibuolhaz	0	hloub  i t	hloub	hloub	hloub								i		hloubit#V????--??-??I??										
10925	zaizolovat	10	83	izolovat		izolovat#V????--??-??B??		3	kupuje				za			izolovati	N		za izol ova t	za izol ova t	tavoloziaz	1	izol  ova t	izol	izol	izol								ova		izolovat#V????--??-??B??										
11015	zakdákat	10	83	kdák		kdák#NNI??-----A---?		5	dělá				za			kdákati	N		za kdák a t	zakdák a t	takádkaz	0	kdák  a t	kdák	kdák	kdák								a		kdákat#V????--??-??I??										
11030	zaklást	10	83	klást		klást#V????--??-??I??	za(klás)t	1	nese				za			klásti	N		za klá s t	za klást	tsálkaz	0	klás   t	klás  	klás  	klás  										klást#V????--??-??I??										
10974	zaklenout	10	83	klenout		klenout#V????--??-??I??	za(klen)out	2	mine				za			klenouti	Y	za klen ou t	za klen o u t	za klen ou t	tuonelkaz	0	klen ou t	klen	klen	klen								ou		klenout#V????--??-??I??										
10992	zaklopit	10	83	klopit		klopit#V????--??-??I??		4	prosí				za			klopiti	Y	za klop i t	za klop i t	za klop it	tipolkaz	0	klop i t	klop	klop	klop								i		klopit#V????--??-??I??										
10933	zakřivovat	10	83	křivý		křivý#AA???----??---?	za(křiv)ovat	3	kupuje				za			křivovati	Y	za křiv ova t	za křiv ova t	za křiv ova t	tavoviřkaz	0	křiv ova t	křiv	křiv	křiv								ova		zakřivit#V????--??-??P??										
10837	zapravovat	10	83	pravý		pravý#AA???----??---?	za(prav)ovat	3	kupuje				za			pravovati	Y	za prav ova t	za prav ova t	za prav ova t	tavovarpaz	0	prav ova t	prav	prav	prav								ova		zapravit#V????--??-??I??										
10932	zapuzovat	10	83	pudit		pudit#V????--??-??I??		3	kupuje				za			puzovati	Y	za puz ova t	za puz ova t	zapuz ova t	tavozupaz	0	puz ova t	puz	puz	puz								ova		zapudit#V????--??-??P??										
10919	zarosit	10	83	rosa		rosa#NNF??-----A---?	za(ros)it	4	prosí				za			rositi	Y	za ros i t	za ros i t	za ros it	tisoraz	0	ros i t	ros	ros	ros								i		rosit#V????--??-??I??										
10844	zarudnout	10	83	rudý		rudý#AA???----??---?		2	mine				za			rudnouti	N		zarud no u t	za rud nou t	tuonduraz	0	rud  nou t	rud	rud	rud								nou		zarudat#V????--??-??I??										
10892	zasnubovat	10	83	snoubit		snoubit#V????--??-??I??		3	kupuje				za			snubovati	Y	za snub ova t	za snub ova t	zasnub ova t	tavobunsaz	0	snub ova t	snub	snub	snub								ova		zasnoubit#V????--??-??P??										
11012	zašpičatit	10	83	špice		špice#NNF??-----A---?	za(špič)atit	4	prosí				za			špičatiti	Y	za špič at i t	za špič at i t	za špič at i t	titačipšaz	0	špič at i t	špič at	špič at	špič	at							i		špičatit#V????--??-??I??										
10970	zašprajcovat	10	83	šprajcnout		šprajcnout#V????--??-??P??		3	kupuje				za			šprajcovati	N		za šprajc ova t	zašprajc ova t	tavocjarpšaz	1	šprajc  ova t	šprajc	šprajc	šprajc								ova		šprajcovat#V????--??-??I??										
10939	zatušovat	10	83	tuš		tuš#NNF??-----A---?		3	kupuje				za			tušovati	Y	za tuš ova t	za tuš ova t	za tuš ova t	tavošutaz	0	tuš ova t	tuš	tuš	tuš								ova		tušovat#V????--??-??I??										
10875	zavadnout	10	83	vadnout		vadnout#V????--??-??I??		2	mine				za			vadnouti	Y	za vad nou t	zava d no u t	zavad nou t	tuondavaz	0	vad nou t	vad	vad	vad								nou		zavazet#V????--??-??I??										
10846	zavážit	10	83	váha		váha#NNF??-----A---?	za(váž)it	4	prosí				za			vážiti	N		za váž i t	za váž it	tižávaz	0	váž  i t	váž	váž	váž								i		vážit#V????--??-??I??										
11033	zaveslovat	10	83	vést		vést#V????--??-??I??	za(vesl)ovat	3	kupuje				za			veslovati	Y	za vesl ova t	za vesl ova t	za vesl ova t	tavolsevaz	0	vesl ova t	vesl	vesl	vesl								ova		veslovat#V????--??-??I??										
11038	zazmítat	10	83	mést		mést#V????--??-??I??	zaz(mít)at	5	dělá			za	z			mítati	N		za zmít a t	za z mít a t	tatímzaz	0	mít  a t	mít	mít	mít								a		zmítat#V????--??-??I??										
11054	zblejsknout	10	83	blesk		blesk#NNI??-----A---?	z(blejsk)nout	2	mine				z			blejsknouti	N		z blejs kn o u t	z blejsk nou t	tuonksjelbz	0	blejsk  nou t	blejsk	blejsk	blejsk								nou		zblýsknout#V????--??-??P??										
10953	ždát	10	83	ždát		ždát#V????--??-??I??		5	dělá							ždáti	N		ždá t	žd á t	tádž	0	žd  á t	žd	žd	žd								á		None										
10984	zdegradovat	10	83	grad- gred- gress- 				3	kupuje			z			de	gradovati	N		z degrad ova t	zdegrad ova t	tavodargedz	1	grad  ova t	grad	grad	grad								ova		degradovat#V????--??-??B??										
11025	zduchovnět	10	83	duch		duch#NNM??-----A---?		4	sází				z			duchovněti	Y	z duch ov n ě t	zduchovně t	zduchov n ě t	těnvohcudz	0	duch ov n ě t	duch ov n	duch ov n	duch	ov	n						ě		duchovní#AA???----??---?										
10958	zečtyřnásobit	10	83	čtyři	násobit	čtyřnásobit#V????--??-??P??		4	prosí				ze			čtyřnásobiti	N		ze čtyřnásobi t	ze čtyřnásob it	tibosánřytčez	0	čtyřnásob  i t	čtyřnásob	čtyřnásob	čtyřnásob								i		čtyřnásobit#V????--??-??P??		čtyř				ná		sob		
10851	zekonomizovat	10	83	oec-	nomos	ekonomie#NNF??-----A---?	z(ekonom)izovat						z			ekonomizovat	N				tavozimonokez		ekonomiz  ova t	ekonomiz	ekonomiz	ekonom	iz							ova		ekonomizovat#V????--??-??I??									eko	nom
10946	zesvětlit	10	83	svítit		svítit#V????--??-??I??	ze(svět)lit	4	prosí				ze			světliti	N		zesvětl i t	zesvětl it	tiltěvsez	0	svět l  i t	svět l	svět l	svět	l							i		světlý#AA???----??---?										
10834	zkaramelizovat	10	83	karamel		karamel#NNI??-----A---?		3	kupuje				z			karamelizovati	Y	z karamel iz ova t	z karameliz ova t	z karamel iz ova t	tavozilemarakz	1	karamel iz ova t	karamel iz	karamel iz	karamel	iz							ova		karamelizovat#V????--??-??I??										
11062	zkostnatět	10	83	kost		kost#NNF??-----A---?	z(kost)natět	4	trpí				z			kostnatěti	Y	z kost n at ě t	z kostnat ě t	z kostna t ě t	tětantsokz	0	kost n at ě t	kost n at	kost n at	kost	n	at						ě		kostnatět#V????--??-??I??										
10915	zkoupat	10	83	koupat		koupat#V????--??-??I??		1#5	kopá#bere				z			koupati	Y	z koup a t	z kou p a t	z koup a t	tapuokz	0	koup a t	koup	koup	koup								a		koupat#V????--??-??I??										
10857	zkousnout	10	83	kousnout		kousnout#V????--??-??P??		2	mine				z			kousnouti	N		z ko us no u t	z kous nou t	tuonsuokz	0	kous  nou t	kous	kous	kous								nou		kousnout#V????--??-??P??										
11000	zlanařit	10	83	lano		lano#NNN??-----A---?	z(lan)ařit	4	prosí				z			lanařiti	N		z lan ař i t	z lanařit	tiřanalz	0	lan ař  i t	lan ař	lan ař	lan	ař							i		lanařit#V????--??-??I??										
10994	zmalátnět	10	83	malátný		malátný#AA???----??---?		4	trpí				z			malátněti	Y	z malát n ě t	z malátn ě t	zmalá t n ě t	těntálamz	0	malát n ě t	malát n	malát n	malát	n							ě		malátnět#V????--??-??I??										
10898	zmastit	10	83	mazat		mazat#V????--??-??I??	z(mast)it	4	prosí				z			mastiti	N		z mast i t	z mast it	titsamz	0	mast  i t	mast	mast	mast								i		mastit#V????--??-??I??										
10858	zmrzet	10	83	mrzet		mrzet#V????--??-??I??	z(mrz)et	4	trpí				z			mrzeti	Y	z mrz e t	z mrz e t	z mrz e t	tezrmz	0	mrz e t	mrz	mrz	mrz								e		mrzet#V????--??-??I??										
10861	zmyslet	10	83	myslit		myslit#V????--??-??I??		4	prosí#sází				z			mysleti	N		z mysl e t	z mysl e t	telsymz	0	mysl  e t	mysl	mysl	mysl								e												
11029	zpráchnivět	10	83	prach		prach#NNI??-----A---?		4	sází				z			práchnivěti	Y	z prách n iv ě t	z práchniv ě t	z práchniv ě t	těvinhcárpz	0	prách n iv ě t	prách n iv	prách n iv	prách	n	iv						ě		práchnivět#V????--??-??I??										
10899	zpřelámat	10	83	lámat		lámat#V????--??-??I??		1	bere			z	pře			lámati	Y	z pře lám a t	z pře lám a t	z pře lám a t	tamáleřpz	0	lám a t	lám	lám	lám								a		přelámat#V????--??-??P??										
10872	zrekvírovat	10	83	quer- -quir- quesit- -quisit-				3	kupuje			z			re	kvírovati	Y	z re kv ír ova t	z rekvír ova t	zrekvír ova t	tavorívkerz	1	kv ír ova t	kv ír	kv ír	kv	ír							ova		rekvírovat#V????--??-??I??										
10903	zrnit	10	83	zrno		zrno#NNN??-----A---?		4	prosí							zrniti	N		zrn i t	zrn it	tinrz	0	zrn  i t	zrn	zrn	zrn								i		zrní#NNN??-----A---?										
11042	ztišovat	10	83	tichý		tichý#A????----??---?	z(tiš)ovat	3	kupuje				z			tišovati	N		z tiš ova t	z tiš ova t	tavošitz	0	tiš  ova t	tiš	tiš	tiš								ova		ztišit#V????--??-??P??										
11031	ztopořit	10	83	topor		topor#NNI??-----A---?		4	prosí				z			topořiti	Y	z topoř i t	z topoř i t	ztopoř it	tiřopotz	0	topoř i t	topoř	topoř	topoř								i		topořit#V????--??-??I??										
10963	ztužit	10	83	tuhý		tuhý#A????----??---?	z(tuž)it	4	prosí				z			tužiti	Y	z tuž i t	z tuž i t	z tuž it	tižutz	0	tuž i t	tuž	tuž	tuž								i		tužit#V????--??-??I??										
10985	zulíbat	10	83	líbat		líbat#V????--??-??I??		5	dělá			z	u			líbati	Y	z u líb a t	zu líb a t	zulíb a t	tabíluz	0	líb a t	líb	líb	líb								a		líbat#V????--??-??I??										
11095	asfaltovat	9	74	asfalt		asfalt#NNI??-----A---?	(asfalt)ovat	3	kupuje							asfaltovati	Y	asfalt ova t	asfalt ova t	asfalt ova t	tavotlafsa	1	asfalt ova t	asfalt	asfalt	asfalt								ova		asfalt#NNI??-----A---?										
11209	baletit	9	74	balet		balet#NNI??-----A---?		4	prosí							baletiti	N		baleti t	bal eti t	titelab	0	balet  i t	balet	balet	balet								i		balet#NNI??-----A---?										
11376	cáknout	9	74	cákat		cákat#V????--??-??I??		2	mine							cáknouti	Y	cák nou t	cák no u t	cák nou t	tuonkác	0	cák nou t	cák	cák	cák								nou		cákat#V????--??-??I??										
11193	chrchlat	9	74	chrchlat		chrchlat#V????--??-??I??		5	dělá							chrchlati	Y	chrchl a t	chrchla t	chrchl a t	talhcrhc	0	chrchl a t	chrchl	chrchl	chrchl								a		None										
11243	cikánit	9	74	cikán		cikán#NNM??-----A---?		4	prosí							cikániti	N		cikán i t	cikán it	tinákic	0	cikán  i t	cikán	cikán	cikán								i		cikán#NNM??-----A---?										
11101	cumlat	9	74	cumlat		cumlat#V????--??-??I??		5	dělá							cumlati	Y	cuml a t	cumla t	cuml a t	talmuc	0	cuml a t	cuml	cuml	cuml								a		None										
11204	deblokovat	9	74	blokovat		blokovat#V????--??-??I??									de	blokovat	N				tavokolbed		blok  ova t	blok	blok	blok								ova		blokovat#V????--??-??I??										
11240	denacifikovat	9	74	nasc- nat-		nacizmus#NNI??-----A---?		3	kupuje						de	nacifikovati	N		de nacifik ova t	denacifik ova t	tavokificaned	1	nacifik  ova t	nacifik	nacifik	nac	if	ik						ova		nacifikovat#V????--??-??I??										
11086	denaturovat	9	74	nasc- nat-				3	kupuje						de	naturovati	Y	de natur ova t	denatur ova t	denatur ova t	tavorutaned	1	nat ur ova t	nat ur	nat ur	nat	ur							ova		None										
11091	denominovat	9	74	nomen- nomin-				3	kupuje						de	nominovati	N		de nomin ova t	denomin ova t	tavonimoned	1	nomin  ova t	nomin	nomin	nomin								ova		nominovat#V????--??-??B??										
11097	dezintegrovat	9	74	tang- -ting- tact- tag-				3	kupuje					dez	in	tegrovati	N		dez integr ova t	dezintegr ova t	tavorgetnized	1	tegr  ova t	tegr	tegr	tegr								ova		integrovat#V????--??-??B??										
11177	dobarvit	9	74	barva		barva#NNF??-----A---?	do(barv)it	4	prosí				do			barviti	N		do barv i t	do barv it	tivrabod	0	barv i t	barv	barv	barv								i		barvit#V????--??-??I??										
11133	docelit	9	74	celý		celý#AA???----??---?		4	prosí				do			celiti	N		docel i t	docel it	tilecod	0	cel  i t	cel	cel	cel								i		None										
11276	dočistit	9	74	čistý			do(čist)it	4	prosí				do			čistiti	N		do čis t i t	do čist it	titsičod	0	čist  i t	čist	čist	čist								i		čistit#V????--??-??I??										
11121	dojezdit	9	74	jet		jet#V???---??-??I??		4	prosí				do			jezditi	N		do je z d i t	do jezd it	tidzejod	0	jezd  i t	jezd	jezd	jezd								i		jezdit#V????--??-??I??										
11096	dokoukat	9	74	koukat		koukat#V????--??-??I??		5	dělá				do			koukati	N		do kouk a t	do kouk a t	takuokod	0	kouk  a t	kouk	kouk	kouk								a		koukat#V????--??-??I??										
11248	domazat	9	74	mazat		mazat#V????--??-??I??		1#5	maže#kopá				do			mazati	N		do maz a t	do maz a t	tazamod	0	maz  a t	maz	maz	maz								a		mazat#V????--??-??I??										
11128	domlít	9	74	mlít		mlít#V????--??-??I??	do(ml)ít	1	nese				do			mlíti	Y	do ml í t	do mlí t	dom lít	tílmod	0	ml í t	ml	ml	ml								í		mlít#V????--??-??I??										
11329	doplivnout	9	74	plivnout		plivnout#V????--??-??P??		2	mine				do			plivnouti	N		do pliv no u t	do pliv nou t	tuonvilpod	0	pliv nou t	pliv	pliv	pliv								nou		plivnout#V????--??-??P??										
11194	doprat	9	74	prát		prát#V????--??-??I??	do(pr)at	1	bere				do			prati	Y	do pr a t	dopra t	do pr a t	tarpod	0	pr a t	pr	pr	pr								a		prát#V????--??-??I??										
11082	doslovovat	9	74	slou		slout#V????--??-??I??	dos(lov)ovat						do			slovovat	N				tavovolsod		slov  ova t	slov	slov	slov								ova		doslovit#V????--??-??P??										
11076	dosoušet	9	74	suchý		suchý#AA???----??---?	do(souš)et	4	sází				do			soušeti	N		do sou š e t	dosouše t	tešuosod	0	souš  e t	souš	souš	souš								e		dosušit#V????--??-??P??										
11225	dotisknout	9	74	tiskat		tiskat#V????--??-??I??		2	mine				do			tisknouti	Y	do tisk nou t	do tisk n o u t	do tisk nou t	tuonksitod	0	tisk nou t	tisk	tisk	tisk								nou		tisknout#V????--??-??I??										
11349	dotrmácet	9	74	trmácet		trmácet#V????--??-??I??		4	sází				do			trmáceti	N		do trmáce t	do trmác e t	tecámrtod	0	trmác  e t	trmác	trmác	trmác								e		trmácet#V????--??-??I??										
11130	doveslovat	9	74	vést		vést#V????--??-??I??	do(vesl)ovat	3	kupuje				do			veslovati	N		do vesl ova t	dovesl ova t	tavolsevod	0	vesl  ova t	vesl	vesl	vesl								ova		veslovat#V????--??-??I??										
11149	drsnět	9	74	drsný		drsný#AA???----??---?	(drsn)ět									drsnět	Y	drs n ě t					drs n ě t	drs n	drs n	drs	n							ě		drsný#AA???----??---?										
11078	excitovat	9	74	cit-				3	kupuje						ex	citovat	N		excit ova t	exci t ova t	tavoticxe	1	cit  ova t	xcit	xcit	cit								ova		None										
11178	fízlovat	9	74	fízl		fízl#NNM??-----A---?		3	kupuje							fízlovati	N		fízl ova t	fízl ova t	tavolzíf	1	fízl  ova t	fízl	fízl	fízl								ova		fízl#NNM??-----A---?										
11358	flikovat	9	74	flik		flik#NNI??-----A---?		3	kupuje							flikovati	N		flik ova t	flik ova t	tavokilf	1	flik  ova t	flik	flik	flik								ova		flik#NNI??-----A---?										
11132	fučet	9	74	foukat		foukat#V????--??-??I??		4	trpí							fučeti	Y	fuč e t	fuče t	fuče t	tečuf	1	fuč e t	fuč	fuč	fuč								e		None										
11341	gruntovat	9	74	grunt		grunt#NNI??-----A---?		3	kupuje							gruntovati	Y	grunt ova t	grunt ova t	grunt ova t	tavotnurg	1	grunt ova t	grunt	grunt	grunt								ova		grunt#NNI??-----A---?										
11170	harcovat	9	74	harcovat		harcovat#V????--??-??I??		3	kupuje							harcovati	Y	harc ova t	harc ov a t	harc ova t	tavocrah	0	harc ova t	harc	harc	harc								ova		None										
11255	hibernovat	9	74	hibern-				3	kupuje							hibernovati	N		hibern ova t	hibern ova t	tavonrebih	1	hibern  ova t	hibern	hibern	hibern								ova		None										
11067	hmitnout	9	74	hmitat		hmitat#V????--??-??I??										hmitnout	N				tuontimh		hmit  nou t	hmit	hmit	hmit								nou		hmitat#V????--??-??I??										
11109	indoktrinovat	9	74	doc- doct-				3	kupuje						in	doktrinovati	N		indoktrin ova t	indoktrin ova t	tavonirtkodni	1	doktrin  ova t	doktrin	doktrin	doktr	in							ova		doktrina#NNF??-----A---?										
11125	inkorporovat	9	74	corpor-				3	kupuje						in	korporovati	Y	in korpor ova t	inkorpor ova t	inkorpor ova t	tavoroprokni	1	korpor ova t	korpor	korpor	korpor								ova		None										
11292	inseminovat	9	74	semin-				3	kupuje						in	seminovati	N		insemin ova t	insemin ova t	tavonimesni	1	semin  ova t	semin	semin	semin								ova		None										
11224	kadit	9	74	kadit		kadit#V????--??-??I??		4	prosí							kaditi	Y	kad i t	kadi t	kad it	tidak	0	kad i t	kad	kad	kad								i		None										
11336	klohnit	9	74	klohnit		klohnit#V????--??-??I??		4	prosí							klohniti	Y	klohn i t	klohni t	klohnit	tinholk	0	klohn i t	klohn	klohn	klohn								i		None										
11161	koncelebrovat	9	74	celebrovat		celebrovat#V????--??-??I??		3	kupuje						kon	celebrovati	N		kon celebr ova t	kon celebr ova t	tavorbelecnok	1	celebr  ova t	celebr	celebr	celebr								ova		celebrovat#V????--??-??I??										
11288	křesnout	9	74	křísnout		křísnout#V????--??-??P??		2	mine							křesnouti	Y	křes nou t	křes no u t	křes nou t	tuonseřk	0	křes nou t	křes	křes	křes								nou		křesat#V????--??-??I??										
11233	kulatit	9	74	koule		koule#NNF??-----A---?	(kul)atit	4	prosí							kulatiti	N		kula t i t	kula t it	titaluk	0	kul at  i t	kul at	kul at	kul	at							i		kulatý#AA???----??---?										
11317	kuňkat	9	74	kuňkat		kuňkat#V????--??-??I??		5	dělá							kuňkati	Y	kuňk a t	kuňka t	kuňk a t	takňuk	0	kuňk a t	kuňk	kuňk	kuňk								a		None										
11250	kvedlat	9	74	kvedlat		kvedlat#V????--??-??I??		5	dělá							kvedlati	Y	kvedl a t	kvedla t	kvedl a t	taldevk	0	kvedl a t	kvedl	kvedl	kvedl								a		None										
11357	letovat	9	74	letovat		letovat#V????--??-??I??		3	kupuje							letovati	Y	let ova t	let ova t	let ova t	tavotel	0	let ova t	let	let	let								ova		None										
11188	lovívat	9	74	lovit		lovit#V????--??-??I??	(lov)ívat	5	dělá							lovívati	N		lov í va t	lov ívat	tavívol	0	lov ív a t	lov ív	lov	lov				í	v			a		lovit#V????--??-??I??										
11088	macerovat	9	74	macer-		macerovat#V????--??-??I??		3	kupuje							macerovati	Y	macer ova t	macer ova t	macer ova t	tavorecam	0	macer ova t	macer	macer	macer								ova		None										
11316	magořit	9	74	magor		magor#NNM??-----A---?		4	prosí							magořiti	N		magoři t	magoři t	tiřogam	1	magoř  i t	magoř	magoř	mag	oř							i		magor#NNM??-----A---?										
11113	malomyslnět	9	74	malý	myslit	malomyslný#AA???----??---?		4	trpí							malomyslněti	Y	mal o mysl n ě t	malomysln ě t	malomyslně t	těnlsymolam	0	mal o mysl n ě t	mal o mysl n	mal o mysl n	mal o mysl	n							ě		malomyslný#AA???----??---?		mal	o					mysl		
11073	muškařit	9	74	moucha		moucha#NNF??-----A----		4	prosí							muškařiti	N		muškař i t	muškař it	tiřakšum	0	muš k ař  i t	muš k ař	muš k ař	muš	k	ař						i		muškař#NNM??-----A---?										
11175	nabiflovat	9	74	biflovat		biflovat#V????--??-??I??		3	kupuje				na			biflovati	N		na bifl ova t	nabifl ova t	tavolfiban	1	bifl  ova t	bifl	bifl	bifl								ova		biflovat#V????--??-??I??										
11154	nacákat	9	74	cákat		cákat#V????--??-??I??		5	dělá				na			cákati	Y	na cák a t	na cák a t	na cák a t	takácan	0	cák a t	cák	cák	cák								a		cákat#V????--??-??I??										
11238	naklepnout	9	74	klepat		klepat#V????--??-??I??		2	mine				na			klepnouti	N		na klep no u t	na klep nou t	tuonpelkan	0	klep  nou t	klep	klep	klep								nou		klepnout#V????--??-??P??										
11107	namodelovat	9	74	mod-		model#NNI??-----A---?		3	kupuje				na			modelovati	N		na model ova t	na model ova t	tavoledoman	0	model  ova t	model	model	mod	el							ova		modelovat#V????--??-??I??										
11090	naposlouchat	9	74	slyšet		slyšet#V????--??-??I??	napo(slouch)at	5	dělá			na	po			slouchati	Y	na po slouch a t	na poslouc h a t	na posloucha t	tahcuolsopan	0	slouch a t	slouch	slouch	slouch								a		poslouchat#V????--??-??I??										
11323	napuchnout	9	74	puchnout		puchnout#V????--??-??I??		2	mine				na			puchnouti	Y	na puch nou t	napuch no u t	na puch nou t	tuonhcupan	0	puch nou t	puch	puch	puch								nou		None										
11100	nařezávat	9	74	řezat		řezat#V????--??-??I??		5	dělá				na			řezávati	Y	na řez á v a t	na řez á va t	na řezáva t	tavázeřan	0	řez á v a t	řez á v	řez	řez				á	v			a		nařezat#V????--??-??P??										
11302	nastlat	9	74	stlát		stlát#V????--??-??I??	na(stl)at	1	bere				na			stlati	Y	na stl a t	nastla t	na stl a t	taltsan	0	stl a t	stl	stl	stl								a		stlát#V????--??-??I??										
11195	nastudit	9	74	studený		studený#AA???----??---?		4	prosí				na			studiti	Y	na stud i t	na stud i t	na stud it	tidutsan	0	stud i t	stud	stud	stud								i		studit#V????--??-??I??										
11296	naťukávat	9	74	ťukat		ťukat#V????--??-??I??		5	dělá				na			ťukávati	N		na ťuk á va t	na ťuk áva t	tavákuťan	0	ťuk á v a t	ťuk á v	ťuk	ťuk				á	v			a		naťukat#V????--??-??P??										
11264	natužit	9	74	tuhý		tuhý#A????----??---?	na(tuž)it	4	prosí				na			tužiti	N		na tuž i t	na tuž it	tižutan	0	tuž  i t	tuž	tuž	tuž								i		tužit#V????--??-??I??										
11089	navrtávat	9	74	vrtat		vrtat#V????--??-??I??		5	dělá				na			vrtávati	N		na vrt á va t	na vrt áva t	tavátrvan	0	vrt áv a t	vrtáv	vrt	vrt				á	v			a		navrtat#V????--??-??P??										
11153	norovat	9	74	nora		nora#NNF??-----A---?		3	kupuje							norovati	N		nor ova t	nor ova t	tavoron	0	nor  ova t	nor	nor	nor								ova		nora#NNF??-----A---?										
11261	nuzovat	9	74	nouze		nouze#NNF??-----A---?	(nuz)ovat									nuzovat	Y	nuz ova t					nuz ova t	nuz	nuz	nuz								ova		nouze#NNF??-----A---?										
11167	obeznamovat	9	74	znát		znát#V???---??-??I??	obe(zn)amovat	3	kupuje				obe			znamovati	Y	obe znam ova t	obeznam ova t	obe znam ova t	tavomanzebo	0	znam ova t	znam	znam	znam								ova		obeznámit#V????--??-??P??										
11258	obílit	9	74	bílý		bílý#AA???----??---?	o(bíl)it	4	prosí				o			bíliti	Y	o bíl i t	o bíl i t	o bíl it	tilíbo	0	bíl i t	bíl	bíl	bíl								i		bílit#V????--??-??I??										
11299	oblibovat	9	74	libý		libý#AA???----??---?	ob(lib)ovat	3	kupuje				ob			libovati	Y	ob lib ova t	ob lib ova t	oblib ova t	tavobilbo	0	lib ova t	lib	lib	lib								ova	1	oblíbit#V????--??-??P??										
11309	očuchat	9	74	čich		čich#NNI??-----A---?	o(čuch)at	5	dělá				o			čuchati	Y	o čuch a t	o čuch a t	o čuch a t	tahcučo	0	čuch a t	čuch	čuch	čuch								a		čuchat#V????--??-??I??										
11289	odčarovat	9	74	čarovat		čarovat#V????--??-??I??	od(čar)ovat	3	kupuje				od			čarovati	Y	od čar ova t	od čar ova t	od čar ova t	tavoračdo	0	čar ova t	čar	čar	čar								ova		čarovat#V????--??-??I??										
11123	odcvičit	9	74	cvičit		cvičit#V????--??-??I??		4	prosí				od			cvičiti	N		od cvič i t	od cvič it	tičivcdo	0	cvič  i t	cvič	cvič	cvič								i		cvičit#V????--??-??I??										
11155	oddělávat	9	74	dělat		dělat#V????--??-??I??		5	dělá				od			dělávati	Y	od děl á v a t	od děl á va t	od děláva t	taválěddo	0	děl á v a t	děl á v	děl	děl				á	v			a		oddělat#V????--??-??P??										
11162	oddrolit	9	74	drolit		drolit#V????--??-??I??		4	prosí				od			droliti	Y	od drol i t	od drol i t	od drol it	tilorddo	0	drol i t	drol	drol	drol								i		drolit#V????--??-??I??										
11356	odfajfkovat	9	74	fajfka		fajfka#NNF??-----A---?		3	kupuje				od			fajfkovati	N		od fajfk ova t	odfajfk ova t	tavokfjafdo	1	fajf k  ova t	fajf k	fajf k	fajf	k							ova		fajfkovat#V????--??-??I??										
11234	odideologizovat	9	74	idea	log- -logy			3	kupuje				od			ideologizovati	N		od ideologiz ova t	od ideolog iz ova t	tavozigoloedido	1	ideo log iz  ova t	ideo log iz	ideo log iz	ideo log	iz							ova		ideologizovat#V????--??-??I??									ideo	log
11219	odkolébat	9	74	kolébat		kolébat#V????--??-??I??		5	dělá				od			kolébati	Y	od koléb a t	od koléb a t	od koléb a t	tabélokdo	0	koléb a t	koléb	koléb	koléb								a		kolébat#V????--??-??I??										
11275	odkroužit	9	74	kruh		kruh#NNI??-----A---?	od(krouž)it	4	prosí				od			kroužiti	N		od kr ou ž i t	od kroužit	tižuorkdo	0	krouž  i t	krouž	krouž	krouž								i		kroužit#V????--??-??I??										
11343	odmocňovat	9	74	moci		moci#V???---??-??I??		3	kupuje				od			mocňovati	Y	od moc ň ova t	od mocň ova t	od moc ň ova t	tavoňcomdo	0	moc ň ova t	moc ň	moc ň	moc	ň							ova		odmocnit#V????--??-??P??										
