
"+sto_" (309)
dvacetipětiletý	stodvacetipětiletý
dvacetikilový	stodvacetikilový
dvacetipokojový	stodvacetipokojový
tisícikoruna	stotisícikoruna
jedenáctiminutový	stojedenáctiminutový
dvacetilůžkový	stodvacetilůžkový
jednatřicetiletý	stojednatřicetiletý
čtyřiadvacetiminutový	stočtyřiadvacetiminutový
pětapadesátiletý	stopětapadesátiletý
čtyřicetisekundový	stočtyřicetisekundový
devadesátimiliónový	stodevadesátimilionový
osmdesátiletý	stoosmdesátiletý
miliarda	stomiliarda
čtyřicetiminutový	stočtyřicetiminutový
pětašedesátihektarový	stopětašedesátihektarový
dvacetjednička	stodvacetjednička
čtyřicetistránkový	stočtyřicetistránkový
osmdesátičlenný	stoosmdesátičlenný
osmdesátikoňový	stoosmdesátikoňový
devatenáctihlavý	stodevatenáctihlavý
dvacetičlenný	stodvacetičlenný
patnáctikilogramový	stopatnáctikilogramový
osminásobný	stoosminásobný
čtyřicetilitrový	stočtyřicetilitrový
pětapadesátikilový	stopětapadesátikilový
třípalcový	stotřípalcový
osmdesátitisícový	stoosmdesátitisícový
čtrnáctiletý	stočtrnáctiletý
čtyřiadvacítka	stočtyřiadvacítka
osmdesátimiliónový	stoosmdesátimilionový
devadesátimilionový	stodevadesátimiliónový
dvanáctitunový	stodvanáctitunový
čtyřicetimiliónový	stočtyřicetimiliónový
osmdesátka	stoosmdesátka
dvacetiletý	stodvacetiletý
osmdesátikilový	stoosmdesátikilový
čtyřiceticentimetrový	stočtyřiceticentimetrový
čtrnáctičlenný	stočtrnáctičlenný
pětadvacetiprocentní	stopětadvacetiprocentní
čtyřicetiletý	stočtyřicetiletý
osmdesátimilionový	stoosmdesátimiliónový
desetina	stodesetina
čtrnáctka	stočtrnáctka
osmičlenný	stoosmičlenný
čtyřicetinásobek	stočtyřicetinásobek
padesátikilometrový	stopadesátikilometrový
pětaosmdesáticentimetrový	stopětaosmdesáticentimetrový
desetikilový	stodesetikilový
desetikoňový	stodesetikoňový
tisícidolarový	stotisícidolarový
pětadvacetihektarový	stopětadvacetihektarový
dvacítka	stodvacítka
čtyřicetičlenný	stočtyřicetičlenný
pětatřicetiminutový	stopětatřicetiminutový
osmnáctičlenný	stoosmnáctičlenný
pětikilometrový	stopětikilometrový
tříletý	stotříletý
jedenáctihlasý	stojedenáctihlasý
čtyřicetimilionový	stočtyřicetimilionový
jedenáctikusový	stojedenáctikusový
čtyřicetihodinový	stočtyřicetihodinový
devadesátikilový	stodevadesátikilový
šestnáctimiliónový	stošestnáctimilionový
čtyřicetihektarový	stočtyřicetihektarový
čtyřdílný	stočtyřdílný
devadesátiletý	stodevadesátiletý
minutovka	stominutovka
devadesátka	stodevadesátka
pětapadesátitisícový	stopětapadesátitisícový
milionový	stomilionový
devatenáctiletý	stodevatenáctiletý
šestimiliónový	stošestimilionový
čtyřicetimetrový	stočtyřicetimetrový
patnácticentimetrový	stopatnácticentimetrový
jedenáctihlavý	stojedenáctihlavý
pětatřicetitisícový	stopětatřicetitisícový

"_+ovitý" (214)
refrén	refrénovitý
sapodilovník	sapodilovníkovitý
balón	balónovitý
