\	mísit–V	směs–N						
\	děsit–V	děs–N						
\	vyděsit–V	děs–N						
\	viset–V	závěs–N						
	zavěsit–V	závěs–N						
\	viset–V	souvislý–A						
\	související–A	souvislý–A						
	souviset–V	souvislý–A						
\	viset–V	závislý–A						
	záviset–V	závislý–A						
\	souvislost–N	závislý–A						
\	úřadovna–N	úřední–A						
\	úřadovat–V	úřední–A						
	úřad–N	úřední–A						
\	úředník–N	úřední–A						
\	úřednický–A	úřední–A						
\	úřednice–N	úřední–A						
\	prostředek–N	prostřední–A						
\	střed–N	prostřední–A						
\	předem–D	přední–A						
\	kupředu–D	přední–A						
\	vepředu–D	přední–A						
\	vpřed–D	přední–A						
\	vpředu–D	přední–A						
\	důvěřovat–V	důvěra–N						
\	víra–N	důvěra–N						
	věřit–V	důvěra–N						
\	důvěřovat–V	nedůvěra–N						
\	věřit–V	nedůvěra–N						
	Andorra–N	Andořan–N						
\	andorrský–A	Andořan–N						
	Kypr–N	Kypřan–N						
	Kypr–N	Kypřan–N						
	Alžír–N	Alžířan–N						
\	Alžírsko–N	Alžířan–N						
\	Alžírsko–N	Alžířan–N						
	Alžír–N	Alžířan–N						
\	syrský–A	Syřan–N						
	Sýrie–N	Syřan–N						
	Sýrie–N	Syřan–N						
\	zpochybnění–N	zpochybnit–V						
\	chyba–N	zpochybnit–V						
	pochybovat–V	zpochybnit–V						
	osobní–A	zosobnit–V						
\	osoba–N	zosobnit–V						
\	osobnost–N	zosobnit–V						
\	památka–N	pamatovat–V						
	paměť–N	pamatovat–V						
\	vatový–A	vatovat–V						
	vata–N	vatovat–V						
\	kurevsky–D	kurva–N						
\	kurevník–N	kurva–N						
\	barevný–A	barva–N						
\	bezbarvý–A	barva–N						
\	víno–N	vinný–A						
\	obvinění–N	vinný–A						
\	účinek–N	účinný–A						
\	účinkovat–V	účinný–A						
	učinit–V	účinný–A						
\	pohoštění–N	pohostinný–A						
	pohostit–V	pohostinný–A						
\	host–N	pohostinný–A						
	síla–N	sílit–V						
\	silák–N	sílit–V						
	cíl–N	cílit–V						
\	cílový–A	cílit–V						
\	vzkazovat–V	vzkaz–N						
	vzkázat–V	vzkaz–N						
\	kázat–V	vzkaz–N						
	rozkázat–V	rozkaz–N						
\	rozkazovat–V	rozkaz–N						
\	kázat–V	rozkaz–N						
\	důlní–A	dolovat–V						
	důl–N	dolovat–V						
\	kontrolka–N	kontrolovat–V						
\	kontrolorka–N	kontrolovat–V						
	kontrola–N	kontrolovat–V						
\	kontrolor–N	kontrolovat–V						
\	kontrolní–A	kontrolovat–V						
\	skladba–N	sklad–N						
	skládat–V	sklad–N						
\	klást–V	sklad–N						
\	klást–V	výklad–N						
	vykládat–V	výklad–N						
	ukládat–V	úklad–N						
\	uložit–V	úklad–N						
	přikládat–V	příklad–N						
\	klást–V	příklad–N						
\	překladatel–N	překlad–N						
\	přeložit–V	překlad–N						
	překládat–V	překlad–N						
\	klást–V	překlad–N						
\	klást–V	vklad–N						
	vkládat–V	vklad–N						
\	blbec–N	blb–N						
\	blbeček–N	blb–N						
\	blbý–A	blb–N						
\	blbost–N	blb–N						
	zahýbat–V	záhyb–N						
\	hnout–V	záhyb–N						
\	pohřbívat–V	pohřeb–N						
\	hřbitovní–A	pohřeb–N						
	pohřbít–V	pohřeb–N						
	slíbit–V	slib–N						
\	slibovat–V	slib–N						
\	diplomatický–A	diplomat–N						
\	diplomacie–N	diplomat–N						
\	výzkum–N	zkoumat–V						
\	zkumavka–N	zkoumat–V						
	koumat–V	zkoumat–V						
\	dýmka–N	dýmat–V						
	dým–N	dýmat–V						
	hřmít–V	hřímat–V						
\	hřmění–N	hřímat–V						
\	hřmět–V	hřímat–V						
\	zevšeobecnění–N	obec–N						
\	zobecnit–V	obec–N						
\	obcovat–V	obec–N						
\	obecenstvo–N	obec–N						
\	zobecnění–N	obec–N						
\	hříbě–N	hřebec–N						
\	hřeben–N	hřebec–N						
\	kobyla–N	hřebec–N						
\	hračka–N	hra–N						
\	herec–N	hra–N						
\	hřiště–N	hra–N						
\	hravě–D	hra–N						
\	olympiáda–N	hra–N						
	hrát–V	hra–N						
\	prohra–N	hra–N						
\	herečka–N	hra–N						
\	prohrávat–V	prohra–N						
	prohrát–V	prohra–N						
\	hrát–V	prohra–N						
\	hra–N	prohra–N						
\	hra–N	souhra–N						
\	hrát–V	souhra–N						
	sehrát–V	souhra–N						
	vyhrát–V	výhra–N						
\	vyhrávat–V	výhra–N						
\	hrát–V	výhra–N						
\	hra–N	výhra–N						
	sklo–N	sklenice–N						
\	skleněný–A	sklenice–N						
\	skelný–A	sklenice–N						
\	bratranec–N	sestřenice–N						
	sestra–N	sestřenice–N						
	okno–N	okenice–N						
\	okénko–N	okenice–N						
	Keňa–N	Keňan–N						
	Keňa–N	Keňan–N						
	Plzeň–N	Plzeňan–N						
	Plzeň–N	Plzeňan–N						
	konat–V	zákon–N						
\	zákonodárkyně–N	zákon–N						
\	konat–V	skon–N						
	skonat–V	skon–N						
\	vykonávat–V	výkon–N						
	vykonat–V	výkon–N						
\	konat–V	výkon–N						
\	máma–N	otec–N						
\	matka–N	otec–N						
\	štět–N	štětec–N						
	štětina–N	štětec–N						
\	právnický–A	právní–A						
	právo–N	právní–A						
\	občan–N	občanskoprávní–AC						
\	právní–A	občanskoprávní–AC						
\	právní–A	trestněprávní–AC						
\	trest–N	trestněprávní–AC						
	cítit–V	cit–N						
\	citlivost–N	cit–N						
\	cítit–V	soucit–N						
\	cit–N	soucit–N						
	soucítit–V	soucit–N						
\	cítit–V	pocit–N						
\	cit–N	pocit–N						
	pocítit–V	pocit–N						
\	pociťující–A	pocit–N						
\	poznat–V	znát–V						
\	poznání–N	znát–V						
\	známý–N	znát–V						
\	ohon–N	hnát–N						
\	rozhánět–V	hnát–N						
\	rozehnat–V	hnát–N						
\	honit–V	hnát–N						
\	uhnat–V	hnát–N						
\	uhánět–V	hnát–N						
\	žnout–V	hnát–N						
\	kaganát–N	chanát–N						
	chán–N	chanát–N						
	dík–N	vděk–N						
\	děkovat–V	vděk–N						
	vděk–N	nevděk–N						
\	nevděčný–A	nevděk–N						
	Nusle–N	nuselský–A						
	Nusle–N	nuselský–A						
	Semily–N	semilský–A						
	Semily–N	semilský–A						
	chuť–N	chutnat–V						
\	chutný–A	chutnat–V						
\	spoluzaměstnankyně–N	zaměstnat–V						
\	místo–N	zaměstnat–V						
\	nezaměstnaný–N	zaměstnat–V						
\	křivolaký–AC	křivý–A						
\	křivdit–V	křivý–A						
\	křivda–N	křivý–A						
	důvěřovat–V	důvěřivý–A						
\	důvěra–N	důvěřivý–A						
\	kůň–N	konina–N						
	koňský–A	konina–N						
\	konírna–N	konina–N						
\	sekat–V	sekanina–N						
	sekaný–A	sekanina–N						
\	sekaná–N	sekanina–N						
\	lupič–N	lup–N						
	loupit–V	lup–N						
\	loupež–N	lup–N						
\	chlupatý–A	chlup–N						
\	chloupek–N	chlup–N						
\	černý–A	načerno–D						
	černo–N	načerno–D						
\	stornopoplatek–NC	storno–N						
\	stornovat–V	storno–N						
\	koncertní–A	koncertantní–A						
	koncert–N	koncertantní–A						
\	riziko–N	riskantní–A						
\	riskovat–V	riskantní–A						
	vyvézt–V	vývoz–N						
\	vézt–V	vývoz–N						
\	odvážet–V	odvoz–N						
\	vozit–V	odvoz–N						
\	vézt–V	odvoz–N						
	odvézt–V	odvoz–N						
\	bulka–N	bulač–N						
\	bulačství–N	bulač–N						
\	zářit–V	ozařovač–N						
\	ozařovací–A	ozařovač–N						
	ozařovat–V	ozařovač–N						
	Sparta–N	Sparťan–N						
	Sparta–N	Sparťan–N						
	Mars–N	Marťan–N						
	Mars–N	Marťan–N						
\	fakturovat–V	faktura–N						
\	fakt–N	faktura–N						
\	korektor–N	korektura–N						
\	korigovat–V	korektura–N						
\	korektní–A	korektura–N						
\	červen–N	červ–N						
\	červotoč–NC	červ–N						
\	červenec–N	červ–N						
\	červivý–A	červ–N						
\	detekovat–V	detektiv–N						
\	detegovat–V	detektiv–N						
	ruka–N	rukáv–N						
\	rukavice–N	rukáv–N						
\	varný–A	var–N						
\	vařit–V	var–N						
\	vařící–A	var–N						
\	svářeč–N	svar–N						
\	vařit–V	svar–N						
	svařit–V	svar–N						
\	grafika–N	graf–N						
\	grafik–N	graf–N						
\	šéfredaktor–NC	šéf–N						
\	exšéf–NC	šéf–N						
\	šéfovat–V	šéf–N						
\	filozofický–A	filozof–N						
	filozofie–NC	filozof–N						
\	filda–N	filozof–N						
\	spravit–V	správa–N						
\	správce–N	správa–N						
\	správkyně–N	správa–N						
\	správcová–N	správa–N						
\	pravit–V	zpráva–N						
\	zpravodaj–N	zpráva–N						
\	zpravodajství–N	zpráva–N						
	zpravit–V	zpráva–N						
	vybuchnout–V	výbuch–N						
\	výbušný–A	výbuch–N						
\	sluchátko–N	sluch–N						
\	slout–V	sluch–N						
	slyšet–V	sluch–N						
\	věžný–N	věž–N						
\	pověžný–N	věž–N						
\	hospodářský–A	soutěž–N						
\	soutěžit–V	soutěž–N						
\	těžit–V	soutěž–N						
\	poděkovat–V	dík–N						
\	vděk–N	dík–N						
\	děkovat–V	dík–N						
\	jód–N	jodovodík–N						
\	jod–N	jodovodík–N						
\	vodík–N	jodovodík–N						
\	služba–N	sloužit–V						
\	služebník–N	sloužit–V						
\	sluha–N	sloužit–V						
\	zužovat–V	soužit–V						
\	sužovat–V	soužit–V						
\	kroužek–N	kroužit–V						
	kruh–N	kroužit–V						
	skočit–V	poskok–N						
\	skok–N	poskok–N						
\	skokan–N	poskok–N						
	doskočit–V	doskok–N						
\	skok–N	doskok–N						
\	odejít–V	odchozí–A						
	odcházet–V	odchozí–A						
\	pochozí–A	předchozí–A						
\	chodit–V	předchozí–A						
\	angličtina–N	anglikanizmus–N						
\	anglicky–D	anglikanizmus–N						
\	komunista–N	komunizmus–N						
\	komunismus–N	komunizmus–N						
\	komunistka–N	komunizmus–N						
\	komunistický–A	komunizmus–N						
\	dneska–D	dnes–D						
	den–N	dnes–D						
\	dnešní–A	dodnes–D						
\	dneska–D	dodnes–D						
	dnes–D	dodnes–D						
\	baronka–N	baronesa–N						
	baron–N	baronesa–N						
\	adresovat–V	adresa–N						
\	adresátka–N	adresa–N						
\	adresát–N	adresa–N						
\	adresovatelný–A	adresa–N						
\	nadhmat–N	hmat–N						
\	hmatat–V	hmat–N						
\	šach–N	šachmat–N						
\	mat–N	šachmat–N						
\	ledoborec–NC	led–N						
\	náledí–N	led–N						
\	posléze–D	naposled–D						
\	sled–N	naposled–D						
\	poslední–A	naposled–D						
\	nalezený–A	nálezce–N						
	nalézt–V	nálezce–N						
\	nalézat–V	nálezce–N						
\	nález–N	nálezce–N						
\	lézt–V	vynálezce–N						
\	vynález–N	vynálezce–N						
\	vynalézat–V	vynálezce–N						
	vynalézt–V	vynálezce–N						
	aktivní–A	aktivum–N						
\	akt–N	aktivum–N						
	abortus–N	abortivum–N						
\	abortivní–A	abortivum–N						
\	abort–N	abortivum–N						
\	spěch–N	spěchat–V						
\	pěšky–D	spěchat–V						
\	dechový–A	dýchat–V						
