\	slabičný–A	dvouslabičný–AC	slabika					
\	dýchání–N	dýchánek–N	dýchat	dýchat				
\	erotika–N	erotično–N		erotický				
\	figura–N	figuralista–N		figurální				
\	filosofický–A	filosofovat–V	filosofie					
\	software–N	firmware–N						
\	vous–N	fousatý–A		fousy				
\	hlinka–N	Hlinsko–N	hlína					
\	hlinka–N	Hliník–N	hlína	hliník				
\	hoblík–N	hoblovat–V	hobl	hobl				
\	hon–N	honební–A	honit	honba				
\	houba–N	houbařství–N		houbař				
\	hřmět–V	hromovat–V		hrom				
\	hřbet–N	hřeben–N						
\	hříbě–N	hřebčín–N	hřebec	hřebec				
\	hnis–N	chrchel–N		chrchlat				
\	chytrý–A	chytračit–V		chytrák				
\	jednotný–A	jednotlivý–A	jednota	jednotit				
\	kachna–N	kačer–N		káča				
\	kapitál–N	kapitulovat–V						
\	kližka–N	klihovitý–A		klih				
\	kmitat–V	kmitoměr–N						
	konkurenční–A	bezkonkurenční–A	konkurence					
\	metropole–N	konstantinopolský–A		Konstantinopole				
\	kuřák–N	kuřárna–N	kouřit	kouřit				
\	Kovařík–N	Kovářík–N	kovařík	kovář				
	koza–N	kůzle–N						
	koza–N	kozle–N						
\	zakrátko–D	zkrátka–D	krátko	krátko				
\	krájet–V	skrojit–V		krojit				
\	křesťan–N	pokřesťanštit–V		křesťanský				
	kožní–A	podkožní–A	kůže					
\	léto–N	letovisko–N		létat				
\	Libor–N	Líba–N		Libuše				
\	lid–N	zlidštět–V		lidský				
\	louže–N	louh–N						
\	makat–V	nemakačenko–N		makačenko				
\	malý–A	malíček–N		malík				
\	matka–N	mamina–N		máma				
\	Marius–N	Mára–N		Marek				
\	mediální–A	medijní–A	medium					
\	movitost–N	jmění–N	movitý	mít				
\	mléko–N	mlíčňák–N		mlíčný				
\	mnohý–A	namnoze–D		mnoho				
\	mnoho–D	mnohde–D						
\	moravský–A	moravista–N	Morava	Morava				
\	mráz–N	Mrazík–N		mrazík				
\	mrzet–V	mrzout–N		mrzutý				
\	mohamedánský–A	Mohamed–N	mohemedán	Muhammad				
\	bodat–V	nabodat–V		nabodnout				
\	znacionalizovat–V	nacionalizace–N	nacionalizovat					
\	nahota–N	naze–D	nahý	nahý				
\	nalít–V	nálev–N	lít	nalévat				
\	tlak–N	nátlak–N		natlačit				
\	vít–V	navíjet–V		navít				
\	neděle–N	Neděla–N		neděla				
\	dlouho–D	zanedlouho–D		nedlouho				
	hodit–V	nehoda–N						
\	chuť–N	znechutit–V						
\	nemoc–N	onemocnět–V	nemoci	nemocný–A				
\	neschopný–A	neschopenka–N	schopný	neschopnost				
\	výhoda–N	znevýhodnit–V		nevýhodný				
\	newyorský–AC	Newyorčan–N						
\	úmysl–N	obmysl–N		obmyslet				
\	obojakost–N	obojace–D	obojaký	obojaký				
\	obsahovat–V	obsažný–A		obsah				
	šoustat–V	obšoustník–N						
\	oko–N	očař–N		oční				
\	čurat–V	očurávat–V		očurat				
\	kopat–V	odkop–N		odkopnout				
\	lov–N	odlov–N		odlovit				
\	mluvit–V	odmlouvat–V		odmluvit				
\	tok–N	odtok–N		odtéct				
\	Odysseus–N	odysea–N		Odyssea				
\	mést–V	omítat–V						
\	mést–V	ometat–V		omést				
\	osada–N	osazenstvo–N	osadit	osazený				
\	ostrý–A	naostro–D		ostro				
	ostrý–A	ostříž–N						
\	otavský–A	Pootaví–N	Otava	Otava				
\	palice–N	paličkovat–V		palička				
\	punk–N	panker–N		pank				
