	chunks	related_compounds
176	-graf-	['gramofon', 'grafogram', 'etnografie', 'geografie', 'hygrograf', 'petrografie', 'piktograf', 'scintigrafie', 'barograf', 'komediograf', 'vektografie']
177	-neo-	['neobaroko', 'neomahdista', 'neopozitivizmus', 'neoveristický']
178	-gen-	['ektogenní', 'florigen', 'plazmagen']
179	-ware-	['freeware']
180	-pant-	['pantomima']
181	-gastr-	['gastronomie', 'gastroenteritida', 'gastrovaskulární']
182	-som-	['paleosom']
183	-kry-	['Kryocentrum', 'kryosféra']
184	-trop-	['psychotropní']
185	-flori-	['florigen']
186	-thi-	['thiosiřičitan', 'dimethylthiambuten']
187	-theo-	['theodolit']
188	-brady-	['bradykinéza']
189	-karp-	['karpologie']
190	-mini-	['miniauto', 'minidebata', 'minifigurka', 'miniflaštička', 'minihnutí', 'minihokej', 'minihospůdka', 'minikancelář', 'minikobylka', 'minikód', 'minikonflikt', 'minimistr', 'miniportrét', 'minisafari', 'ministáteček', 'miniškola', 'minitlumič', 'minitraktor', 'minitriatlon', 'minivrt', 'minivýstava']
191	-enanti-	['enantiometrie']
192	-oste-	['osteopatie']
193	-hepat-	['hepatomegalie']
194	-max-	['maxipes']
195	-nan-	['nanovlákenný']
196	-sympat-	['sympatomimetikum']
197	-doch-	['diadoch']
198	-kardi-	['myocard']
199	-therm-	['termostabilní', 'xerotermní']
200	-pali-	['palilogie']
201	-moto-	['motocykl']
202	-hyper-	['hyperkomplexní', 'hypertenze']
203	-gon-	['gonokok']
