# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
dochlórovávat	V
doinicialisovávat	V
dojodovávat	V
doklimatisovávat	V
dokonsumovávat	V
domnít	V
domobilisovávat	V
donormalisovávat	V
doobhlédnout	V
doprecisovávat	V
doresonovávat	V
doscannovávat	V
dosignalisovávat	V
doskannovávat	V
doskanovávat	V
doskennovávat	V
doskenovávat	V
dostabilisovávat	V
dostrukturalisovávat	V
dosynchronisovávat	V
dosystematisovávat	V
dosystemisovávat	V
Dósza	N
došlejfovávat	V
došpekovávat	V
došporovávat	V
došpórovávat	V
doumazat	V
Dou	N
dovalorisovávat	V
dovaselinovávat	V
dovitaminisovávat	V
dovolizovávat	V
dovotravovávat	V
dovulkanisovávat	V
Dowiyngo	N
dozalévat	V
doznět	V
drozdík	N
drsnit	V
ďůlek	N
Durendeau	N
dýňák	N
Džaga	N
egalisovávat	V
elektrisovávat	V
Eolos	N
Epiktétos	N
etatisovávat	V
Euclides	N
Eucratid	N
Eugertés	N
falsifikovávat	V
Ferétos	N
Fillipo	N
Flora	N
fóliovávat	V
Forkýnos	N
fotosázet	V
generalisovávat	V
Genéša	N
Gerlache	N
germanisovávat	V
Giň	N
Grammatikus	N
Gulie	N
gustírovávat	V
handikepovávat	V
Hélius	N
Herakleitos	N
Herodotos	N
Hetaša	N
Hipatios	N
hnětat	V
Horacius	N
hrobkovat	V
hrubovat	V
hřídlo	N
humanisovávat	V
charakterisovávat	V
chlórovávat	V
Chóanités	N
chrchlák	N
Chvádža	N
idealisovávat	V
improvisovávat	V
industrialisovávat	V
inicialisovávat	V
inserovávat	V
instituovávaný	A
instituovávatelný	A
insultovávat	V
inventarisovávat	V
Iocasté	N
ionisovávat	V
irisovávat	V
jáhelník	N
Jirča	N
jodovávat	V
Joice	N
Jorius	N
Joycee	N
Kákatíja	N
Kákos	N
kanonisovávat	V
Kantakuzanos	N
kapitalisovávat	V
karbonisovávat	V
kašlík	N
katalogisovávat	V
Katullus	N
Keraunos	N
kesonovat	V
klimatisovávat	V
kolonisovávat	V
Komnenos	N
kondensovávat	V
konkretisovávat	V
konservovávat	V
konsumovávat	V
konversovávat	V
korsovávat	V
Kosťo	N
Kristi	N
krystalisovávat	V
Kuatilja	N
Kulóttunga	N
Kyros	N
laicisovávat	V
Lalond	N
Laokoon	N
lapovat	V
legalisovávat	V
Logdge	N
lokalisovávat	V
Madháčarja	N
Maháprabhu	N
Majtréja	N
