@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
novy par: agraciace --> agraciační	 pravidlo: N-ce --> A-ční
novy par: agrárnický --> agrárnictví	 pravidlo: A-ký --> N-tví
novy par: agregátor --> agregátorský	 pravidlo: N- --> A-ský
novy par: agromechanizace --> agromechanizační	 pravidlo: N-ce --> A-ční
novy par: agrometeorologie --> agrometeorologický	 pravidlo: N-e --> A-cký
novy par: Aguilar --> Aguilarová	 pravidlo: N- --> N-ová
novy par: Aguilera --> Aguilerová	 pravidlo: N-a --> N-ová
novy par: Aguirre --> Aguirreová	 pravidlo: N- --> N-ová
novy par: ahasver --> ahasverský	 pravidlo: N- --> A-ský
novy par: Ahern --> Ahernová	 pravidlo: N- --> N-ová
novy par: Ahlefeld --> Ahlefeldová	 pravidlo: N- --> N-ová
novy par: Ahmadšáh --> Ahmadšáhův	 pravidlo: N- --> A-ův
novy par: Ahou --> Ahouův	 pravidlo: N- --> A-ův
novy par: Ahtila --> Ahtilová	 pravidlo: N-a --> N-ová
novy par: Ahtisaari --> Ahtisaariová	 pravidlo: N- --> N-ová
novy par: Achá --> Acháův	 pravidlo: N- --> A-ův
novy par: Achatzi --> Achatziová	 pravidlo: N- --> N-ová
novy par: Achmadulina --> Achmadulinová	 pravidlo: N-a --> N-ová
novy par: Aidid --> Aididová	 pravidlo: N- --> N-ová
novy par: Aicha --> Aichová	 pravidlo: N-a --> N-ová
novy par: Aichelburg --> Aichelburgová	 pravidlo: N- --> N-ová
novy par: Aichinger --> Aichingerová	 pravidlo: N- --> N-ová
novy par: Aichler --> Aichlerová	 pravidlo: N- --> N-ová
novy par: Aichmajer --> Aichmajerová	 pravidlo: N- --> N-ová
novy par: Aimée --> Aiméeová	 pravidlo: N- --> N-ová
novy par: Ainsworth --> Ainsworthová	 pravidlo: N- --> N-ová
novy par: Aipivohu --> Aipivohuův	 pravidlo: N- --> A-ův
novy par: airsoft --> airsoftový	 pravidlo: N- --> A-ový
novy par: Aiša --> Aišaová	 pravidlo: N- --> N-ová
novy par: Aišman --> Aišmanová	 pravidlo: N- --> N-ová
novy par: Aita --> Aitová	 pravidlo: N-a --> N-ová
novy par: Ajalon --> Ajalonová	 pravidlo: N- --> N-ová
novy par: ajatin --> ajatinový	 pravidlo: N- --> A-ový
novy par: Ajšman --> Ajšmanová	 pravidlo: N- --> N-ová
novy par: Akai --> Akaiová	 pravidlo: N- --> N-ová
novy par: akát --> akátek	 pravidlo: N- --> N-ek
novy par: akceptor --> akceptorový	 pravidlo: N- --> A-ový
novy par: Akdogan --> Akdoganová	 pravidlo: N- --> N-ová
novy par: Akerman --> Akermanová	 pravidlo: N- --> N-ová
novy par: akontace --> akontační	 pravidlo: N-ce --> A-ční
novy par: Akopjan --> Akopjanová	 pravidlo: N- --> N-ová
novy par: Akrman --> Akrmanová	 pravidlo: N- --> N-ová
novy par: Aksel --> Akselová	 pravidlo: N- --> N-ová
novy par: aktér --> aktérský	 pravidlo: N- --> A-ský
novy par: aktin --> aktinová	 pravidlo: N- --> N-ová
novy par: aktin --> aktinový	 pravidlo: N- --> A-ový
novy par: aktinolit --> aktinolitový	 pravidlo: N- --> A-ový
novy par: aktivátor --> aktivátorový	 pravidlo: N- --> A-ový
novy par: aktomyosin --> aktomyosinový	 pravidlo: N- --> A-ový
novy par: aktualita --> aktualitový	 pravidlo: N-a --> A-ový
novy par: akvizitér --> akvizitérský	 pravidlo: N- --> A-ský
@ novy par: ala --> alka	 pravidlo: N-a --> N-ka
novy par: Alagič --> Alagičová	 pravidlo: N- --> N-ová
novy par: Alana --> Alanová	 pravidlo: N-a --> N-ová
