lemma	parents
přísámbohu	přísahat bůh
poloúsměv	půl úsměv
dvojvětev	dvě větev
sebeobdiv	se obdiv
malochov	malý chov
drobnochov	drobný chov
bioostrov	-bio- ostrov
poloostrov	půl ostrov
megashow	-mega- show
autoshow	-aut- show
bioindex	-bio- index
dlouholebý	dlouhý leb
trojdobý	tři doba
dlouhodobý	dlouhý doba
jednodobý	jeden doba
plochozobý	plochý zobák
dlouhozobý	dlouhý zobák
tříhrbý	tři hrb
trojhrbý	tři hrb
měkkohubý	měkký huba
širokohubý	široký huba
čtyřzubý	čtyři zub
žlutočervenohnědý	žlutý červený hnědý
málokdy	málo kdy
modroplodý	modrý plod
vysokoblahorodý	vysoký blahorodý
vinorodý	víno rodit
ultratvrdý	ultra tvrdý
trojproudý	tři proud
dvojproudý	dvě proud
čtyřproudý	čtyři proud
zelenorudý	zelený rudý
polonahý	půl nahý
dlouhodechý	dlouhý dech
prostoduchý	prostý duch
krátkouchý	krátký ucho
přímouchý	přímý ucho
červenouchý	červený ucho
černorouchý	černý roucho
žlutouchý	žlutý ucho
rezavouchý	rezavý ucho
polosuchý	půl suchý
osminohý	osm noha
pětinohý	pět noha
desetinohý	deset noha
šestinohý	šest noha
trojnohý	tři noha
dvojnohý	dvě noha
mnohonohý	mnoho noha
krátkonohý	krátký noha
čtvermonohý	čtyři noha
bosonohý	bosý noha
čtvernohý	čtyři noha
dvounohý	dvě noha
dvojrohý	dvě roh
šestipruhý	šest pruh
čtyřpruhý	čtyři pruh
dvoupruhý	dvě pruh
biojatky	-bio- jatka
ekohrátky	-eko- hrátky
ultramalý	ultra malý
věkostálý	věk stálý
polovychladlý	půl vychladnout
pětikřídlý	pět křídlo
dvojkřídlý	dvě křídlo
lehkokřídlý	lehký křídlo
jednokřídlý	jeden křídlo
zelenokřídlý	zelený křídlo
zlatokřídlý	zlatý křídlo
síťokřídlý	síť křídlo
dvoukřídlý	dvě křídlo
veleobsáhlý	velký obsáhlý
dalekosáhlý	daleký obsáhlý
širokosáhlý	široký obsáhlý
mezilehlý	mezi ležet
plnoštíhlý	plný štíhlý
pětiúhlý	pět úhel
šestiúhlý	šet úhel
trojúhlý	tři úhel
stříbřitěbílý	střibřitý bílý
černomodrobílý	černý modrý bílý
zlatomodrobílý	zlatý modrý bílý
tmavobílý	tmavý bílý
vlastimilý	vlast milý
bohumilý	Bůh milý
poloshnilý	půl shnilý
poloopilý	půl opilý
černolesklý	černý lesklý
poloteplý	půl teplý
polochcíplý	půl chcíplý
samorostlý	sám růst
všudybylý	všude být
polozmrzlý	půl zmrzlý
dvoudomý	dvě dům
dvojlomý	dvě lom
poloslaný	půl slaný
polozaměstnaný	půl zaměstnaný
prvotrestaný	první trestat
dvojčárkovaný	dvě čárka
jednočárkovaný	jeden čárka
čarovábný	čáry vábit
sebeléčebný	se léčit
ploutvohybný	ploutev hybný
prostosrdečný	prostý srdce
dvouvaječný	dvě vejce
protiválečný	proti válka
sedmitečný	sedm tečka
dvacetitečný	dvacet tečka
dvoutečný	dvě tečka
tříslabičný	tři slabika
pětislabičný	pět slabika
dvojslabičný	dvě slabika
dvouslabičný	dvě slabika
dvoulaločný	dvě lalok
vícemocný	více mocný
svémocný	svůj moc
pětimocný	pět mocný
dvojmocný	dvě mocný
tříjazyčný	tři jazyk
hindskojazyčný	hidský jazyk
dvoujazyčný	dvě jazyk
mimořádný	mimo řada
literárněvědný	literární věda
společenskovědný	společenský věda
prachbídný	prach bídný
polosvobodný	půl svobodný
zapamatováníhodný	zapamatování hodný
politováníhodný	politování hodný
odsouzeníhodný	odsouzení hodný
velevhodný	velký vhodný
vínoplodný	víno plodit
vinorodný	víno rodit
železorudný	železný ruda
poloroubený	půl roubený
polosvlečený	půl svlečený
vždyzeleny	vždy zelený
polozasklený	půl zasklený
celoprosklený	celý prosklený
polozavřený	půl zavřít
polorozevřený	půl rozevřít
polozadušený	půl zadušený
zelenočervený	zelený červený
mnohovrstvený	mnoho vrstva
černostehný	černý stehno
europotraviny	euro potravina
polotajný	půl tajný
všeprodejný	vše prodejný
úzkokolejný	úzký kolej
dvouobalný	dvě obal
osmiúhelný	osm úhel
šestiúhelný	šet úhel
trojúhelný	tři úhel
pětičíselný	pět číslo
dvojčíselný	dvě číslo
čtyřčíselný	čtyři číslo
třídílný	tři díl
dvojdílný	dvě díl
sněhomilný	sníh milovat
pískomilný	písek milovat
stínomilný	stín milovat
staromilný	starý milovat
zlataplný	zlato plný
obětiplný	oběť plný
závistiplný	závist plný
úzkostiplný	úzkost plný
strachuplný	strach plný
postřehůplný	postřeh plný
zázrakuplný	zázrak plný
vděkuplný	vděk plný
díkůplný	dík plný
činuplný	čin plný
záměruplný	záměr plný
rozporuplný	rozpor plný
sexuplný	sex plný
hrůzyplný	hrůza plný
dobromyslný	dobrý mysl
dvousmyslný	dvě smysl
velkoprůmyslný	velký průmysl
pětihranný	pět hrana
dvojhranný	dvě hrana
osmistranný	osm strana
třístranný	tři strana
dvojstranný	dvě strana
mnohostranný	mnoho strana
rovnocenný	rovný cena
tříčlenný	tři člen
pětičlenný	pět člen
dvoučlenný	dvě člen
tříramenný	tři rameno
pětiramenný	pět rameno
trojpramenný	tři pramen
čtyřpramenný	čtyři pramen
tříjmenný	tři jméno
dvoukmenný	dvě kmen
třípísmenný	tři písmeno
pětipísmenný	pět písmeno
dvoupísmenný	dvě písmeno
půlpenny	půl penny
sedmistěnný	sedm stěna
dvacetistěnný	dvacet stěna
šestistěnný	šest stěna
vysokostěnný	vysoký stěna
dvoustěnný	dvě stěna
velečinný	velký činný
trojčinný	tři činný
dvojčinný	dvě činný
rychločinný	rychlý činný
dobročinný	dobro činný
jemnovlnný	jemný vlna
starozákonný	starý zákon
dlouhozrnný	dlouhý zrno
třístrunný	tři struna
mnohostrunný	mnoho struna
dvoustrunný	dvě struna
máloplynný	málo plyn
veršotepný	verš tepat
práceneschopný	práce schopný
zelenočerný	zelený černý
tyrkysovočerný	tyrkysový černý
béžovočerný	béžový černý
protijaderný	proti jádro
obousměrný	oba směr
prachmizerný	prach mizerný
zvukotvorný	zvuk tvořit
stylotvorný	styl tvořit
filmotvorný	film tvořit
krajinotvorný	krajina tvořit
mírotvorný	mír tvořit
obrazotvorný	obraz tvořit
vodotěsný	voda těsný
pachotěsný	pach těsný
prachotěsný	prach těsný
parotěsný	pára těsný
velkoplošný	velký plocha
plnoplošný	plný plocha
úrodonosný	úroda nosit
perlonosný	perla nosit
plynonosný	plyn nosit
barvonosný	barva nosit
velikodušný	veliký duch
velkodušný	velký duch
ostnovýtrusný	osten výtrus
zlatovýtrusný	zlato výtrus
bokorysný	bok rys
polomatný	půl matný
granátometný	granát metat
zlatokvětný	zlatý květ
temnosvitný	temný svit
polomastný	půl mastný
sedmicestný	sedm cesta
šesticestný	šest cesta
čtyřcestný	čtyři cessta
dvoumístný	dvě místo
oboupohlavný	obě pohlaví
čtyrstopý	dvě stopa
starozlatý	starý zlatý
polorozvitý	půl rozvitý
osmihrotý	osm hrot
dvouhrotý	dvě hrot
ultračistý	-ultra- čistý
dlouholistý	dlouhý list
orlíčkolistý	orlíček list
vláskolistý	vlásek list
platanolistý	platan list
břečťanolistý	břečťan list
rovnolistý	rovný list
rozmarýnolistý	rozmarýn list
myrtolistý	myrta list
stolistý	sto list
stříbřistý	stříbro list
větvistý	větev list
kouřeprostý	kouř prostý
sedmiprstý	sedm prst
sudoprstý	sudý prst
dlouhoprstý	dlouhý prst
dvouprstý	dvě prst
rychloústý	rychlý ústa
zelenoústý	zelený ústa
červenoústý	červený ústa
stříbrnoústý	stříbro ústa
černoústý	černý ústa
zelenohnědavý	zelený hnědavý
žlutohnědavý	žlutý hnědavý
šedozelenkavý	šedý zelenkavý
modrozelinkavý	modrý zelinkavý
vícehlavý	více hlava
tříhlavý	tři hlava
pětihlavý	pět hlava
trojhlavý	tři hlava
dvojhlavý	dvě hlava
modrohlavý	modrý hlava
rusohlavý	rusý hlava
lysohlavý	lysý hlava
zlatohlavý	zlatý hlava
stohlavý	sto hlava
červenorezavý	červený rezavý
světločivý	světlo čít
levotočivý	levý točit
protisvědivý	proti svědit
supravodivý	super vodit
elektrovodivý	elektro vodit
polopravdivý	půl pravdivý
zimomřivý	zima mřít
zelenosivý	zelený sivý
modrosivý	modrý sivý
pivkachtivý	pivko chtít
divadlachtivý	divadlo chtít
světlachtivý	světlo chtít
komunikacechtivý	komunikace chtít
legracechtivý	legrace chtít
senzacechtivý	senzace chtít
akcechtivý	akce chtít
atrakcechtivý	atrakce chtít
erekcechtivý	erekce chtít
sankcechtivý	sankce chtít
reprodukcechtivý	reprodukce chtít
sluncechtivý	slunce chtít
punčechtivý	punč chtít
energiechtivý	energie chtít
chemiechtivý	chemie chtít
fantaziechtivý	fantazie chtít
poeziechtivý	poezie chtít
spropitnéchtivý	spropitné chtít
večeřechtivý	večer chtít
pomocichtivý	pomoc chtít
jucháníchtivý	juchání chtít
poznáníchtivý	poznání chtít
parkováníchtivý	parkování chtít
nakupováníchtivý	nakupování chtít
věděníchtivý	vědění chtít
opojeníchtivý	opojení chtít
seznámeníchtivý	seznámení chtít
potápěníchtivý	potápění chtít
čteníchtivý	čtení chtít
