mlaskně_None	mlaskný_None
shodovati_None	shodnouti_None
galvanoterapeutický_None	galvanoterapie_None
zmíněný_None	zmíniti_None
ochrnulost_None	ochrnulý_None
škrobovna_None	škrobárna_None
vmačkovati_None	vmačkávati_None
zavláčiti_None	zavláčeti_None
holenku_None	holečku_None
dmdesátina_None	sedmdesát_None
mostek_None	most_None
mostek_None	můstek_None
sanitační_None	sanitace_None
nechávati_None	nechati_None
škubnouti_None	škubati_None
škubnouti_None	škubnouti_None
pokvilovati_None	pokvíleti_None
podvědomé_None	podvědomý_None
grobiánství_None	grobián_None
pomíjitelnost_None	pomíjivý_None
maltázový_None	maltasa_None
zpunktovat_None	spunktovat_None
mušinec_None	mušina_None
eldorádo_None	Eldorádo_None
převoditelnost_None	převoditelný_None
rozeskučeti_None	rozskučeti_None
navršovati_None	navršiti_None
propnouti_None	pnouti_None
ruštinářka_None	ruštinář_None
zaostření_None	zaostřiti_None
volovinka_None	volovina_None
cytologie_None	cytolog_None
pížmový_None	pižmo_None
zachrustati_None	chrustati_None
podsázeti_None	sázeti_None
oříšků_None	oříškový_None
neuhasitelnost_None	neuhasitelný_None
vytratiti_None	tratiti_None
obrazivě_None	obrazivý_None
prohibitivně_None	prohibitivní_None
zbraňovati_None	zbrániti_None
poustevníček_None	poustevník_None
prazeodym_None	praseodym_None
prazeodym_None	prazem_None
puntíček_None	puntík_None
pitoresknost_None	pitoreskní_None
vinohrádek_None	vinohrad_None
jesuitský_None	jesuita_None
karmoisinový_None	karmazínový_None
běžně_None	běžný_None
vystřihnouti_None	střihnouti_None
oldenburský_None	Oldenburk_None
amorálně_None	amorální_None
poháněčka_None	poháněč_None
lítovnice_None	lítovník_None
podstrkati_None	strkati_None
rozmarin_None	rozmarie_None
kvatembrový_None	kvatembr_None
rozcuchávati_None	rozcuchati_None
vykládačský_None	vykladač_None
vykládačský_None	vykládač_None
škrček_None	skrček_None
šlechtična_None	šlechtic_None
nimravost_None	nimravý_None
pytlikář_None	pytlíkář_None
uhrabovati_None	uhrabávati_None
čvachtat_None	žvachtat_None
Afghánec_None	Afgánec_None
fetišistický_None	fetišista_None
pendantový_None	pendant_None
vajíčkový_None	vajíčko_None
nazouvati_None	nazouti_None
nazouvati_None	zouvati_None
průjezdnost_None	průjezdný_None
podbarvovati_None	podbarviti_None
zduchovňovati_None	zduchovniti_None
zaměřovati_None	zaměřiti_None
šetřivě_None	šetřivý_None
zaplácnouti_None	plácnouti_None
plnotvárně_None	plnotvar_None
krnivý_None	krněti_None
arabeskní_None	arabeska_None
fyskulturní_None	fyskultura_None
euforický_None	euforie_None
tetelívati_None	teteliti_None
rozstrkaně_None	rozstrkaný_None
prototypický_None	prototyp_None
bídnost_None	bídný_None
účeloslovně_None	účelosloví_None
vyučený_None	vyučiti_None
sychravě_None	sychravý_None
pokočkovati_None	kočkovati_None
perspektivně_None	perspektiva_None
trámový_None	trám_None
nepronikavost_None	nepronikavý_None
mentálský_None	simenský_None
lakově_None	lak_None
přetrhovati_None	přetrhnouti_None
modýlek_None	model_None
odsekati_None	sekati_None
krmívati_None	krmiti_None
vyhlášený_None	vyhlásiti_None
pryskati_None	prýskati_None
barvitost_None	barvitý_None
bakulka_None	bakula_None
úloveček_None	úlovek_None
pentóza_None	pentosa_None
čibukový_None	čibuk_None
stezinka_None	stezina_None
lajblík_None	lajb_None
lajblík_None	lajbík_None
pomásti_None	másti_None
rozhovořiti_None	hovořiti_None
povychladnouti_None	vychladnouti_None
melanžový_None	melanž_None
odučiti_None	učiti_None
knihtiskařka_None	knihtiskárna_None
brunetový_None	brunet_None
křapavě_None	křapavý_None
vynahraditi_None	nahraditi_None
určený_None	určiti_None
přívati_None	příti_None
prožehati_None	prožíhati_None
poklebetit_None	poklevetiti_None
kolaborantský_None	kolaborant_None
přesunovací_None	přesunování_None
kustoska_None	kustod_None
snůškový_None	snůška_None
řečištní_None	řečiště_None
loutnařský_None	loutnař_None
navářeti_None	navařiti_None
Alemán_None	Alamán_None
éterický_None	éter_None
nožař_None	nožíř_None
psychogenně_None	psychogenní_None
nostalgicky_None	nostalgie_None
důvěřivý_None	důvěřivý_None
zgranulovati_None	granulovati_None
nasychati_None	naschnouti_None
dotahat_None	tahati_None
podráždění_None	podrážditi_None
kalisko_None	kaliště_None
pihavka_None	pijavka_None
střáp_None	střap_None
pomatenost_None	pomatený_None
náčelnická_None	náčelnický_None
patologický_None	patolog_None
drilichový_None	drilich_None
symbiotický_None	symbiosa_None
alpakový_None	alpaka_None
pobaltický_None	Pobaltí_None
lihoměrný_None	lihoměr_None
sapfinismus_None	sapfismus_None
odkap_None	okap_None
stearínový_None	stearin_None
elegánek_None	elegán_None
chov_None	výchov_None
vytečkovati_None	tečkovati_None
nedověcnost_None	nedověcný_None
ozdraviti_None	zdraviti_None
ušmudlat_None	šmudlat_None
znepokojení_None	znepokojiti_None
kasárensky_None	kasárenský_None
promodravěti_None	modravěti_None
zbreptat_None	zbrebtat_None
konzervativec_None	konservativec_None
reakčnický_None	reakcionářský_None
zžásati_None	zžasnouti_None
proprietka_None	proprieta_None
postačitelnost_None	postačitelný_None
vmyslívati_None	vmýšleti_None
vulgarizační_None	vulgarisace_None
špára_None	spára_None
zamručeti_None	mručeti_None
ometávat_None	ometati_None
inscenační_None	inscenace_None
zoisitový_None	zoisit_None
hadrykovat_None	handrkovat_None
strejdánek_None	strejda_None
servitka_None	servita_None
antinomický_None	antinomie_None
poodskakovati_None	poodskočiti_None
poodskakovati_None	odskakovati_None
dědánek_None	děd_None
sodovkový_None	sodovka_None
hrbolcovitě_None	hrbolcovitý_None
přetrhávati_None	přetrhati_None
seveřanský_None	seveřan_None
alfový_None	alfa_None
dostudovati_None	studovati_None
otřepávati_None	otřepati_None
methyl_None	metyl_None
záhubně_None	záhubný_None
sejmový_None	Sejm_None
hříšnost_None	hříšný_None
legalisační_None	legalisace_None
kvoknouti_None	kvokati_None
ztvrdnout_None	otvrdnouti_None
indanthrenový_None	indantrén_None
amfibolický_None	ambibol_None
hieroglyfový_None	hieroglyf_None
vmazati_None	mazati_None
vyprodávati_None	vyprodati_None
labradorově_None	Labrador_None
rozkovati_None	kovati_None
perlívati_None	perliti_None
rozhašovati_None	rozhasiti_None
hlaholsky_None	hlaholský_None
celnický_None	celník_None
přestěhovalkyně_None	přestěhovalec_None
nadělávat_None	nadělat_None
rakovinový_None	rakovinný_None
maloměstskost_None	maloměstský_None
žebřinka_None	žebřina_None
pradlář_None	pradlák_None
striktně_None	striktní_None
pohlednicový_None	pohlednice_None
kritička_None	kritik_None
posestrina_None	posestrima_None
prohledávati_None	prohledati_None
přihnutě_None	přihnutý_None
spiritisticky_None	spiritista_None
městsky_None	poloměstský_None
městsky_None	městský_None
zasekávati_None	zasekat_None
zasekávati_None	zaseknouti_None
zasekávati_None	zasekati_None
Bengálka_None	Bengálec_None
nástavbový_None	nástavba_None
Mexikán_None	Mexiko_None
vzorově_None	vzorový_None
potivost_None	potivý_None
proplesknouti_None	plesknouti_None
stříže_None	stříž_None
rozdávačka_None	rozdavač_None
rozmarie_None	rozmarýna_None
jinecký_None	Jince_None
požívačný_None	poživačný_None
scenárijní_None	scenário_None
napředělávati_None	předělávati_None
úkosný_None	úkosý_None
kašubský_None	Kašub_None
pleureusa_None	pleréza_None
zašmírovat_None	šmírovat_None
obracovati_None	obraceti_None
taxativně_None	taxativní_None
báchorkovitě_None	báchorkovitý_None
tepávati_None	tepati_None
zpravidelňovati_None	zpravidelniti_None
zpravidelňovati_None	zpravidelněti_None
moravskoslovenský_None	Moravské_None
veslonozí_None	veslonohý_None
roztomile_None	roztomilý_None
sžívati_None	sžíti_None
