# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

derivation	parent
patlat#V????--??-??I??	babrat#V????--??-??I??
buchta#NNF??-----A---?	bachor#NNI??-----A---?
batoh#NNI??-----A---?	bacat#V????--??-??I??
forhend#NNI??-----A---?	bekhend#NNI??-----A---?
pakatel#NNI??-----A---?	bagatelizovat#V????--??-??I??
pakáž#NNF??-----A---?	bagáž#NNF??-----A---?
bádat#V????--??-??I??	bahnice#NNF??-----A---?
bál#NNI??-----A---?	balet#NNI??-----A---?
balada#NNF??-----A---?	balet#NNI??-----A---?
ďábel#NNM??-----A---?	balistika#NNF??-----A---?
parabola#NNF??-----A---?	balistika#NNF??-----A---?
hambalek#NNI??-----A---?	balkon#NNI??-----A---?
banální#AA???----??---?	bandita#NNM??-----A---?
mandolína#NNF??-----A---?	bendžo#NNN??-----A---?
panchart#NNM??-----A---?	banka#NNF??-----A---?
banket#NNI??-----A---?	banka#NNF??-----A---?
bankrot#NNI??-----A---?	banka#NNF??-----A---?
urologie#NNF??-----A---?	barbiturát#NNI??-----A---?
baryt#NNI??-----A---?	baroko#NNN??-----A---?
baterie#NNF??-----A---?	batalion#NNI??-----A---?
debata#NNF??-----A---?	batalion#NNI??-----A---?
unavit#V????--??-??P??	bavit#V????--??-??I??
bazilišek#NNM??-----A---?	bazalka#NNF??-----A---?
bazilika#NNF??-----A---?	bazalka#NNF??-----A---?
fujara#NNF??-----A---?	bača#NNM??-----A---?
žok#NNI??-----A---?	bažant#NNM??-----A---?
barva#NNF??-----A---?	bažant#NNM??-----A---?
bodrý#AA???----??---?	bdít#V????--??-??I??
bečka#NNF??-----A---?	bedna#NNF??-----A---?
putna#NNF??-----A---?	bedna#NNF??-----A---?
butelka#NNF??-----A---?	bedna#NNF??-----A---?
bachyně#NNF??-----A---?	bek#NNM??-----A---?
pikart#NNM??-----A---?	bekyně#NNF??-----A---?
maligní#AA???----??---?	benigní#AA???----??---?
brýle#NNFP?-----A---?	beryl#NNI??-----A---?
briliant#NNI??-----A---?	beryl#NNI??-----A---?
bezděky#Db-------------	bez#NNI??-----A---?
beseda#NNF??-----A---?	bez#NNI??-----A---?
plonk#AAXXX----1A----	bianko#AAXXX----1A----
blanket#NNI??-----A---?	bianko#AAXXX----1A----
blankvers#NNI??-----A---?	bianko#AAXXX----1A----
kapitán#NNM??-----A---?	biceps#NNI??-----A---?
kapitola#NNF??-----A---?	biceps#NNI??-----A---?
balanc#NNF??-----A---?	bilance#NNF??-----A---?
biologie#NNF??-----A---?	bio#NNNS?-----A----
piškot#NNI??-----A---?	biskvit#NNI??-----A---?
zubr#NNM??-----A---?	bizon#NNM??-----A---?
firma#NNF??-----A---?	biřmovat#V????--??-??I??
blábolit#V????--??-??I??	blbý#AA???----??---?
bílý#AA???----??---?	blýskat#V????--??-??I??
blikat#V????--??-??I??	blýskat#V????--??-??I??
bledý#A????----??---?	blond#AAXXX----1A----
plena#NNF??-----A---?	blána#NNF??-----A---?
bloudit#V????--??-??I??	blouznit#V????--??-??I??
blizna#NNF??-----A---?	blízký#A????----??---?
bob#NNI??-----A---?	bobtnat#V????--??-??I??
fokus#NNI??-----A---?	bochník#NNI??-----A---?
zboží#NNN??-----A---?	bohatý#A????----??---?
bula#NNF??-----A---?	bojler#NNI??-----A---?
bujon#NNI??-----A---?	bojler#NNI??-----A---?
bimbat#V????--??-??I??	bomba#NNF??-----A---?
boom#NNI??-----A---?	bomba#NNF??-----A---?
bonbon#NNI??-----A---?	bombastický#AA???----??---?
bonviván#NNM??-----A---?	bombastický#AA???----??---?
bonita#NNF??-----A---?	bombastický#AA???----??---?
bonmot#NNI??-----A---?	bombastický#AA???----??---?
borůvka#NNF??-----A---?	bor#NNI??-----A---?
brada#NNF??-----A---?	bor#NNI??-----A---?
bránit#V????--??-??I??	borec#NNM??-----A---?
brána#NNF??-----A---?	borec#NNM??-----A---?
bambule#NNF??-----A---?	boubel#NNI??-----A---?
bušit#V????--??-??I??	bouchat#V????--??-??I??
poulit#V????--??-??I??	boule#NNF??-----A---?
bulva#NNF??-----A---?	boule#NNF??-----A---?
burcovat#V????--??-??I??	bouřit#V????--??-??I??
bourat#V????--??-??I??	bouřit#V????--??-??I??
burácet#V????--??-??I??	bouřit#V????--??-??I??
biliár#NNI??-----A---?	bowling#NNI??-----A---?
puška#NNF??-----A---?	box#NNI??-----A---?
piksla#NNF??-----A---?	box#NNI??-----A---?
borec#NNM??-----A---?	brav#NNI??-----A---?
brázda#NNF??-----A---?	brtník#NNM??-----A---?
boršč#NNI??-----A---?	brk#NNI??-----A---?
