+	házená_^(sport) N	0.998929848629393	NEW: házený_^(*2t) A	OLD:  
+	škodná_^(zvěř) N	0.998929848629393	NEW: škodný_^(poškozený_n._působící_škodu) A	OLD:  
+	viděná_^(na_viděnou) N	0.998929848629393	NEW: viděný_^(*2t) A	OLD:  
+	vysvětlená_^(na_vysvětlenou) N	0.998916178888339	NEW: vysvětlený_^(*3it) A	OLD: vysvětlit_:W V
+	výborná_^(známka_ve_škole:_1) N	0.998835900393257	NEW: výborný A	OLD:  
	bábinka_,h N	0.998765799684962	NEW: bábin_^(*2a) A	OLD: bábina_,h N
+	flashka N	0.998765799684962	NEW: flash_,t A	OLD:  
	babyka N	0.998736053965509	NEW: baby-2 A	OLD:  
	nevěstinka N	0.998719911931093	NEW: nevěstin_^(*2a) A	OLD: nevěsta N
+	pamětná N	0.998703196930685	NEW: pamětný_,a_,x A	OLD:  
	Buenová_;S N	0.998672374063207	NEW: Buena_;G_,t_^(součást_názvu_např_Buena_Vista) A	OLD: Bueno_;S N
	dívčinka N	0.998657469001640	NEW: dívčin_^(*3ka) A	OLD: dívčina N
	Buenův_;S_^(*2o) A	0.998652371469140	NEW: Buena_;G_,t_^(součást_názvu_např_Buena_Vista) A	OLD: Bueno_;S N
	vašnostinka_,s N	0.998607559111962	NEW: vašnostin_,s_^(*2) A	OLD:  
+	Chrástecká_;S N	0.998603236805445	NEW: Chrástecký_;S A	OLD:  
+	Štupartská_;G_^(ulice) N	0.998603236805445	NEW: Štupartský A	OLD:  
+	Břehovská_;S N	0.998569578735356	NEW: Břehovský_;S A	OLD:  
+	Vlčnovská_;S N	0.998569578735356	NEW: Vlčnovský-1_;S A	OLD:  
+	konečná N	0.998555387596329	NEW: konečný A	OLD:  
+	výtečná_^(známka_ve_škole:_1) N	0.998555387596329	NEW: výtečný A	OLD:  
	eleganska_;L_^(rybička) N	0.998539643605376	NEW: elegans_;L_,t A	OLD:  
	mahalebka_;L_^(rostlina) N	0.998539643605376	NEW: mahaleb_;L_,t A	OLD:  
	neteřinka N	0.998539643605376	NEW: neteřin_^(*2) A	OLD: neteř N
	sestřinka N	0.998539643605376	NEW: sestřin_^(*3ra) A	OLD:  
+	Zavadská_;S N	0.998535110790091	NEW: Zavadský_;S A	OLD:  
	dceřinka N	0.998504455412776	NEW: dceřin_^(^IN*3ra) A	OLD: dcera N
	vdovinka_,s_,e N	0.998504455412776	NEW: vdovin_^(*2a) A	OLD:  
	katůvka_^(pomístní_jméno) N	0.998468420639358	NEW: katův_^(*2) A	OLD:  
	paninka_,h N	0.998468420639358	NEW: panin A	OLD: paní N
	popůvka_,h_^(písnička) N	0.998468420639358	NEW: popův-1_^(círk.)_(*4-1) A	OLD:  
	rakůvka N	0.998468420639358	NEW: rakův_^(*2) A	OLD:  
	tetinka_,e N	0.998468420639358	NEW: tetin_^(*2a) A	OLD: teta N
	čubinka_,h N	0.998468420639358	NEW: čubin-2_,h_^(*4a-2) A	OLD:  
+	Jánská_;G N	0.998463667094506	NEW: Jánský_;G A	OLD:  
+	schrupnutí_^(*3out) N	0.998119957446097	NEW: schrupnout_:W V	OLD:  
	Kristinka_;Y N	0.998118185686548	NEW: Kristin_;Y A	OLD: Kristina_;Y N
+	opajcnutí_,h_^(*3nou) N	0.998074676153827	NEW: opajcnout V	OLD: opajcnnou_:W_,h V
	odtučněný_^(*3it) A	0.998047178503029	NEW: odtučnět A	OLD: odtučnit_:W V
+	slupnutí_^(*3out) N	0.998028306404778	NEW: slupnout_:W V	OLD:  
	Bělinka_;Y N	0.998026448443706	NEW: Bělin-1_;Y_^(*4a-1) A	OLD: Bělina-1_;S N
	Stellinka_;Y N	0.997903836849174	NEW: Stellin_;Y A	OLD:  
	Machůvka_;G N	0.997853361433586	NEW: Machův_;S_^(*2o) A	OLD:  
+	Nižná_;G N	0.997825355918485	NEW: Nižný_;G_^(např._Nižnyj_Novgorod) A	OLD:  
	Janinka_;Y N	0.997801673252194	NEW: Janin_;Y_^(*2a) A	OLD: Jana_;Y N
+	vzebravší_,a_^(*2) A	0.997800066866996	NEW: vzebrat_,a A	OLD: vzebrav_:W_,a V
	Aninka_;Y_^(^DI*2a)_(^SY*3čka) N	0.997748743296529	NEW: Anin_;Y_^(*2a) A	OLD: Anička_;Y_^(^DI*4na) N
	Alžbětinka N	0.997720020962093	NEW: Alžbětin_;Y_^(*2a) A	OLD:  
	senegalský A	0.997677818395782	NEW: senegal_;L_,t A	OLD:  
	Libušinka_;G N	0.997665129633351	NEW: Libušin_;Y_^(*2e) A	OLD:  
	Mikulůvka_;G N	0.997665129633351	NEW: Mikulův_;S_^(*2a) A	OLD:  
	Zdenčinka_;Y_,e N	0.997665129633351	NEW: Zdenčin_;Y_^(*3ka) A	OLD:  
	Dolfinka_;Y_,e N	0.997608919942906	NEW: Dolfin_;Y_^(*2a) A	OLD:  
	Habrůvka_;G N	0.997608919942906	NEW: Habrův-1_;S_^(*4-1) A	OLD:  
	Hladůvka_;S N	0.997608919942906	NEW: Hladův_;S_^(*2) A	OLD:  
	Hrabůvka_;G N	0.997608919942906	NEW: Hrabův_;S_^(*2a) A	OLD:  
	Hromůvka_;G N	0.997608919942906	NEW: Hromův_;S_^(*2) A	OLD:  
	Machůvka_;G N	0.997608919942906	NEW: Machův-2_;S_^(*4-2) A	OLD:  
	Mančinka_;Y_,h N	0.997608919942906	NEW: Mančin_;Y_,h_^(*3ka) A	OLD:  
	Petrůvka_;G_;S N	0.997608919942906	NEW: Petrův_;S_;Y_^(*2o) A	OLD:  
	Poldinka_;K N	0.997608919942906	NEW: Poldin_;Y_^(*1) A	OLD:  
	Zdeninka_;Y_,e N	0.997608919942906	NEW: Zdenin_;Y_^(*2a) A	OLD:  
	Borůvka_;S N	0.997551360381098	NEW: Borův-1_;S_^(*4-1) A	OLD:  
	Bukůvka_;G N	0.997551360381098	NEW: Bukův-2_;S_^(*4-2) A	OLD:  
	Drnůvka_;G_;Y N	0.997551360381098	NEW: Drnův-1_;S_^(*4-1) A	OLD:  
	Janůvka_;S N	0.997551360381098	NEW: Janův_;Y_,t_^(*2o) A	OLD:  
	Lukůvka_;S N	0.997551360381098	NEW: Lukův_;S_^(*2a) A	OLD:  
	Lízinka_;Y N	0.997551360381098	NEW: Lízin_;Y_^(*2a) A	OLD: Líza_;Y N
	Šošůvka_;G N	0.997551360381098	NEW: Šošův_;S A	OLD:  
	Rakůvka_;G N	0.997551360381098	NEW: Rakův_;S_^(*2) A	OLD:  
	Evinka_;Y N	0.997492418692683	NEW: Evin_;Y_^(*2a) A	OLD: Eva_;Y N
+	vystřihnutí N	0.997462823870690	NEW: vystřihnout_:W V	OLD:  
+	čtyřiašedesátislabičnost_^(*3ý) N	0.997435569855059	NEW: čtyřiašedesátislabičný A	OLD: čtyřiašedesátislabický A
+	pronajmutí N	0.997401756553343	NEW: pronajmout_:W V	OLD:  
+	osmačtyřicetislabičnost_^(*3ý) N	0.997373848287618	NEW: osmačtyřicetislabičný A	OLD: osmačtyřicetislabický A
+	dvaatřicetislabičnost_^(*3ý) N	0.997245925195875	NEW: dvaatřicetislabičný A	OLD: dvaatřicetislabický A
+	šestnáctislabičnost_^(*3ý) N	0.997111788857093	NEW: šestnáctislabičný A	OLD: šestnáctislabický A
+	jedenáctislabičnost_^(*3ý) N	0.997111788857093	NEW: jedenáctislabičný A	OLD: jedenáctislabický A
+	osmdesátislabičnost_^(*3ý) N	0.997111788857093	NEW: osmdesátislabičný A	OLD: osmdesátislabický A
+	sedmnáctislabičnost_^(*3ý) N	0.997111788857093	NEW: sedmnáctislabičný A	OLD: sedmnáctislabický A
+	dvanáctislabičnost_^(*3ý) N	0.997042297527919	NEW: dvanáctislabičný A	OLD: dvanáctislabický A
+	několikaslabičnost_^(*3ý) N	0.997042297527919	NEW: několikaslabičný A	OLD: několikaslabický A
+	olejopryskyřičnost_^(*3ý) N	0.997042297527919	NEW: olejopryskyřičný A	OLD: olejopryskyřický A
+	patnáctislabičnost_^(*3ý) N	0.997042297527919	NEW: patnáctislabičný A	OLD: patnáctislabický A
+	třináctislabičnost_^(*3ý) N	0.997042297527919	NEW: třináctislabičný A	OLD: třináctislabický A
+	čtrnáctislabičnost_^(*3ý) N	0.997042297527919	NEW: čtrnáctislabičný A	OLD: čtrnáctislabický A
+	dvacetislabičnost_^(*3ý) N	0.996971139292926	NEW: dvacetislabičný A	OLD: dvacetislabický A
+	matematickopojistnost_^(*3ý) N	0.996932526510709	NEW: matematickopojistný A	OLD: matematickopojistní A
+	desetislabičnost_^(*3ý) N	0.996898274414923	NEW: desetislabičný A	OLD: desetislabický A
+	desítislabičnost_^(*3ý) N	0.996898274414923	NEW: desítislabičný A	OLD: desítislabický A
+	devítislabičnost_^(*3ý) N	0.996898274414923	NEW: devítislabičný A	OLD: devítislabický A
+	stejnoslabičnost_^(*3ý) N	0.996898274414923	NEW: stejnoslabičný A	OLD: stejnoslabický A
	rachatový A	0.996840159751860	NEW: rachat_:T V	OLD:  
+	šestiradličnost_^(*3ý) N	0.996823662221470	NEW: šestiradličný A	OLD: šestiradlický A
+	šestislabičnost_^(*3ý) N	0.996823662221470	NEW: šestislabičný A	OLD: šestislabický A
+	žitnopšeničnost_^(*3ý) N	0.996823662221470	NEW: žitnopšeničný A	OLD: žitnopšenický A
+	mnohoslabičnost_^(*3ý) N	0.996823662221470	NEW: mnohoslabičný A	OLD: mnohoslabický A
	nepomíjejícnost N	0.996823662221470	NEW: nepomíjejícný A	OLD: nepomíjející A
+	protikřivičnost_^(*3ý) N	0.996823662221470	NEW: protikřivičný A	OLD: protikřivický A
+	různoslabičnost_^(*3ý) N	0.996823662221470	NEW: různoslabičný A	OLD: různoslabický A
+	sedmiradličnost_^(*3ý) N	0.996823662221470	NEW: sedmiradličný A	OLD: sedmiradlický A
+	sedmislabičnost_^(*3ý) N	0.996823662221470	NEW: sedmislabičný A	OLD: sedmislabický A
+	sebepodceňování A	0.996797642768739	NEW: sebepodceňovat_:T V	OLD:  
+	sebepodceňování A	0.996797642768739	NEW: sebepodceňovat_:T V	OLD:  
+	sebeprosazování A	0.996797642768739	NEW: sebeprosazovat_:T V	OLD:  
+	sebeprosazování A	0.996797642768739	NEW: sebeprosazovat_:T V	OLD:  
+	zdravotněpojistnost_^(*3ý) N	0.996783175425645	NEW: zdravotněpojistný A	OLD: zdravotněpojistní A
