skladební_A	skladebný_None
zavýuční_A	zavýučný_None
reální_A	reálný_None
zmateční_A	zmatečný_None
lezní_A	lezný_None
vrátní_A	vrátný_None
větevní_A	větevný_None
nadreální_A	nadreálný_None
fabriční_A	fabričný_None
ovální_A	oválný_None
úboční_A	úbočný_None
hnojní_A	hnojný_None
zákonní_A	zákonný_None

úžlabní_A	úžlabí_None
obmýtní_A	obmýtí_None
zásvětní_A	zásvětí_None
zánártní_A	zánártí_None
poprsní_A	poprsí_None
záprstní_A	záprstí_None
zádveřní_A	zádveří_None
úpatní_A	úpatí_None
okvětní_A	okvětí_None
poříční_A	poříčí_None
zákulisní_A	zákulisí_None
zápolní_A	zápolí_None
zázemní_A	zázemí_None
zákoutní_A	zákoutí_None
šestinedělní_A	šestinedělí_None
potrubní_A	potrubí_None
osenní_A	osení_None
záhrobní_A	záhrobí_None
poplužní_A	popluží_None
vdovní_A	vdoví_None
šikmolícní_A	šikmolící_None
záhlavní_A	záhlaví_None
pondělní_A	pondělí_None

štěpnička_N	štěpnice_None
večernička_N	večernice_None
smolnička_N	smolnice_None
klenotnička_N	klenotnice_None
zaječička_N	zaječice_None
bahnička_N	bahnice_None
vaznička_N	vaznice_None
přednička_N	přednice_None
větrnička_N	větrnice_None
děvčička_N	děvčice_None
plodnička_N	plodnice_None
zřítelnička_N	zřítelnice_None
kulovnička_N	kulovnice_None
raznička_N	raznice_None
řízkovnička_N	řízkovnice_None
družička_N	družice_None
kostelnička_N	kostelnice_None
řemenička_N	řemenice_None
záušnička_N	záušnice_None
vábnička_N	vábnice_None
voskovička_N	voskovice_None
bohorodička_N	bohorodice_None
bukvička_N	bukvice_None
jehnička_N	jehnice_None
chmelnička_N	chmelnice_None
peckovička_N	peckovice_None
spodnička_N	spodnice_None
čočovička_N	čočovice_None
žranička_N	žranice_None
číslička_N	číslice_None
pásnička_N	pásnice_None

štemplík_N	štempl_None
závojík_N	závoj_None
dědík_N	děd_None
cviklík_N	cvikl_None
štuclík_N	štucl_None
chrtík_N	chrt_None
účelík_N	účel_None
Jánošík_N	Jánoš_None
pávík_N	páv_None
čmelík_N	čmel_None
hrabošík_N	hraboš_None
chromajzlík_N	chromajzl_None
štepslík_N	štepsl_None
vousík_N	vous_None
vuřtík_N	vuřt_None
laclík_N	lacl_None
flirtík_N	flirt_None
soklík_N	sokl_None
šteftík_N	šteft_None
šakalík_N	šakal_None
vekslík_N	veksl_None
úhořík_N	úhoř_None
kvelbík_N	kvelb_None
čtvrtláník_N	čtvrtlán_None
lokajík_N	lokaj_None

kolchozní_A	kolchoz_None
obskurantní_A	obskurant_None
presbyterní_A	presbyter_None
živnostní_A	živnost_None
konsensní_A	konsens_None
kupní_A	kup_None
rozvozní_A	rozvoz_None
žurnální_A	žurnál_None
obouruční_A	obouruč_None
zhostní_A	zhost_None
aerobní_A	aerob_None
zákazní_A	zákaz_None
perónní_A	perón_None
porubní_A	porub_None
pivovarní_A	pivovar_None
akordní_A	akord_None
urbariátní_A	urbariát_None
terciérní_A	terciér_None
zákupní_A	zákup_None
koutní_A	kout_None
anaerobní_A	anaerob_None
koncilní_A	koncil_None
praporní_A	prapor_None
posesorní_A	posesor_None
čajní_A	čaj_None
pramenní_A	pramen_None
rustikální_A	rustikál_None
plecní_A	plec_None
videatní_A	videat_None

črtička_N	črta_None
palmička_N	palma_None
pravdička_N	pravda_None
Magdička_N	Magda_None
šálička_N	šála_None
Pepička_N	Pepa_None
rolnička_N	rolna_None
vlnička_N	vlna_None
Emička_N	Ema_None
Vendulička_N	Vendula_None
opravička_N	oprava_None
Hildička_N	Hilda_None
bandička_N	banda_None
řezbička_N	řezba_None
kuklička_N	kukla_None
baštička_N	bašta_None
vojnička_N	vojna_None
baladička_N	balada_None
křivdička_N	křivda_None
hornička_N	horna_None
krůtička_N	krůta_None
