lemma	parents
biorytmus	-bio- rytmus
bioréva	-bio- réva
biokapela	-bio- kapela
biochemoterapie	-bio- chemoterapie
biomrkev	-bio- mrkev
bioplankton	-bio- plankton
biodžíny	-bio- džíny
biosortiment	-bio- sortiment
biotitovec	-bio- titovec
biomeloun	-bio- meloun
biosubstance	-bio- substance
biokompost	-bio- kompost
bioryba	-bio- ryba
biomelatonin	-bio- melatonin
bioefekt	-bio- efekt
biokosmetika	-bio- kosmetika
biodrůbež	-bio- drůbež
biopantofle	-bio- pantofle
bioherma	-bio- herma
biokremace	-bio- kremace
biograf	-bio- graf
biokompatibilní	-bio- kompatibilní
biobiftek	-bio- biftek
biokřen	-bio- křen
biotrend	-bio- trend
biohumus	-bio- humus
biokonzerva	-bio- konzerva
biodilema	-bio- dilema
biolimonáda	-bio- limonáda
bioplast	-bio- plast
biosendvič	-bio- sendvič
bioveka	-bio- veka
biopterin	-bio- pterin
bioaloe	-bio- aloe
biomléko	-bio- mléko
biotop	-bio- top
biomatka	-bio- matka
bioolej	-bio- olej
biosignál	-bio- signál
biomoc	-bio- moc
biolikér	-bio- likér
biokvalita	-bio- kvalita
biofobie	-bio- fobie
biosýr	-bio- sýr
biomateriál	-bio- materiál
bioflavonoid	-bio- flavonoid
biovlákno	-bio- vlákno
biotuřín	-bio- tuřín
biokoláč	-bio- koláč
biomasáž	-bio- masáž
biosociální	-bio- sociální
bioplocha	-bio- plocha
bioekologie	-bio- ekologie
biomarmeláda	-bio- marmeláda
biokeks	-bio- keks
biofóbie	-bio- fóbie
biotechnika	-bio- technika
biokefír	-bio- kefír
biomakromolekula	-bio- makromolekula
biohmota	-bio- hmota
biogram	-bio- gram
biomost	-bio- most
biodům	-bio- dům
biolis	-bio- lis
bioplíseň	-bio- plíseň
biobandáž	-bio- bandáž
bioagent	-bio- agent
biojarmark	-bio- jarmark
bioráj	-bio- ráj
biofond	-bio- fond
biolen	-bio- len
biokarotka	-bio- karotka
bioenergie	-bio- energie
biováha	-bio- váha
bioglycerin	-bio- glycerin
bioalternativa	-bio- alternativa
biomonstrum	-bio- monstrum
biotranzistor	-bio- tranzistor
biosezam	-bio- sezam
bioseno	-bio- seno
bioplantáž	-bio- plantáž
biomechanika	-bio- mechanika
biofirma	-bio- firma
bioparty	-bio- party
biobylina	-bio- bylina
bioementál	-bio- ementál
biohotel	-bio- hotel
biovak	-bio- vak
biohedvábí	-bio- hedvábí
biohumbuk	-bio- humbuk
biotrabant	-bio- trabant
bioskandál	-bio- skandál
biokordon	-bio- kordon
biorezonance	-bio- rezonance
biošpalda	-bio- špalda
bioprase	-bio- prase
biokriterium	-bio- kriterium
biověc	-bio- věc
biolaser	-bio- laser
biojablko	-bio- jablko
biorýže	-bio- rýže
biobistro	-bio- bistro
biobambus	-bio- bambus
biovitální	-bio- vitální
biohouska	-bio- houska
biovčela	-bio- včela
biofág	-bio- fág
biostruktura	-bio- struktura
