197015	heredoataxie	heredoataxie	N		
197293	hernie	hernie	N		
197376	heroldie	heroldie	N		
197709	hesperidie	hesperidie	N		
198830	hippie	hippie	N		
199121	historie	historie	N		
203829	homilie	homilie	N		
205515	hortenzie	hortenzie	N		
206107	hostie	hostie	N		
212772	hydrie	hydrie	N		
213476	hypalgezie	hypalgezie_;U	N		
214074	hysterie	hysterie	N		
215878	chemie	chemie	N		
215880	chemikálie	chemikálie	N	215878	chemie
216352	chinoiserie	chinoiserie_;u	N		
216456	chirurgie	chirurgie	N		
216676	chlamydie	chlamydie_;L_^(nepohyblivé_mikroorganizmy)	N		
219059	chrestomatie	chrestomatie	N		
221197	chytridie	chytridie	N		
221259	iatrochemie	iatrochemie	N		
221614	idiocie	idiocie	N		
221665	idolatrie	idolatrie	N		
221667	idololatrie	idololatrie	N		
222974	imobilie	imobilie	N		
223203	imponderabilie	imponderabilie	N		
223836	indicie	indicie	N		
224317	industrie	industrie	N		
224333	inercie	inercie	N		
224396	infamie	infamie	N		
224397	infámie	infámie	N		
224400	infanterie	infanterie	N		
225098	injurie	injurie_,s	N		
225651	insignie	insignie	N		
225687	insomnie	insomnie	N		
225695	inspektorie	inspektorie	N	225697	inspektor
226045	intaglie	intaglie	N		
226049	intarzie	intarzie	N		
228202	iredektomie	iredektomie	N		
228267	iridektomie	iridektomie	N		
228430	ironie	ironie	N		
228640	ischemie	ischemie_;U	N		
228825	isomorfie	isomorfie	N		
229923	jacquerie	jacquerie_,t	N		
232057	japonerie	japonerie	N	<<<?>>>	
232058	japonérie	japonérie	N	<<<?>>>	
232122	jardinie	jardinie	N		
241198	juvenilie	juvenilie	N		
242413	kafeterie	kafeterie	N	242402	kafe
242448	kafilerie	kafilerie	N		
242669	kachexie	kachexie	N		
243217	kakofrázie	kakofrázie	N		
243795	kalifornie	kalifornie-2_^(druh_vepřovicové_usně)	N	243794	Kalifornie
244273	kalorie	kalorie	N		
244292	kalotypie	kalotypie	N		
244362	kalumnie	kalumnie	N		
244400	kalvárie	kalvárie	N	244399	Kalvárie
244636	kamélie	kamélie_;L_,t	N		
