63660	bysterský	bysterský	A	<<<Bystrá>>>		
64082	bzovský	bzovský	A	64032	Bzí	Bzí_;G
64155	cabanatuanský	cabanatuanský	A	<<<Cabanatuan>>>		
64493	cajunský	cajunský	A	<<<Cajun>>>		
64567	calaiský	calaiský	A	64565	Calais	Calais_;G
64642	calendžiský	calendžiský	A	<<<?>>>		
64946	campdavidský	campdavidský	AC			
64974	campoformijský	campoformijský	AC			
65175	cankařský	cankařský	A	<<<?>>>		
65236	cantervillský	cantervillský	A	<<<Canterville>>>		
65248	cantonvilleský	cantonvilleský	A	<<<Cantonville>>>		
65542	caravaggiovský	caravaggiovský	A	65540	Caravaggio	Caravaggio_;S
65690	carletonský	carletonský	A	<<<Carleton>>>		
65807	carpentarský	carpentarský	A	<<<Carpentarie>>>		
65867	carskoselský	carskoselský	AC			
66429	cayenský	cayenský	A	66423	Cayenne	Cayenne_;G
66495	ceciliánský	ceciliánský	A	66498	Cecilie	Cecilie_;Y
66886	celebeský	celebeský	A	66884	Celebes	Celebes_;G
67773	cenobitský	cenobitský	A	<<<?>>>		
68734	cézannovský	cézannovský	A	68731	Cézanne	Cézanne_;S
68752	cézský	cézský	A	<<<?>>>		
68756	cchajdamský	cchajdamský	A	<<<Cchajdam>>>		
69580	cimljanský	cimljanský	A	<<<Cimljanskaja>>>		
69663	cincinnatský	cincinnatský	A	69661	Cincinnati	Cincinnati_;G
70499	cividalský	cividalský	A	<<<Cividale>>>		
70727	cizozemský	cizozemský	AC			
70811	claryovský	claryovský	A	<<<Clary>>>		
71140	cloviský	cloviský	A	71142	Clovis	Clovis_;S
71161	clunyjský	clunyjský	A	71159	Cluny	Cluny_;G
71362	cobolovský	cobolovský	A	<<<Cobol>>>		
71722	coloradský	coloradský	A	71720	Colorado	Colorado_;G
71758	columbijský	columbijský	A	<<<Columbie>>>		
71803	comeniovský	comeniovský	A	71805	Comenius	Comenius_;K
71941	condillakovský	condillakovský	A	71939	Condillac	Condillac_;S
72023	conningtonský	conningtonský	A	<<<Connington>>>		
72106	contrariánský	contrariánský	A	<<<contrarián>>>		
72238	copperfieldovský	copperfieldovský	A	72240	Copperfield	Copperfield_;S
72346	cordóbský	cordóbský	A	72341	Córdoba	Córdoba_;G
72421	corneillovský	corneillovský	A	72418	Corneille	Corneille_;S
72449	cornevillský	cornevillský	A	<<<Corneville>>>		
73075	craxtonský	craxtonský	A	<<<?>>>		
73313	cromagnonský	cromagnonský	A	<<<?>>>		
73331	croncelský	croncelský	A	<<<?>>>		
73390	crowfieldský	crowfieldský	A	<<<Crowfield>>>		
73549	ctiněveský	ctiněveský	A	73547	Ctiněves	Ctiněves_;G
73693	cugarský	cugarský	A	<<<cougar>>>		
73963	culdejský	culdejský	A	<<<?>>>		
75826	cyperský	cyperský	A	75828	Cyperus	Cyperus_;L_,t
75878	cyranovský	cyranovský	A	75876	Cyrano	Cyrano_;S_;Y
76096	czenstochowský	czenstochowský	A	<<<Czenstochow>>>		
76195	čabajský	čabajský	A	<<<Békéscsaba>>>		
76249	čačanský	čačanský	A	<<<?>>>		
76320	čagoský	čagoský	A	<<<?>>>		
76560	čakavský	čakavský	A	<<<?>>>		
76748	čančunský	čančunský	A	<<<?>>>		
76784	čankajškovský	čankajškovský	A	76779	Čankajšek	Čankajšek_;S
77480	čataldžský	čataldžský	A	<<<?>>>		
77497	čavínský	čavínský	A	<<<Čavín>>>		
77770	čechokanadský	čechokanadský	AC			
77903	čechyňský	čechyňský	A	<<<Čechyně>>>		
78069	čeladenský	čeladenský	A	78075	Čeladná	Čeladná_;G
78141	čelechovský	čelechovský	A	<<<Čelechovice>>>		
78219	čelovský	čelovský	A	78211	čelo	čelo
78294	čemorský	čemorský	A	<<<?>>>		
78352	čeňkovský	čeňkovský	A	78344	Čenkov	Čenkov_;G
78364	čenstochovský	čenstochovský	A	<<<Čenstochov>>>		
78490	čepirožský	čepirožský	A	78488	Čepirohy	Čepirohy_;G
78709	čerkaský	čerkaský	A	78714	Čerkasy	Čerkasy_;G
78735	čerkeský	čerkeský	A	78732	Čerkes	Čerkes_;E
78760	čermenský	čermenský	A	78765	Čermná	Čermná_;G
79354	černopetrovský	černopetrovský	AC			
79456	černosotněnský	černosotněnský_,h	A	79452	černosotněnec	černosotněnec_,h
79686	černský	černský	A	79442	Černo	Černo_;S
79731	čerokijský	čerokijský	A	79729	Čeroki	Čeroki_;E
79902	červeňanský	červeňanský	A	<<<Červeňany>>>		
80057	červenohorský	červenohorský	AC			
80127	červenolhotský	červenolhotský	AC			
80143	červenomlýnský	červenomlýnský	AC			
80319	červenovodský	červenovodský	AC			
80997	čewský	čewský	A	<<<preklep>>>		
81037	čchuanský	čchuanský	A	<<<?>>>		
81043	čchungčchingský	čchungčchingský	A	<<<Čchung-čching>>>		
81653	čipevajský	čipevajský	A	<<<Čipeva>>>		
86908	dagombský	dagombský	A	<<<?>>>		
87011	daidalský	daidalský	A	87009	Daidalos	Daidalos_;S_;Y
87038	dainavský	dainavský	A	<<<Dainava>>>		
87063	dajaský	dajaský	A	87051	Dajak	Dajak_;E
87103	dákorumunský	dákorumunský	AC			
87496	damascénský	damascénský	A	87514	Damašek	Damašek_;G
87665	danakilský	danakilský	A	<<<Danakil>>>		
88346	darijský	darijský	A	88360	Dárí	Dárí_;S
88465	darovanský	darovanský	A	88460	Darová	Darová_;G
88553	daržský	daržský	A	<<<?>>>		
88588	dářský	dářský	A	88586	Dářko	Dářko_;G
88648	dastúrský	dastúrský	A	<<<?>>>		
89044	davisovský	davisovský	A	89055	Davis	Davis-2_;S
90055	dedinský	dedinský	A	<<<dedina>>>		
90198	déesovský	déesovský	A	<<<dées>>>		
90600	degaullovský	degaullovský	AC			
91294	dekánský	dekánský	A	91299	Dekan	Dekan_;S
91409	dekelský	dekelský	A	<<<?>>>		
92656	délský	délský	A	92625	Délos	Délos_;G
92756	demänovský	demänovský	A	92754	Demänovka	Demänovka_;G
92822	dembčinský	dembčinský	A	<<<?>>>		
94090	denverský	denverský	A	94094	Denver	Denver-2_;G
94660	děrákovský	děrákovský	A	<<<?>>>		
94820	děrenský	děrenský	A	101047	Dírná	Dírná_;G
94901	derkáwijský	derkáwijský	A	<<<?>>>		
95285	desenský	desenský	A	96086	Desna	Desna_;G
96231	dessewffyovský	dessewffyovský	A	<<<Desewffy>>>		
96453	deštenský	deštenský	A	96462	Deštné	Deštné_;G
96554	dětanský	dětanský	A	96551	Dětaň	Dětaň_;G
99119	diánský	diánský	A	948789	Zeus	Zeus_;S
99485	dienstbierovský	dienstbierovský	A	99487	Dienstbier	Dienstbier_;S
99494	dientzenhoferovský	dientzenhoferovský	A	99496	Dientzenhofer	Dientzenhofer_;S
99513	dierakovský	dierakovský	A	<<<?>>>		
99611	dietrichsteinský	dietrichsteinský	A	99614	Dietrichstein	Dietrichstein_;S
99619	dietrichštejnský	dietrichštejnský	A	99621	Dietrichštejn	Dietrichštejn_;S
100655	diomédovský	diomédovský	A	100653	Diomédés	Diomédés_;S_;Y
100936	dírenský	dírenský	A	101047	Dírná	Dírná_;G
101852	dispašerský	dispašerský	A	<<<dispašer>>>		
102319	ditrichsteinský	ditrichsteinský	A	102321	Ditrichstein	Ditrichstein_;S
102325	ditrichštejnský	ditrichštejnský	A	102328	Ditrichštejn	Ditrichštejn_;S
102360	dittrichštejnský	dittrichštejnský	A	<<<Dittrichštejn>>>		
102800	djakovský	djakovský	A	102798	Djakovo	Djakovo_;G
103151	dlouhatananánský	dlouhatananánský	A	103292	dlouhý	dlouhý-1_^(fyz._délka;_př._dlouhá_tyč)
103322	dluhonský	dluhonský	A	103320	Dluhonice	Dluhonice_;G
103511	dněpropetrovský	dněpropetrovský	A	103509	Dněpropetrovsk	Dněpropetrovsk_;G
