25817	balancovat	balancovat_:T	V		
26246	balíčkovat	balíčkovat_:T	V	26230	balíček
26304	balíkovat	balíkovat_:T	V	26330	balík–N–balík-1_^(předmět)
26431	balkanizovat	balkanizovat_:T_:W	V	26450	balkánský
26709	bálovat	bálovat_:T_,h	V	26626	bál
26940	balzakovat	balzakovat_:T_,h	V	26929	Balzac
26982	balzamovat	balzamovat_:T	V	26969	balzám
27159	banalizovat	banalizovat_:T	V	27172	banální
27303	bandážovat	bandážovat_:T	V	27294	bandáž
27633	bankovat	bankovat_:T_,h_^(vlastnit_banku)	V	27572	banka
27634	baňkovat	baňkovat_:T	V	27573	baňka
27697	bankrotovat	bankrotovat_:T	V		
27865	bantovat	bantovat_:T_,n	V		
28231	barbarizovat	barbarizovat_:T	V	28250	barbarský
28717	barikádovat	barikádovat_:T	V	28700	barikáda
29026	barokizovat	barokizovat_:T	V	29043	barokní
29414	barterovat	barterovat_:T	V	29405	barter
29979	barytovat	barytovat_:T	V		
30380	basovat	basovat_:T	V	30364	bas
30901	batikovat	batikovat_:T	V		
31852	bazírovat	bazírovat_:T	V	31797	báze
31892	bázovat	bázovat_:T	V	31797	báze
32711	bědovat	bědovat_:T	V	32521	běda
33335	bejvat	bejvat_:T_,h	V	<<<bejt>>>	
33730	beletrizovat	beletrizovat_:T_:W	V	33711	beletrie
34901	benefitovat	benefitovat_:T	V	34892	benefit
36761	besedovat	besedovat_:T	V	36738	beseda
36781	besemerovat	besemerovat_:T	V		
37109	betatestovat	betatestovat_:T	V	37100	betatest
37239	betonovat	betonovat_:T	V	37229	beton
38376	bezplenkovat	bezplenkovat_:T	V	38389	bezplenkový
39190	běžkovat	běžkovat_:T_,h	V	39155	běžka
39692	bičovat	bičovat_:T	V	39682	bič
40030	biflovat	biflovat_:T	V		
40306	bikovat	bikovat_:T	V		
40387	bilancovat	bilancovat_:T	V		
43066	biřmovat	biřmovat_:T	V		
43517	bivakovat	bivakovat_:T	V		
44203	blairizovat	blairizovat_:T	V	44223	Blair
44260	blamovat	blamovat_:T	V		
44429	blankotradovat	blankotradovat_:T	V		
